date,cash_financing_ttm
"Dec. 31, 2019",52.00M
"Sept. 30, 2019",-695.00M
"June 30, 2019",-960.00M
"March 31, 2019",-1.569B
"Dec. 31, 2018",-2.526B
"Sept. 30, 2018",-1.981B
"June 30, 2018",-1.793B
"March 31, 2018",-992.00M
"Dec. 31, 2017",-188.00M
"Sept. 30, 2017",-906.00M
"June 30, 2017",-134.00M
"March 31, 2017",-308.00M
"Dec. 31, 2016",1.311B
"Sept. 30, 2016",1.999B
"June 30, 2016",4.127B
"March 31, 2016",4.159B
"Dec. 31, 2015",2.497B
"Sept. 30, 2015",1.313B
"June 30, 2015",-2.435B
"March 31, 2015",-2.561B
"Dec. 31, 2014",-3.835B
"Sept. 30, 2014",-4.087B
"June 30, 2014",-3.266B
"March 31, 2014",-4.942B
"Dec. 31, 2013",-4.276B
"Sept. 30, 2013",-2.616B
"June 30, 2013",-2.571B
"March 31, 2013",97.00M
"Dec. 31, 2012",1.682B
"Sept. 30, 2012",1.946B
"June 30, 2012",2.003B
"March 31, 2012",1.195B
"Dec. 31, 2011",325.00M
"Sept. 30, 2011",-109.00M
"June 30, 2011",1.155B
"March 31, 2011",1.129B
"Dec. 31, 2010",975.00M
"Sept. 30, 2010",1.023B
"June 30, 2010",-202.00M
"March 31, 2010",-177.00M
"Dec. 31, 2009",332.00M
"Sept. 30, 2009",488.00M
"June 30, 2009",405.00M
"March 31, 2009",424.00M
"Dec. 31, 2008",57.00M
"Sept. 30, 2008",-166.00M
"June 30, 2008",-95.00M
"March 31, 2008",-215.00M
"Dec. 31, 2007",191.00M
"Sept. 30, 2007",156.00M
"June 30, 2007",179.00M
"March 31, 2007",291.00M
"Dec. 31, 2006",-134.00M
"Sept. 30, 2006",-136.00M
"June 30, 2006",-147.00M
"March 31, 2006",-159.00M
"Dec. 31, 2005",-147.00M
"Sept. 30, 2005",-141.00M
"June 30, 2005",-171.00M
"March 31, 2005",-164.00M
"Dec. 31, 2004",-173.00M
"Sept. 30, 2004",-61.00M
"June 30, 2004",-180.00M
"March 31, 2004",-376.00M
"Dec. 31, 2003",-483.00M
"Sept. 30, 2003",-677.00M
"June 30, 2003",-740.00M
"March 31, 2003",-697.00M
"Dec. 31, 2002",-709.00M
"Sept. 30, 2002",-453.00M
"June 30, 2002",2.345B
"March 31, 2002",2.813B
"Dec. 31, 2001",2.97B
"Sept. 30, 2001",2.782B
"June 30, 2001",0.00
"March 31, 2001",-352.00M
"Dec. 31, 2000",-622.00M
"Sept. 30, 2000",-691.50M
"June 30, 2000",-769.00M
"March 31, 2000",-686.60M
"Dec. 31, 1999",-379.00M
"Sept. 30, 1999",-349.10M
"June 30, 1999",227.40M
"March 31, 1999",367.20M
"Dec. 31, 1998",403.00M
"Sept. 30, 1998",500.50M
"June 30, 1998",367.80M
"March 31, 1998",272.50M
"Dec. 31, 1997",13.70M
"Sept. 30, 1997",77.20M
"June 30, 1997",52.50M
"March 31, 1997",-1.084B
"Dec. 31, 1996",-930.60M
"Sept. 30, 1996",-1.343B
"June 30, 1996",-1.468B
"March 31, 1996",-524.40M
"Dec. 31, 1995",-693.90M
"Sept. 30, 1995",-469.20M
"June 30, 1995",-386.40M
"March 31, 1995",-349.40M
"Dec. 31, 1994",-462.10M
"Sept. 30, 1994",-502.30M
"June 30, 1994",-315.80M
"March 31, 1994",110.20M
"Dec. 31, 1993",456.10M
"Sept. 30, 1993",676.90M
"June 30, 1993",683.70M
"March 31, 1993",516.20M
"Dec. 31, 1992",424.00M
"Sept. 30, 1992",596.90M
"June 30, 1992",884.40M
"March 31, 1992",918.10M
"Dec. 31, 1991",297.00M
"Sept. 30, 1991",235.80M
"June 30, 1991",-167.50M
"March 31, 1991",-267.90M
"Dec. 31, 1990",153.70M
