date,revenue_per_employee_annual
"Dec. 31, 2019",3.730M
"Dec. 31, 2018",3.343M
"Dec. 31, 2017",2.496M
"Dec. 31, 2016",1.877M
"Dec. 31, 2015",2.282M
"Dec. 31, 2014",1.406M
"Dec. 31, 2013",881851.9
"Dec. 31, 2012",840858.4
"Dec. 31, 2011",1.524M
"Dec. 31, 2010",2.499M
"Dec. 31, 2009",1.470M
"Dec. 31, 2008",1.523M
"Dec. 31, 2007",1.555M
"Dec. 31, 2006",2.218M
"Dec. 31, 2005",2.002M
"Dec. 31, 2004",1.481M
"Dec. 31, 2003",1.237M
"Dec. 31, 2002",1.027M
"Dec. 31, 2001",1.259M
"Dec. 31, 2000",1.305M
"Dec. 31, 1999",770890.4
"Dec. 31, 1998",692886.9
"Dec. 31, 1997",898705.0
"Dec. 31, 1996",886671.3
"Dec. 31, 1995",751574.7
"Dec. 31, 1994",659178.3
"Dec. 31, 1993",572675.7
"Dec. 31, 1992",570942.7
"Dec. 31, 1991",627873.0
"Dec. 31, 1990",780793.4
