date,market_beta_60_month
"Feb. 29, 2020",1.818
"Jan. 31, 2020",2.038
"Dec. 31, 2019",2.023
"Nov. 30, 2019",2.008
"Oct. 31, 2019",2.006
"Sept. 30, 2019",1.967
"Aug. 31, 2019",1.981
"July 31, 2019",1.970
"June 30, 2019",1.955
"May 31, 2019",1.945
"April 30, 2019",1.958
"March 31, 2019",1.954
"Feb. 28, 2019",1.950
"Jan. 31, 2019",1.933
"Dec. 31, 2018",1.698
"Nov. 30, 2018",1.550
"Oct. 31, 2018",1.553
"Sept. 30, 2018",1.410
"Aug. 31, 2018",1.421
"July 31, 2018",1.374
"June 30, 2018",1.458
"May 31, 2018",1.460
"April 30, 2018",1.426
"March 31, 2018",1.444
"Feb. 28, 2018",1.602
"Jan. 31, 2018",1.578
"Dec. 31, 2017",1.767
"Nov. 30, 2017",1.763
"Oct. 31, 2017",1.768
"Sept. 30, 2017",1.773
"Aug. 31, 2017",1.746
"July 31, 2017",1.736
"June 30, 2017",1.740
"May 31, 2017",1.697
"April 30, 2017",1.764
"March 31, 2017",1.794
"Feb. 28, 2017",1.731
"Jan. 31, 2017",1.845
"Dec. 31, 2016",1.818
"Nov. 30, 2016",1.805
"Oct. 31, 2016",1.751
"Sept. 30, 2016",1.754
"Aug. 31, 2016",1.724
"July 31, 2016",1.749
"June 30, 2016",1.819
"May 31, 2016",1.823
"April 30, 2016",1.836
"March 31, 2016",1.840
"Feb. 29, 2016",1.748
"Jan. 31, 2016",1.754
"Dec. 31, 2015",1.758
"Nov. 30, 2015",1.706
"Oct. 31, 2015",1.692
"Sept. 30, 2015",1.703
"Aug. 31, 2015",1.699
"July 31, 2015",1.810
"June 30, 2015",1.788
"May 31, 2015",1.756
"April 30, 2015",1.766
"March 31, 2015",1.770
"Feb. 28, 2015",1.739
"Jan. 31, 2015",1.719
"Dec. 31, 2014",1.690
"Nov. 30, 2014",1.699
"Oct. 31, 2014",1.710
"Sept. 30, 2014",1.703
"Aug. 31, 2014",1.693
"July 31, 2014",1.669
"June 30, 2014",1.618
"May 31, 2014",1.641
"April 30, 2014",1.703
"March 31, 2014",1.597
"Feb. 28, 2014",1.510
"Jan. 31, 2014",1.338
"Dec. 31, 2013",1.196
"Nov. 30, 2013",1.196
"Oct. 31, 2013",1.207
"Sept. 30, 2013",1.271
"Aug. 31, 2013",1.324
"July 31, 2013",1.336
"June 30, 2013",1.336
"May 31, 2013",1.258
"April 30, 2013",1.273
"March 31, 2013",1.310
"Feb. 28, 2013",1.306
"Jan. 31, 2013",1.291
"Dec. 31, 2012",1.242
"Nov. 30, 2012",1.216
"Oct. 31, 2012",1.206
"Sept. 30, 2012",1.209
"Aug. 31, 2012",1.213
"July 31, 2012",1.207
"June 30, 2012",1.188
"May 31, 2012",1.199
"April 30, 2012",1.167
"March 31, 2012",1.154
"Feb. 29, 2012",1.178
"Jan. 31, 2012",1.156
"Dec. 31, 2011",1.177
"Nov. 30, 2011",1.178
"Oct. 31, 2011",1.193
"Sept. 30, 2011",1.154
"Aug. 31, 2011",1.115
"July 31, 2011",1.062
"June 30, 2011",1.052
"May 31, 2011",1.045
"April 30, 2011",1.022
"March 31, 2011",1.027
"Feb. 28, 2011",1.026
"Jan. 31, 2011",1.030
"Dec. 31, 2010",1.048
"Nov. 30, 2010",1.044
"Oct. 31, 2010",1.028
"Sept. 30, 2010",1.035
"Aug. 31, 2010",0.991
"July 31, 2010",0.9768
"June 30, 2010",0.9998
"May 31, 2010",0.9952
"April 30, 2010",0.9208
"March 31, 2010",0.9263
"Feb. 28, 2010",0.9345
"Jan. 31, 2010",0.96
"Dec. 31, 2009",0.94
"Nov. 30, 2009",0.9083
"Oct. 31, 2009",0.9288
"Sept. 30, 2009",0.9194
"Aug. 31, 2009",0.9231
"July 31, 2009",0.9598
"June 30, 2009",0.9826
"May 31, 2009",1.002
"April 30, 2009",0.9295
"March 31, 2009",1.013
"Feb. 28, 2009",1.126
"Jan. 31, 2009",1.234
"Dec. 31, 2008",1.351
"Nov. 30, 2008",1.377
"Oct. 31, 2008",1.335
"Sept. 30, 2008",1.039
"Aug. 31, 2008",0.6931
"July 31, 2008",0.682
"June 30, 2008",0.5835
"May 31, 2008",0.687
"April 30, 2008",0.6922
"March 31, 2008",0.4386
