date,ev_ebit
"March 19, 2020",26.74
"March 18, 2020",26.24
"March 17, 2020",26.48
"March 16, 2020",26.70
"March 13, 2020",28.67
"March 12, 2020",27.61
"March 11, 2020",29.57
"March 10, 2020",31.08
"March 9, 2020",27.68
"March 6, 2020",36.18
"March 5, 2020",38.60
"March 4, 2020",39.88
"March 3, 2020",40.24
"March 2, 2020",39.98
"Feb. 28, 2020",39.46
"Feb. 27, 2020",38.88
"Feb. 26, 2020",39.31
"Feb. 25, 2020",40.08
"Feb. 24, 2020",41.52
"Feb. 21, 2020",43.65
"Feb. 20, 2020",43.80
"Feb. 19, 2020",43.22
"Feb. 18, 2020",41.98
"Feb. 14, 2020",41.58
"Feb. 13, 2020",41.40
"Feb. 12, 2020",40.78
"Feb. 11, 2020",39.45
"Feb. 10, 2020",38.84
"Feb. 7, 2020",39.09
"Feb. 6, 2020",39.90
"Feb. 5, 2020",41.05
"Feb. 4, 2020",40.22
"Feb. 3, 2020",39.59
"Jan. 31, 2020",39.66
"Jan. 30, 2020",40.65
"Jan. 29, 2020",40.27
"Jan. 28, 2020",42.45
"Jan. 27, 2020",42.47
"Jan. 24, 2020",43.62
"Jan. 23, 2020",44.69
"Jan. 22, 2020",45.03
"Jan. 21, 2020",45.69
"Jan. 17, 2020",46.40
"Jan. 16, 2020",46.61
"Jan. 15, 2020",46.49
"Jan. 14, 2020",46.48
"Jan. 13, 2020",46.10
"Jan. 10, 2020",45.70
"Jan. 9, 2020",45.99
"Jan. 8, 2020",45.70
"Jan. 7, 2020",46.93
"Jan. 6, 2020",46.89
"Jan. 3, 2020",46.37
"Jan. 2, 2020",45.30
"Dec. 31, 2019",44.83
"Dec. 30, 2019",35.76
"Dec. 27, 2019",35.89
"Dec. 26, 2019",36.30
"Dec. 24, 2019",36.21
"Dec. 23, 2019",36.07
"Dec. 20, 2019",35.21
"Dec. 19, 2019",34.73
"Dec. 18, 2019",35.30
"Dec. 17, 2019",35.14
"Dec. 16, 2019",35.11
