date,shareholders_equity
"Dec. 31, 2019",8.732B
"Sept. 30, 2019",8.908B
"June 30, 2019",9.294B
"March 31, 2019",9.342B
"Dec. 31, 2018",9.629B
"Sept. 30, 2018",9.65B
"June 30, 2018",9.972B
"March 31, 2018",10.60B
"Dec. 31, 2017",11.05B
"Sept. 30, 2017",13.13B
"June 30, 2017",13.78B
"March 31, 2017",14.15B
"Dec. 31, 2016",14.53B
"Sept. 30, 2016",19.84B
"June 30, 2016",20.12B
"March 31, 2016",20.60B
"Dec. 31, 2015",19.39B
"Sept. 30, 2015",21.33B
"June 30, 2015",21.10B
"March 31, 2015",21.67B
"Dec. 31, 2014",22.20B
"Sept. 30, 2014",24.25B
"June 30, 2014",24.26B
"March 31, 2014",24.14B
"Dec. 31, 2013",24.72B
"Sept. 30, 2013",23.77B
"June 30, 2013",23.90B
"March 31, 2013",22.42B
"Dec. 31, 2012",21.09B
"Sept. 30, 2012",20.54B
"June 30, 2012",19.89B
"March 31, 2012",19.06B
"Dec. 31, 2011",18.52B
"Sept. 30, 2011",18.83B
"June 30, 2011",18.78B
"March 31, 2011",17.95B
"Dec. 31, 2010",16.69B
"Sept. 30, 2010",15.73B
"June 30, 2010",14.36B
"March 31, 2010",13.86B
"Dec. 31, 2009",13.38B
"Sept. 30, 2009",12.87B
"June 30, 2009",12.26B
"March 31, 2009",12.02B
"Dec. 31, 2008",12.31B
"Sept. 30, 2008",12.23B
"June 30, 2008",11.10B
"March 31, 2008",10.76B
"Dec. 31, 2007",9.774B
"Sept. 30, 2007",9.509B
"June 30, 2007",9.087B
"March 31, 2007",8.613B
"Dec. 31, 2006",8.147B
"Sept. 30, 2006",7.73B
"June 30, 2006",7.158B
"March 31, 2006",6.759B
"Dec. 31, 2005",6.286B
"Sept. 30, 2005",5.524B
"June 30, 2005",5.267B
"March 31, 2005",5.026B
"Dec. 31, 2004",5.597B
"Sept. 30, 2004",5.261B
"June 30, 2004",5.567B
"March 31, 2004",5.489B
"Dec. 31, 2003",5.34B
"Sept. 30, 2003",4.714B
"June 30, 2003",4.573B
"March 31, 2003",4.386B
"Dec. 31, 2002",4.249B
"Sept. 30, 2002",4.683B
"June 30, 2002",4.949B
"March 31, 2002",4.802B
"Dec. 31, 2001",4.907B
"Sept. 30, 2001",4.82B
"June 30, 2001",4.621B
"March 31, 2001",4.286B
"Dec. 31, 2000",3.883B
"Sept. 30, 2000",3.543B
"June 30, 2000",3.408B
"March 31, 2000",3.25B
"Dec. 31, 1999",3.038B
"Sept. 30, 1999",2.927B
"June 30, 1999",2.768B
"March 31, 1999",2.694B
"Dec. 31, 1998",2.643B
"Sept. 30, 1998",3.107B
"June 30, 1998",3.132B
"March 31, 1998",3.199B
"Dec. 31, 1997",3.216B
"Sept. 30, 1997",3.290B
"June 30, 1997",3.306B
"March 31, 1997",3.319B
"Dec. 31, 1996",3.384B
"Sept. 30, 1996",3.203B
"June 30, 1996",3.111B
"March 31, 1996",2.700B
"Dec. 31, 1995",2.660B
"Sept. 30, 1995",2.968B
"June 30, 1995",3.087B
"March 31, 1995",3.147B
"Dec. 31, 1994",3.100B
"Sept. 30, 1994",3.124B
"June 30, 1994",3.106B
"March 31, 1994",3.109B
"Dec. 31, 1993",3.029B
"Sept. 30, 1993",3.193B
"June 30, 1993",3.241B
"March 31, 1993",3.404B
"Dec. 31, 1992",3.388B
"Sept. 30, 1992",3.526B
"June 30, 1992",3.587B
"March 31, 1992",3.030B
"Dec. 31, 1991",3.132B
"Sept. 30, 1991",3.148B
"June 30, 1991",3.107B
"March 31, 1991",3.086B
"Dec. 31, 1990",3.106B
"Sept. 30, 1990",2.867B
"June 30, 1990",2.552B
"March 31, 1990",2.603B
"Dec. 31, 1989",2.561B
"Dec. 31, 1988",2.215B
"Dec. 31, 1987",2.158B
"Dec. 31, 1986",2.050B
"Dec. 31, 1985",2.260B
"Dec. 31, 1984",2.573B
