date,cash_dividend_payout_ratio
"Dec. 31, 2019",-26.62%
"Sept. 30, 2019",-75.17%
"June 30, 2019",-118.1%
"March 31, 2019",-85.79%
"Dec. 31, 2018",-218.4%
"Sept. 30, 2018",-60.07%
"June 30, 2018",-39.93%
"March 31, 2018",-31.55%
"Dec. 31, 2017",-36.59%
"Sept. 30, 2017",-38.54%
"June 30, 2017",-50.84%
"March 31, 2017",-44.31%
"Dec. 31, 2016",-24.04%
"Sept. 30, 2016",-20.66%
"June 30, 2016",-14.92%
"March 31, 2016",-13.75%
"Dec. 31, 2015",-12.26%
"Sept. 30, 2015",-11.52%
"June 30, 2015",-15.95%
"March 31, 2015",-18.00%
"Dec. 31, 2014",-40.03%
"Sept. 30, 2014",-428.8%
"June 30, 2014",-159.4%
"March 31, 2014",-214.6%
"Dec. 31, 2013",-28.01%
"Sept. 30, 2013",-15.08%
"June 30, 2013",-10.05%
"March 31, 2013",-7.46%
"Dec. 31, 2012",-8.46%
"Sept. 30, 2012",-4.95%
"June 30, 2012",-3.50%
"March 31, 2012",-4.73%
"Dec. 31, 2011",-6.95%
"Sept. 30, 2011",-7.13%
"June 30, 2011",-18.96%
"March 31, 2011",-14.06%
"Dec. 31, 2010",-13.62%
"Sept. 30, 2010",53.04%
"June 30, 2010",33.33%
"March 31, 2010",54.10%
"Dec. 31, 2009",102.3%
"Sept. 30, 2009",-14.87%
"June 30, 2009",-16.21%
"March 31, 2009",-80.37%
"Dec. 31, 2008",52.00%
"Sept. 30, 2008",14.22%
"June 30, 2008",12.42%
"March 31, 2008",17.53%
"Dec. 31, 2007",-178.9%
"Sept. 30, 2007",-55.12%
"June 30, 2007",-74.85%
"March 31, 2007",-22.73%
"Dec. 31, 2006",-45.61%
"Sept. 30, 2006",-26.36%
"June 30, 2006",-6.34%
"March 31, 2006",-25.43%
"Dec. 31, 2005",-31.74%
"Sept. 30, 2005",-66.25%
"June 30, 2005",40.10%
"March 31, 2005",45.38%
"Dec. 31, 2004",41.10%
"Sept. 30, 2004",22.80%
"June 30, 2004",-429.0%
"March 31, 2004",112.0%
"Dec. 31, 2003",48.43%
"Sept. 30, 2003",30.42%
"June 30, 2003",16.27%
"March 31, 2003",17.50%
"Dec. 31, 2002",24.83%
"Sept. 30, 2002",187.7%
"June 30, 2002",232.6%
"March 31, 2002",-10.66%
"Dec. 31, 2001",-17.38%
"Sept. 30, 2001",-27.49%
"June 30, 2001",-68.97%
"March 31, 2001",6.67%
"Dec. 31, 2000",6.30%
"Sept. 30, 2000",5.69%
"June 30, 2000",8.39%
"March 31, 2000",16.98%
"Dec. 31, 1999",-105.9%
"Sept. 30, 1999",-11.16%
"June 30, 1999",-7.18%
"March 31, 1999",-6.41%
"Dec. 31, 1998",-5.98%
"Sept. 30, 1998",-7.97%
"June 30, 1998",-8.81%
"March 31, 1998",-8.46%
"Dec. 31, 1997",-57.95%
"Sept. 30, 1997",-43.88%
"June 30, 1997",-46.72%
"March 31, 1997",20.28%
"Dec. 31, 1996",-105.3%
"Sept. 30, 1996",28.20%
"June 30, 1996",13.57%
"March 31, 1996",14.76%
"Dec. 31, 1995",10.17%
"Sept. 30, 1995",11.25%
"June 30, 1995",15.80%
"March 31, 1995",22.38%
"Dec. 31, 1994",15.44%
"Sept. 30, 1994",13.54%
"June 30, 1994",24.88%
"March 31, 1994",-27.67%
"Dec. 31, 1993",-7.87%
"Sept. 30, 1993",-7.74%
"June 30, 1993",-7.78%
"March 31, 1993",-12.15%
"Dec. 31, 1992",-15.28%
"Sept. 30, 1992",-8.18%
"June 30, 1992",-5.85%
"March 31, 1992",-4.75%
"Dec. 31, 1991",-10.49%
"Sept. 30, 1991",-16.45%
"June 30, 1991",37.95%
"March 31, 1991",14.12%
"Dec. 31, 1990",-44.96%
