date,beneish_m_score
"Dec. 31, 2019",-2.690
"Dec. 31, 2018",
"Dec. 31, 2017",
"Dec. 31, 2016",
"Dec. 31, 2015",-5.879
"Dec. 31, 2014",-3.276
"Dec. 31, 2013",-2.890
"Dec. 31, 2012",-3.099
"Dec. 31, 2011",-2.943
"Dec. 31, 2010",-2.526
"Dec. 31, 2009",-3.006
"Dec. 31, 2008",
"Dec. 31, 2007",
"Dec. 31, 2006",-2.940
"Dec. 31, 2005",-2.195
"Dec. 31, 2004",-2.488
"Dec. 31, 2003",-2.800
"Dec. 31, 2002",-3.672
"Dec. 31, 2001",-2.847
"Dec. 31, 2000",-2.078
"Dec. 31, 1999",
"Dec. 31, 1998",-2.159
"Dec. 31, 1997",-2.795
"Dec. 31, 1996",-2.226
"Dec. 31, 1995",-2.887
"Dec. 31, 1994",-2.914
"Dec. 31, 1993",-3.236
"Dec. 31, 1992",-4.014
"Dec. 31, 1991",-4.194
"Dec. 31, 1990",-3.884
