date,cash_operations_ttm
"Dec. 31, 2019",1.642B
"Sept. 30, 2019",2.237B
"June 30, 2019",2.217B
"March 31, 2019",1.967B
"Dec. 31, 2018",1.939B
"Sept. 30, 2018",1.401B
"June 30, 2018",1.066B
"March 31, 2018",806.00M
"Dec. 31, 2017",945.00M
"Sept. 30, 2017",928.00M
"June 30, 2017",1.172B
"March 31, 2017",1.204B
"Dec. 31, 2016",795.00M
"Sept. 30, 2016",1.092B
"June 30, 2016",1.042B
"March 31, 2016",1.485B
"Dec. 31, 2015",1.981B
"Sept. 30, 2015",2.432B
"June 30, 2015",3.472B
"March 31, 2015",3.735B
"Dec. 31, 2014",4.457B
"Sept. 30, 2014",5.161B
"June 30, 2014",5.093B
"March 31, 2014",5.437B
"Dec. 31, 2013",5.098B
"Sept. 30, 2013",4.89B
"June 30, 2013",5.498B
"March 31, 2013",5.491B
"Dec. 31, 2012",5.66B
"Sept. 30, 2012",5.228B
"June 30, 2012",4.388B
"March 31, 2012",4.837B
"Dec. 31, 2011",4.984B
"Sept. 30, 2011",5.324B
"June 30, 2011",5.548B
"March 31, 2011",4.84B
"Dec. 31, 2010",4.53B
"Sept. 30, 2010",4.323B
"June 30, 2010",3.611B
"March 31, 2010",3.246B
"Dec. 31, 2009",3.046B
"Sept. 30, 2009",2.268B
"June 30, 2009",3.014B
"March 31, 2009",4.13B
"Dec. 31, 2008",4.688B
"Sept. 30, 2008",5.001B
"June 30, 2008",4.584B
"March 31, 2008",4.051B
"Dec. 31, 2007",3.507B
"Sept. 30, 2007",3.48B
"June 30, 2007",3.445B
"March 31, 2007",2.932B
"Dec. 31, 2006",3.491B
"Sept. 30, 2006",3.001B
"June 30, 2006",2.657B
"March 31, 2006",2.577B
"Dec. 31, 2005",1.84B
"Sept. 30, 2005",1.805B
"June 30, 2005",2.138B
"March 31, 2005",1.97B
"Dec. 31, 2004",1.903B
"Sept. 30, 2004",2.071B
"June 30, 2004",1.354B
"March 31, 2004",1.487B
"Dec. 31, 2003",1.581B
"Sept. 30, 2003",1.697B
"June 30, 2003",2.03B
"March 31, 2003",2.042B
"Dec. 31, 2002",1.965B
"Sept. 30, 2002",1.753B
"June 30, 2002",1.957B
"March 31, 2002",1.618B
"Dec. 31, 2001",1.96B
"Sept. 30, 2001",1.998B
"June 30, 2001",1.884B
"March 31, 2001",2.111B
"Dec. 31, 2000",1.795B
"Sept. 30, 2000",1.733B
"June 30, 2000",1.426B
"March 31, 2000",1.076B
"Dec. 31, 1999",746.00M
"Sept. 30, 1999",446.50M
"June 30, 1999",385.70M
"March 31, 1999",467.90M
"Dec. 31, 1998",519.00M
"Sept. 30, 1998",845.60M
"June 30, 1998",819.60M
"March 31, 1998",795.70M
"Dec. 31, 1997",1.25B
"Sept. 30, 1997",1.059B
"June 30, 1997",1.023B
"March 31, 1997",1.196B
"Dec. 31, 1996",807.70M
"Sept. 30, 1996",990.70M
"June 30, 1996",1.101B
"March 31, 1996",1.072B
"Dec. 31, 1995",1.241B
"Sept. 30, 1995",1.204B
"June 30, 1995",1.022B
"March 31, 1995",871.00M
"Dec. 31, 1994",957.00M
"Sept. 30, 1994",1.025B
"June 30, 1994",1.083B
"March 31, 1994",898.50M
"Dec. 31, 1993",819.40M
"Sept. 30, 1993",811.70M
"June 30, 1993",821.30M
"March 31, 1993",1.126B
"Dec. 31, 1992",1.138B
"Sept. 30, 1992",952.80M
"June 30, 1992",822.00M
"March 31, 1992",682.80M
"Dec. 31, 1991",1.364B
"Sept. 30, 1991",1.643B
"June 30, 1991",1.990B
"March 31, 1991",1.961B
"Dec. 31, 1990",1.326B
