date,graham_number
"March 31, 2015",90.89
"Dec. 31, 2014",114.04
"Sept. 30, 2014",155.38
"June 30, 2014",140.63
"March 31, 2014",146.12
"Dec. 31, 2013",159.45
"Sept. 30, 2013",130.61
"June 30, 2013",132.29
"March 31, 2013",112.59
"Dec. 31, 2012",95.09
"Sept. 30, 2012",77.60
"June 30, 2012",69.53
"March 31, 2012",69.62
"Dec. 31, 2011",78.28
"Sept. 30, 2011",83.26
"June 30, 2011",100.96
"March 31, 2011",94.86
"Dec. 31, 2010",84.89
"Sept. 30, 2010",89.41
"June 30, 2010",69.80
"March 31, 2010",62.47
"Dec. 31, 2009",45.81
"Sept. 30, 2009",28.70
"June 30, 2009",43.56
"March 31, 2009",62.34
"Dec. 31, 2008",78.30
"Sept. 30, 2008",87.44
"June 30, 2008",77.98
"March 31, 2008",71.95
"Dec. 31, 2007",62.75
"Sept. 30, 2007",59.47
"June 30, 2007",56.64
"March 31, 2007",55.43
"Dec. 31, 2006",59.48
"Sept. 30, 2006",62.59
"June 30, 2006",59.94
"March 31, 2006",54.26
"Dec. 31, 2005",43.55
"Sept. 30, 2005",38.15
"June 30, 2005",35.61
"March 31, 2005",34.81
"Dec. 31, 2004",38.18
"Sept. 30, 2004",33.86
"June 30, 2004",34.71
"March 31, 2004",34.66
"Dec. 31, 2003",32.44
"Sept. 30, 2003",17.11
"June 30, 2003",
"March 31, 2003",
"Dec. 31, 2002",
"Sept. 30, 2002",17.48
"June 30, 2002",28.17
"March 31, 2002",32.94
"Dec. 31, 2001",37.63
"Sept. 30, 2001",42.72
"June 30, 2001",43.16
"March 31, 2001",39.07
"Dec. 31, 2000",35.26
"Sept. 30, 2000",30.04
"June 30, 2000",27.35
"March 31, 2000",24.20
"Dec. 31, 1999",20.15
"Sept. 30, 1999",
"June 30, 1999",
"March 31, 1999",
"Dec. 31, 1998",
"Sept. 30, 1998",
"June 30, 1998",
"March 31, 1998",
"Dec. 31, 1997",2.649
"Sept. 30, 1997",13.54
"June 30, 1997",16.00
"March 31, 1997",23.97
"Dec. 31, 1996",25.37
"Sept. 30, 1996",15.64
"June 30, 1996",7.475
"March 31, 1996",
"Dec. 31, 1995",
"Sept. 30, 1995",
"June 30, 1995",
"March 31, 1995",3.684
"Dec. 31, 1994",8.109
"Sept. 30, 1994",
"June 30, 1994",
"March 31, 1994",
"Dec. 31, 1993",
"Sept. 30, 1993",
"June 30, 1993",
"March 31, 1993",8.238
"Dec. 31, 1992",2.866
"Sept. 30, 1992",
"June 30, 1992",
"March 31, 1992",
"Dec. 31, 1991",10.01
"Sept. 30, 1991",21.07
"June 30, 1991",27.88
"March 31, 1991",24.66
"Dec. 31, 1990",23.88
