date,kz_index
"Dec. 31, 2019",1.174
"Dec. 31, 2018",0.5686
"Dec. 31, 2017",0.8781
"Dec. 31, 2016",
"Dec. 31, 2015",
"Dec. 31, 2014",
"Dec. 31, 2013",
"Dec. 31, 2012",
"Dec. 31, 2011",
"Dec. 31, 2010",0.6078
"Dec. 31, 2009",
"Dec. 31, 2008",0.5211
"Dec. 31, 2007",1.027
"Dec. 31, 2006",0.5403
"Dec. 31, 2005",0.7316
"Dec. 31, 2004",0.5578
"Dec. 31, 2003",0.7583
"Dec. 31, 2002",
"Dec. 31, 2001",0.8816
"Dec. 31, 2000",0.6411
"Dec. 31, 1999",1.169
"Dec. 31, 1998",
"Dec. 31, 1997",
"Dec. 31, 1996",0.8105
"Dec. 31, 1995",1.630
"Dec. 31, 1994",1.480
"Dec. 31, 1993",
"Dec. 31, 1992",
"Dec. 31, 1991",
"Dec. 31, 1990",0.9679
"Dec. 31, 1989",1.158
"Dec. 31, 1988",
"Dec. 31, 1987",1.423
