date,ni_per_employee_annual
"Dec. 31, 2019",-234280.8
"Dec. 31, 2018",-149088.0
"Dec. 31, 2017",-1.861M
"Dec. 31, 2016",-2.417M
"Dec. 31, 2015",-1.051M
"Dec. 31, 2014",303470.9
"Dec. 31, 2013",374222.2
"Dec. 31, 2012",139055.8
"Dec. 31, 2011",120994.7
"Dec. 31, 2010",156826.6
"Dec. 31, 2009",36724.57
"Dec. 31, 2008",87407.41
"Dec. 31, 2007",90024.57
"Dec. 31, 2006",151718.7
"Dec. 31, 2005",107879.8
"Dec. 31, 2004",86460.18
"Dec. 31, 2003",55567.56
"Dec. 31, 2002",-19377.78
"Dec. 31, 2001",88185.63
"Dec. 31, 2000",111340.9
"Dec. 31, 1999",47968.46
"Dec. 31, 1998",-48333.60
"Dec. 31, 1997",819.63
"Dec. 31, 1996",70754.06
"Dec. 31, 1995",-40592.84
"Dec. 31, 1994",7358.59
"Dec. 31, 1993",-26247.80
"Dec. 31, 1992",728.86
"Dec. 31, 1991",8446.05
"Dec. 31, 1990",54248.15
