date,return_on_assets
"Dec. 31, 2019",-1.88%
"Sept. 30, 2019",-0.88%
"June 30, 2019",-0.09%
"March 31, 2019",-0.67%
"Dec. 31, 2018",-1.29%
"Sept. 30, 2018",-12.88%
"June 30, 2018",-14.61%
"March 31, 2018",-15.10%
"Dec. 31, 2017",-15.18%
"Sept. 30, 2017",-21.60%
"June 30, 2017",-19.59%
"March 31, 2017",-18.56%
"Dec. 31, 2016",-18.44%
"Sept. 30, 2016",-8.79%
"June 30, 2016",-8.56%
"March 31, 2016",-8.97%
"Dec. 31, 2015",-8.46%
"Sept. 30, 2015",-3.31%
"June 30, 2015",0.11%
"March 31, 2015",3.89%
"Dec. 31, 2014",5.66%
"Sept. 30, 2014",10.21%
"June 30, 2014",8.78%
"March 31, 2014",9.92%
"Dec. 31, 2013",11.92%
"Sept. 30, 2013",8.28%
"June 30, 2013",8.66%
"March 31, 2013",6.58%
"Dec. 31, 2012",4.91%
"Sept. 30, 2012",3.80%
"June 30, 2012",3.24%
"March 31, 2012",3.46%
"Dec. 31, 2011",4.59%
"Sept. 30, 2011",5.26%
"June 30, 2011",7.99%
"March 31, 2011",7.63%
"Dec. 31, 2010",6.73%
"Sept. 30, 2010",8.04%
"June 30, 2010",5.51%
"March 31, 2010",4.60%
"Dec. 31, 2009",2.57%
"Sept. 30, 2009",1.07%
"June 30, 2009",2.54%
"March 31, 2009",5.34%
"Dec. 31, 2008",8.31%
"Sept. 30, 2008",10.71%
"June 30, 2008",9.78%
"March 31, 2008",9.03%
"Dec. 31, 2007",7.73%
"Sept. 30, 2007",7.37%
"June 30, 2007",7.11%
"March 31, 2007",7.37%
"Dec. 31, 2006",9.20%
"Sept. 30, 2006",9.91%
"June 30, 2006",10.22%
"March 31, 2006",9.25%
"Dec. 31, 2005",6.91%
"Sept. 30, 2005",5.97%
"June 30, 2005",5.71%
"March 31, 2005",5.89%
"Dec. 31, 2004",6.53%
"Sept. 30, 2004",5.70%
"June 30, 2004",5.64%
"March 31, 2004",5.43%
"Dec. 31, 2003",4.73%
"Sept. 30, 2003",1.50%
"June 30, 2003",-0.58%
"March 31, 2003",-1.32%
"Dec. 31, 2002",-1.54%
"Sept. 30, 2002",1.44%
"June 30, 2002",3.67%
"March 31, 2002",5.45%
"Dec. 31, 2001",7.37%
"Sept. 30, 2001",10.77%
"June 30, 2001",13.08%
"March 31, 2001",12.21%
"Dec. 31, 2000",11.63%
"Sept. 30, 2000",9.78%
"June 30, 2000",8.78%
"March 31, 2000",7.42%
"Dec. 31, 1999",5.52%
"Sept. 30, 1999",-1.37%
"June 30, 1999",-3.41%
"March 31, 1999",-4.70%
"Dec. 31, 1998",-5.75%
"Sept. 30, 1998",-1.29%
"June 30, 1998",-0.95%
"March 31, 1998",-0.13%
"Dec. 31, 1997",0.10%
"Sept. 30, 1997",2.52%
"June 30, 1997",3.58%
"March 31, 1997",8.04%
"Dec. 31, 1996",8.77%
"Sept. 30, 1996",3.48%
"June 30, 1996",0.81%
"March 31, 1996",-4.41%
"Dec. 31, 1995",-4.85%
"Sept. 30, 1995",-1.34%
"June 30, 1995",-0.10%
"March 31, 1995",0.18%
"Dec. 31, 1994",0.87%
"Sept. 30, 1994",-0.80%
"June 30, 1994",-1.03%
"March 31, 1994",-2.52%
"Dec. 31, 1993",-3.08%
"Sept. 30, 1993",-1.33%
"June 30, 1993",-0.98%
"March 31, 1993",0.74%
"Dec. 31, 1992",0.09%
"Sept. 30, 1992",-0.72%
"June 30, 1992",-0.93%
"March 31, 1992",-0.18%
"Dec. 31, 1991",1.01%
"Sept. 30, 1991",4.53%
"June 30, 1991",8.42%
"March 31, 1991",6.85%
"Dec. 31, 1990",6.54%
"Sept. 30, 1990",4.57%
"June 30, 1990",1.36%
