date,ebitda_ttm
"Dec. 31, 2019",2.723B
"Sept. 30, 2019",2.799B
"June 30, 2019",2.927B
"March 31, 2019",2.739B
"Dec. 31, 2018",2.502B
"Sept. 30, 2018",58.00M
"June 30, 2018",-2.383B
"March 31, 2018",-2.554B
"Dec. 31, 2017",-2.57B
"Sept. 30, 2017",-1.676B
"June 30, 2017",315.00M
"March 31, 2017",121.00M
"Dec. 31, 2016",-272.00M
"Sept. 30, 2016",-629.00M
"June 30, 2016",-358.00M
"March 31, 2016",-157.00M
"Dec. 31, 2015",38.00M
"Sept. 30, 2015",2.385B
"June 30, 2015",3.356B
"March 31, 2015",4.887B
"Dec. 31, 2014",5.983B
"Sept. 30, 2014",5.951B
"June 30, 2014",5.894B
"March 31, 2014",6.686B
"Dec. 31, 2013",7.665B
"Sept. 30, 2013",7.818B
"June 30, 2013",8.193B
"March 31, 2013",7.378B
"Dec. 31, 2012",6.622B
"Sept. 30, 2012",5.683B
"June 30, 2012",4.754B
"March 31, 2012",4.487B
"Dec. 31, 2011",4.996B
"Sept. 30, 2011",5.771B
"June 30, 2011",6.847B
"March 31, 2011",6.539B
"Dec. 31, 2010",5.989B
"Sept. 30, 2010",6.285B
"June 30, 2010",5.573B
"March 31, 2010",5.105B
"Dec. 31, 2009",4.136B
"Sept. 30, 2009",3.39B
"June 30, 2009",4.197B
"March 31, 2009",5.597B
"Dec. 31, 2008",6.963B
"Sept. 30, 2008",7.967B
"June 30, 2008",7.091B
"March 31, 2008",6.165B
"Dec. 31, 2007",5.586B
"Sept. 30, 2007",5.788B
"June 30, 2007",5.815B
"March 31, 2007",5.896B
"Dec. 31, 2006",5.673B
"Sept. 30, 2006",4.833B
"June 30, 2006",4.488B
"March 31, 2006",3.866B
"Dec. 31, 2005",3.45B
"Sept. 30, 2005",3.161B
"June 30, 2005",2.894B
"March 31, 2005",2.832B
"Dec. 31, 2004",2.769B
"Sept. 30, 2004",2.476B
"June 30, 2004",2.424B
"March 31, 2004",2.155B
"Dec. 31, 2003",2.077B
"Sept. 30, 2003",1.193B
"June 30, 2003",1.304B
"March 31, 2003",1.494B
"Dec. 31, 2002",1.426B
"Sept. 30, 2002",2.097B
"June 30, 2002",1.964B
"March 31, 2002",2.121B
"Dec. 31, 2001",2.344B
"Sept. 30, 2001",3.057B
"June 30, 2001",3.122B
"March 31, 2001",2.787B
"Dec. 31, 2000",2.549B
"Sept. 30, 2000",2.444B
"June 30, 2000",2.195B
"March 31, 2000",1.896B
"Dec. 31, 1999",1.509B
"Sept. 30, 1999",704.40M
"June 30, 1999",581.50M
"March 31, 1999",544.80M
"Dec. 31, 1998",518.00M
"Sept. 30, 1998",584.70M
"June 30, 1998",607.60M
"March 31, 1998",730.30M
"Dec. 31, 1997",923.20M
"Sept. 30, 1997",1.258B
"June 30, 1997",1.260B
"March 31, 1997",1.274B
"Dec. 31, 1996",1.305B
"Sept. 30, 1996",1.263B
"June 30, 1996",1.214B
"March 31, 1996",1.209B
"Dec. 31, 1995",1.170B
"Sept. 30, 1995",1.132B
"June 30, 1995",1.208B
"March 31, 1995",1.232B
"Dec. 31, 1994",1.360B
"Sept. 30, 1994",1.199B
"June 30, 1994",1.136B
"March 31, 1994",932.10M
"Dec. 31, 1993",736.70M
"Sept. 30, 1993",782.80M
"June 30, 1993",846.50M
"March 31, 1993",1.025B
"Dec. 31, 1992",1.009B
"Sept. 30, 1992",1.003B
"June 30, 1992",954.30M
"March 31, 1992",907.30M
"Dec. 31, 1991",973.20M
"Sept. 30, 1991",1.226B
"June 30, 1991",1.567B
"March 31, 1991",1.464B
"Dec. 31, 1990",1.450B
"Sept. 30, 1990",-2.542B
"June 30, 1990",-1.926B
"March 31, 1990",-600.90M
"Dec. 31, 1989",569.70M
"Sept. 30, 1989",1.296B
"June 30, 1989",1.034B
"March 31, 1989",458.10M
"Dec. 31, 1988",237.70M
"Sept. 30, 1988",-39.30M
"June 30, 1988",143.90M
"March 31, 1988",405.70M
"Dec. 31, 1987",390.60M
"Sept. 30, 1987",339.60M
"June 30, 1987",14.90M
"March 31, 1987",-195.90M
"Dec. 31, 1986",12.80M
"Sept. 30, 1986",-1.638B
"June 30, 1986",-626.20M
"March 31, 1986",272.60M
"Dec. 31, 1985",920.40M
"Sept. 30, 1985",368.10M
"June 30, 1985",513.20M
"March 31, 1985",667.60M
"Dec. 31, 1984",995.80M
