date,asset_utilization
"Dec. 31, 2019",0.30
"Sept. 30, 2019",0.2993
"June 30, 2019",0.3097
"March 31, 2019",0.3028
"Dec. 31, 2018",0.2886
"Sept. 30, 2018",0.2762
"June 30, 2018",0.2433
"March 31, 2018",0.2175
"Dec. 31, 2017",0.2036
"Sept. 30, 2017",0.1783
"June 30, 2017",0.1638
"March 31, 2017",0.1575
"Dec. 31, 2016",0.1432
"Sept. 30, 2016",0.1392
"June 30, 2016",0.1524
"March 31, 2016",0.1714
"Dec. 31, 2015",0.1836
"Sept. 30, 2015",0.2058
"June 30, 2015",0.2271
"March 31, 2015",0.2425
"Dec. 31, 2014",0.2624
"Sept. 30, 2014",0.2601
"June 30, 2014",0.2606
"March 31, 2014",0.2647
"Dec. 31, 2013",0.3432
"Sept. 30, 2013",0.3513
"June 30, 2013",0.3618
"March 31, 2013",0.3692
"Dec. 31, 2012",0.2971
"Sept. 30, 2012",0.0503
"June 30, 2012",0.1952
"March 31, 2012",0.3704
"Dec. 31, 2011",0.5782
"Sept. 30, 2011",1.049
"June 30, 2011",1.074
"March 31, 2011",1.055
"Dec. 31, 2010",1.073
"Sept. 30, 2010",1.112
"June 30, 2010",1.126
"March 31, 2010",1.100
"Dec. 31, 2009",1.029
"Sept. 30, 2009",0.9835
"June 30, 2009",1.109
"March 31, 2009",1.296
"Dec. 31, 2008",1.448
"Sept. 30, 2008",1.572
"June 30, 2008",1.498
"March 31, 2008",1.421
"Dec. 31, 2007",1.336
"Sept. 30, 2007",1.288
"June 30, 2007",1.300
"March 31, 2007",1.317
"Dec. 31, 2006",1.355
"Sept. 30, 2006",1.398
"June 30, 2006",1.393
"March 31, 2006",1.353
"Dec. 31, 2005",1.283
"Sept. 30, 2005",1.190
"June 30, 2005",1.134
"March 31, 2005",1.108
"Dec. 31, 2004",1.125
"Sept. 30, 2004",1.092
"June 30, 2004",1.087
"March 31, 2004",1.053
"Dec. 31, 2003",1.047
"Sept. 30, 2003",1.025
"June 30, 2003",0.9788
"March 31, 2003",0.9344
"Dec. 31, 2002",0.8205
"Sept. 30, 2002",0.7462
"June 30, 2002",0.7856
"March 31, 2002",0.8934
"Dec. 31, 2001",1.052
"Sept. 30, 2001",1.293
"June 30, 2001",1.451
"March 31, 2001",1.440
"Dec. 31, 2000",1.363
"Sept. 30, 2000",1.270
"June 30, 2000",1.170
"March 31, 2000",1.044
"Dec. 31, 1999",0.8859
"Sept. 30, 1999",0.7857
"June 30, 1999",0.7551
"March 31, 1999",0.7875
"Dec. 31, 1998",0.8242
"Sept. 30, 1998",0.8912
"June 30, 1998",0.9677
"March 31, 1998",1.014
"Dec. 31, 1997",1.086
"Sept. 30, 1997",1.118
"June 30, 1997",1.118
"March 31, 1997",1.135
"Dec. 31, 1996",1.100
"Sept. 30, 1996",1.057
"June 30, 1996",1.021
"March 31, 1996",0.9511
"Dec. 31, 1995",0.8973
"Sept. 30, 1995",0.8545
"June 30, 1995",0.8323
"March 31, 1995",0.7932
"Dec. 31, 1994",0.7807
"Sept. 30, 1994",0.7554
"June 30, 1994",0.7231
"March 31, 1994",0.7121
"Dec. 31, 1993",0.6733
"Sept. 30, 1993",0.6628
"June 30, 1993",0.6838
"March 31, 1993",0.695
"Dec. 31, 1992",0.6752
"Sept. 30, 1992",0.6839
"June 30, 1992",0.6895
"March 31, 1992",0.6974
"Dec. 31, 1991",0.7472
"Sept. 30, 1991",0.8526
"June 30, 1991",0.9485
"March 31, 1991",0.9575
"Dec. 31, 1990",0.941
"Sept. 30, 1990",0.8709
"June 30, 1990",0.8275
