date,capex_ttm
"Dec. 31, 2019",2.829B
"Sept. 30, 2019",2.668B
"June 30, 2019",2.499B
"March 31, 2019",2.368B
"Dec. 31, 2018",2.097B
"Sept. 30, 2018",1.987B
"June 30, 2018",1.96B
"March 31, 2018",1.947B
"Dec. 31, 2017",1.937B
"Sept. 30, 2017",1.87B
"June 30, 2017",1.886B
"March 31, 2017",2.021B
"Dec. 31, 2016",2.251B
"Sept. 30, 2016",2.699B
"June 30, 2016",3.133B
"March 31, 2016",3.63B
"Dec. 31, 2015",4.321B
"Sept. 30, 2015",4.914B
"June 30, 2015",5.297B
"March 31, 2015",5.379B
"Dec. 31, 2014",5.214B
"Sept. 30, 2014",5.234B
"June 30, 2014",5.295B
"March 31, 2014",5.567B
"Dec. 31, 2013",5.937B
"Sept. 30, 2013",6.143B
"June 30, 2013",6.871B
"March 31, 2013",7.342B
"Dec. 31, 2012",7.682B
"Sept. 30, 2012",7.978B
"June 30, 2012",8.277B
"March 31, 2012",7.715B
"Dec. 31, 2011",6.941B
"Sept. 30, 2011",7.232B
"June 30, 2011",6.26B
"March 31, 2011",5.786B
"Dec. 31, 2010",5.492B
"Sept. 30, 2010",4.076B
"June 30, 2010",3.218B
"March 31, 2010",3.002B
"Dec. 31, 2009",2.918B
"Sept. 30, 2009",3.149B
"June 30, 2009",3.822B
"March 31, 2009",4.293B
"Dec. 31, 2008",4.438B
"Sept. 30, 2008",4.087B
"June 30, 2008",3.545B
"March 31, 2008",3.321B
"Dec. 31, 2007",3.578B
"Sept. 30, 2007",3.734B
"June 30, 2007",3.787B
"March 31, 2007",3.614B
"Dec. 31, 2006",3.844B
"Sept. 30, 2006",3.608B
"June 30, 2006",3.477B
"March 31, 2006",3.21B
"Dec. 31, 2005",2.341B
"Sept. 30, 2005",2.045B
"June 30, 2005",1.744B
"March 31, 2005",1.624B
"Dec. 31, 2004",1.521B
"Sept. 30, 2004",1.435B
"June 30, 2004",1.385B
"March 31, 2004",1.379B
"Dec. 31, 2003",1.358B
"Sept. 30, 2003",1.342B
"June 30, 2003",1.366B
"March 31, 2003",1.425B
"Dec. 31, 2002",1.534B
"Sept. 30, 2002",1.696B
"June 30, 2002",1.911B
"March 31, 2002",2.622B
"Dec. 31, 2001",2.501B
"Sept. 30, 2001",2.34B
"June 30, 2001",2.00B
"March 31, 2001",1.107B
"Dec. 31, 2000",938.00M
"Sept. 30, 2000",789.70M
"June 30, 2000",782.00M
"March 31, 2000",758.20M
"Dec. 31, 1999",797.00M
"Sept. 30, 1999",935.90M
"June 30, 1999",1.150B
"March 31, 1999",1.321B
"Dec. 31, 1998",1.439B
"Sept. 30, 1998",1.532B
"June 30, 1998",1.443B
"March 31, 1998",1.444B
"Dec. 31, 1997",1.346B
"Sept. 30, 1997",1.185B
"June 30, 1997",1.142B
"March 31, 1997",921.90M
"Dec. 31, 1996",860.60M
"Sept. 30, 1996",792.50M
"June 30, 1996",690.00M
"March 31, 1996",693.80M
"Dec. 31, 1995",692.10M
"Sept. 30, 1995",707.60M
"June 30, 1995",669.70M
"March 31, 1995",621.70M
"Dec. 31, 1994",596.30M
"Sept. 30, 1994",614.00M
"June 30, 1994",859.90M
"March 31, 1994",1.099B
"Dec. 31, 1993",1.348B
"Sept. 30, 1993",1.528B
"June 30, 1993",1.544B
"March 31, 1993",1.587B
"Dec. 31, 1992",1.558B
"Sept. 30, 1992",1.595B
"June 30, 1992",1.676B
"March 31, 1992",1.703B
"Dec. 31, 1991",1.712B
"Sept. 30, 1991",1.938B
"June 30, 1991",1.862B
"March 31, 1991",1.616B
"Dec. 31, 1990",1.461B
"Sept. 30, 1990",802.60M
"June 30, 1990",397.30M
"March 31, 1990",205.20M
