date,shares_outstanding
"Jan. 31, 2020",305.21M
"Dec. 31, 2019",304.96M
"Sept. 30, 2019",304.71M
"June 30, 2019",304.48M
"April 15, 2019",303.44M
"March 31, 2019",304.28M
"Jan. 31, 2019",303.03M
"Dec. 31, 2018",291.43M
"Sept. 30, 2018",296.25M
"June 30, 2018",299.69M
"April 16, 2018",300.11M
"March 31, 2018",308.06M
"Dec. 31, 2017",315.05M
"Sept. 30, 2017",317.75M
"June 30, 2017",317.84M
"April 19, 2017",317.91M
"March 31, 2017",317.92M
"Dec. 31, 2016",316.52M
"Sept. 30, 2016",316.62M
"June 30, 2016",316.67M
"March 31, 2016",316.72M
"March 17, 2016",316.74M
"Feb. 19, 2016",315.24M
"Dec. 31, 2015",286.05M
"Sept. 30, 2015",286.10M
"June 30, 2015",287.06M
"March 31, 2015",287.38M
"March 19, 2015",287.43M
"Dec. 31, 2014",285.84M
"Sept. 30, 2014",298.97M
"June 30, 2014",307.72M
"March 31, 2014",314.21M
"March 20, 2014",315.11M
"Dec. 31, 2013",325.31M
"Sept. 30, 2013",337.58M
"June 30, 2013",343.40M
"March 31, 2013",343.30M
"March 15, 2013",343.12M
"Dec. 31, 2012",341.53M
"Sept. 30, 2012",341.55M
"June 30, 2012",341.51M
"March 31, 2012",341.61M
"March 16, 2012",341.57M
"Dec. 31, 2011",339.98M
"Sept. 30, 2011",339.90M
"June 30, 2011",339.88M
"March 31, 2011",339.75M
"March 14, 2011",339.36M
"Dec. 31, 2010",337.68M
"Sept. 30, 2010",328.50M
"June 30, 2010",328.42M
"March 31, 2010",328.34M
"March 15, 2010",328.24M
"Dec. 31, 2009",327.23M
"Sept. 30, 2009",327.07M
"June 30, 2009",327.05M
"March 31, 2009",327.04M
"Dec. 31, 2008",326.13M
"Sept. 30, 2008",326.07M
"June 30, 2008",325.34M
"March 31, 2008",322.96M
"Dec. 31, 2007",320.60M
"Sept. 30, 2007",319.45M
"June 30, 2007",317.99M
"March 31, 2007",317.28M
"Dec. 31, 2006",315.02M
"Sept. 30, 2006",281.16M
"June 30, 2006",280.53M
"March 31, 2006",280.39M
"Dec. 31, 2005",279.20M
"Sept. 30, 2005",279.10M
"June 30, 2005",278.66M
"March 31, 2005",276.95M
"Dec. 31, 2004",275.15M
"Sept. 30, 2004",274.96M
"June 30, 2004",273.43M
"March 31, 2004",270.06M
"Jan. 31, 2004",269.57M
"Dec. 31, 2003",269.87M
"Sept. 30, 2003",269.63M
"June 30, 2003",269.82M
"March 31, 2003",269.79M
"Feb. 28, 2003",269.81M
"Dec. 31, 2002",267.85M
"Sept. 30, 2002",267.60M
"June 30, 2002",267.70M
"March 31, 2002",266.90M
"Feb. 28, 2002",266.33M
"Dec. 31, 2001",266.54M
"Sept. 30, 2001",266.08M
"June 30, 2001",268.57M
"March 31, 2001",267.41M
"Feb. 28, 2001",266.56M
"Dec. 31, 2000",266.50M
"Sept. 30, 2000",265.72M
"June 30, 2000",270.25M
"March 31, 2000",271.80M
"Feb. 29, 2000",272.03M
"Dec. 31, 1999",272.30M
"Sept. 30, 1999",272.36M
"June 30, 1999",271.96M
"March 31, 1999",271.38M
"Feb. 28, 1999",271.10M
"Dec. 31, 1998",271.34M
"Sept. 30, 1998",271.37M
"June 30, 1998",273.15M
"March 31, 1998",274.63M
"Feb. 28, 1998",274.25M
"Dec. 31, 1997",274.63M
"Sept. 30, 1997",275.30M
"June 30, 1997",275.49M
"March 31, 1997",278.70M
"Feb. 28, 1997",278.76M
"Dec. 31, 1996",279.50M
"Sept. 30, 1996",279.70M
"June 30, 1996",279.51M
"March 31, 1996",279.25M
"Feb. 29, 1996",279.00M
"Dec. 31, 1995",279.31M
"Sept. 30, 1995",279.31M
"June 30, 1995",279.29M
"March 31, 1995",279.26M
"Feb. 28, 1995",278.98M
"Dec. 31, 1994",279.27M
"Sept. 30, 1994",279.20M
"June 30, 1994",279.28M
"March 31, 1994",279.31M
"Dec. 31, 1993",278.04M
"Sept. 30, 1993",278.05M
"June 30, 1993",278.09M
"March 31, 1993",278.07M
"Dec. 31, 1992",278.03M
"Sept. 30, 1992",278.06M
"June 30, 1992",249.21M
"March 31, 1992",243.49M
"Dec. 31, 1991",243.45M
"Sept. 30, 1991",243.45M
"June 30, 1991",243.45M
"March 31, 1991",243.30M
"Dec. 31, 1990",243.30M
"Sept. 30, 1990",243.42M
"June 30, 1990",243.23M
"March 31, 1990",243.16M
"Dec. 31, 1989",242.65M
"Sept. 30, 1989",243.86M
"June 30, 1989",243.02M
"March 31, 1989",246.17M
"Dec. 31, 1988",246.18M
"Sept. 30, 1988",246.34M
"June 30, 1988",246.41M
"March 31, 1988",252.45M
"Dec. 31, 1987",246.51M
"Sept. 30, 1987",253.47M
"June 30, 1987",249.59M
"March 31, 1987",249.44M
"Dec. 31, 1986",249.51M
"Sept. 30, 1986",249.47M
"June 30, 1986",249.47M
"March 31, 1986",249.16M
"Dec. 31, 1985",249.36M
"Sept. 30, 1985",248.99M
"June 30, 1985",248.85M
"March 31, 1985",248.74M
"Dec. 31, 1984",248.71M
"Sept. 30, 1984",248.74M
"June 30, 1984",248.74M
"March 31, 1984",248.74M
