date,free_cash_flow
"Dec. 31, 2019",-539.00M
"Sept. 30, 2019",-266.00M
"June 30, 2019",51.00M
"March 31, 2019",-433.00M
"Dec. 31, 2018",217.00M
"Sept. 30, 2018",-117.00M
"June 30, 2018",-68.00M
"March 31, 2018",-190.00M
"Dec. 31, 2017",-211.00M
"Sept. 30, 2017",-425.00M
"June 30, 2017",-315.00M
"March 31, 2017",-41.00M
"Dec. 31, 2016",-161.00M
"Sept. 30, 2016",-197.00M
"June 30, 2016",-418.00M
"March 31, 2016",-680.00M
"Dec. 31, 2015",-312.00M
"Sept. 30, 2015",-681.00M
"June 30, 2015",-472.00M
"March 31, 2015",-875.00M
"Dec. 31, 2014",-454.00M
"Sept. 30, 2014",-24.00M
"June 30, 2014",-291.00M
"March 31, 2014",12.00M
"Dec. 31, 2013",230.00M
"Sept. 30, 2013",-153.00M
"June 30, 2013",-219.00M
"March 31, 2013",-697.00M
"Dec. 31, 2012",-184.00M
"Sept. 30, 2012",-273.00M
"June 30, 2012",-697.00M
"March 31, 2012",-868.00M
"Dec. 31, 2011",-912.00M
"Sept. 30, 2011",-1.412B
"June 30, 2011",314.00M
"March 31, 2011",53.00M
"Dec. 31, 2010",-863.00M
"Sept. 30, 2010",-216.00M
"June 30, 2010",80.00M
"March 31, 2010",37.00M
"Dec. 31, 2009",346.00M
"Sept. 30, 2009",-70.00M
"June 30, 2009",-69.00M
"March 31, 2009",-79.00M
"Dec. 31, 2008",-663.00M
"Sept. 30, 2008",3.00M
"June 30, 2008",576.00M
"March 31, 2008",334.00M
"Dec. 31, 2007",1.00M
"Sept. 30, 2007",128.00M
"June 30, 2007",267.00M
"March 31, 2007",-467.00M
"Dec. 31, 2006",-182.00M
"Sept. 30, 2006",40.00M
"June 30, 2006",-73.00M
"March 31, 2006",-138.00M
"Dec. 31, 2005",-436.00M
"Sept. 30, 2005",-173.00M
"June 30, 2005",114.00M
"March 31, 2005",-6.00M
"Dec. 31, 2004",-175.00M
"Sept. 30, 2004",461.00M
"June 30, 2004",66.00M
"March 31, 2004",30.00M
"Dec. 31, 2003",79.00M
"Sept. 30, 2003",-206.00M
"June 30, 2003",205.00M
"March 31, 2003",145.00M
"Dec. 31, 2002",211.00M
"Sept. 30, 2002",103.00M
"June 30, 2002",158.00M
"March 31, 2002",-41.00M
"Dec. 31, 2001",-163.00M
"Sept. 30, 2001",92.00M
"June 30, 2001",-892.00M
"March 31, 2001",422.00M
"Dec. 31, 2000",36.00M
"Sept. 30, 2000",318.00M
"June 30, 2000",228.00M
"March 31, 2000",275.00M
"Dec. 31, 1999",122.10M
"Sept. 30, 1999",18.90M
"June 30, 1999",-98.50M
"March 31, 1999",-93.50M
"Dec. 31, 1998",-316.30M
"Sept. 30, 1998",-255.90M
"June 30, 1998",-187.80M
"March 31, 1998",-160.00M
"Dec. 31, 1997",-82.40M
"Sept. 30, 1997",-192.90M
"June 30, 1997",-213.50M
"March 31, 1997",393.20M
"Dec. 31, 1996",-112.60M
"Sept. 30, 1996",-185.90M
"June 30, 1996",179.90M
"March 31, 1996",65.70M
"Dec. 31, 1995",138.50M
"Sept. 30, 1995",27.20M
"June 30, 1995",146.60M
"March 31, 1995",236.60M
"Dec. 31, 1994",85.50M
"Sept. 30, 1994",-116.20M
"June 30, 1994",43.40M
"March 31, 1994",348.00M
"Dec. 31, 1993",136.10M
"Sept. 30, 1993",-304.00M
"June 30, 1993",-380.70M
"March 31, 1993",20.00M
"Dec. 31, 1992",-52.00M
"Sept. 30, 1992",-309.50M
"June 30, 1992",-119.50M
"March 31, 1992",60.90M
"Dec. 31, 1991",-273.90M
"Sept. 30, 1991",-521.90M
"June 30, 1991",-285.20M
"March 31, 1991",733.00M
"Dec. 31, 1990",-221.30M
"Sept. 30, 1990",-97.90M
"June 30, 1990",-69.00M
"March 31, 1990",253.20M
