date,total_employee_number
"Dec. 31, 2019",1775
"Dec. 31, 2018",1708
"Dec. 31, 2017",2075
"Dec. 31, 2016",2304
"Dec. 31, 2015",2770
"Dec. 31, 2014",3045
"Dec. 31, 2013",12225
"Dec. 31, 2012",14775
"Dec. 31, 2011",14350
"Dec. 31, 2010",13800
"Dec. 31, 2009",13300
"Sept. 30, 2009",13500
"Dec. 31, 2007",27000
"Dec. 31, 2006",13700
"Dec. 31, 2005",11610
"Dec. 31, 2004",11119
"Dec. 31, 2003",11481
"Dec. 31, 2002",11662
"Dec. 31, 2001",10838
"Dec. 31, 2000",9891
"Dec. 31, 1999",8485
"Dec. 31, 1998",9777
"Dec. 31, 1997",9216
"Dec. 31, 1996",9085
"Dec. 31, 1995",9574
"Dec. 31, 1994",9858
"Dec. 31, 1993",10173
"Dec. 31, 1992",10263
"Dec. 31, 1991",10317
"Dec. 31, 1990",9645
"Dec. 31, 1989",8151
