date,tangible_common_equity_ratio
"Dec. 31, 2019",19.18%
"Sept. 30, 2019",19.27%
"June 30, 2019",18.77%
"March 31, 2019",17.46%
"Dec. 31, 2018",17.68%
"Sept. 30, 2018",16.71%
"June 30, 2018",16.18%
"March 31, 2018",16.20%
"Dec. 31, 2017",16.44%
"Sept. 30, 2017",18.06%
"June 30, 2017",17.52%
"March 31, 2017",17.09%
"Dec. 31, 2016",16.92%
"Sept. 30, 2016",20.46%
"June 30, 2016",20.62%
"March 31, 2016",19.72%
"Dec. 31, 2015",20.06%
"Sept. 30, 2015",19.66%
"June 30, 2015",21.31%
"March 31, 2015",21.21%
"Dec. 31, 2014",20.92%
"Sept. 30, 2014",22.13%
"June 30, 2014",22.13%
"March 31, 2014",22.00%
"Dec. 31, 2013",21.51%
"Sept. 30, 2013",21.03%
"June 30, 2013",20.75%
"March 31, 2013",20.83%
"Dec. 31, 2012",20.60%
"Sept. 30, 2012",21.39%
"June 30, 2012",21.58%
"March 31, 2012",21.28%
"Dec. 31, 2011",21.29%
"Sept. 30, 2011",22.39%
"June 30, 2011",21.46%
"March 31, 2011",21.59%
"Dec. 31, 2010",21.44%
"Sept. 30, 2010",22.06%
"June 30, 2010",22.71%
"March 31, 2010",22.73%
"Dec. 31, 2009",22.40%
"Sept. 30, 2009",22.05%
"June 30, 2009",23.49%
"March 31, 2009",22.78%
"Dec. 31, 2008",21.20%
"Sept. 30, 2008",21.06%
"June 30, 2008",20.24%
"March 31, 2008",21.85%
"Dec. 31, 2007",22.50%
"Sept. 30, 2007",22.75%
"June 30, 2007",22.43%
"March 31, 2007",24.25%
"Dec. 31, 2006",25.47%
"Sept. 30, 2006",27.11%
"June 30, 2006",25.95%
"March 31, 2006",25.42%
"Dec. 31, 2005",24.18%
"Sept. 30, 2005",25.28%
"June 30, 2005",26.85%
"March 31, 2005",27.23%
"Dec. 31, 2004",28.35%
"Sept. 30, 2004",29.63%
"June 30, 2004",29.37%
"March 31, 2004",29.99%
"Dec. 31, 2003",29.55%
"Sept. 30, 2003",29.78%
"June 30, 2003",28.53%
"March 31, 2003",29.10%
"Dec. 31, 2002",27.50%
"Sept. 30, 2002",29.20%
"June 30, 2002",28.41%
"March 31, 2002",28.07%
"Dec. 31, 2001",27.72%
"Sept. 30, 2001",28.67%
"June 30, 2001",28.72%
"March 31, 2001",28.04%
"Dec. 31, 2000",27.52%
"Sept. 30, 2000",29.45%
"June 30, 2000",28.50%
"March 31, 2000",29.95%
"Dec. 31, 1999",30.99%
"Sept. 30, 1999",32.70%
"June 30, 1999",32.76%
"March 31, 1999",32.54%
"Dec. 31, 1998",32.60%
"Sept. 30, 1998",26.44%
"June 30, 1998",26.04%
"March 31, 1998",25.48%
"Dec. 31, 1997",26.04%
"Sept. 30, 1997",26.24%
"June 30, 1997",26.63%
"March 31, 1997",26.12%
"Dec. 31, 1996",30.81%
"Sept. 30, 1996",28.56%
"June 30, 1996",27.75%
"March 31, 1996",26.68%
"Dec. 31, 1995",29.07%
"Sept. 30, 1995",28.91%
"June 30, 1995",28.30%
"March 31, 1995",27.74%
"Dec. 31, 1994",28.07%
"Sept. 30, 1994",28.37%
"June 30, 1994",28.44%
"March 31, 1994",28.26%
"Dec. 31, 1993",28.57%
"Sept. 30, 1993",28.57%
"June 30, 1993",28.57%
"March 31, 1993",28.57%
