date,capex_ttm
"Dec. 31, 2019",4.632B
"Sept. 30, 2019",4.352B
"June 30, 2019",4.446B
"March 31, 2019",4.280B
"Dec. 31, 2018",4.271B
"Sept. 30, 2018",4.207B
"June 30, 2018",4.048B
"March 31, 2018",4.051B
"Dec. 31, 2017",4.002B
"Sept. 30, 2017",3.779B
"June 30, 2017",3.607B
"March 31, 2017",3.307B
"Dec. 31, 2016",4.044B
"Sept. 30, 2016",4.066B
"June 30, 2016",4.099B
"March 31, 2016",4.035B
"Dec. 31, 2015",2.994B
"Sept. 30, 2015",2.839B
"June 30, 2015",2.722B
"March 31, 2015",2.660B
"Dec. 31, 2014",2.657B
"Sept. 30, 2014",2.503B
"June 30, 2014",2.564B
"March 31, 2014",2.672B
"Dec. 31, 2013",2.823B
"Sept. 30, 2013",3.586B
"June 30, 2013",3.650B
"March 31, 2013",3.701B
"Dec. 31, 2012",3.689B
"Sept. 30, 2012",3.374B
"June 30, 2012",3.127B
"March 31, 2012",3.305B
"Dec. 31, 2011",3.328B
"Sept. 30, 2011",2.891B
"June 30, 2011",2.939B
"March 31, 2011",2.657B
"Dec. 31, 2010",2.382B
"Sept. 30, 2010",2.549B
"June 30, 2010",2.513B
"March 31, 2010",2.395B
"Dec. 31, 2009",2.457B
"Sept. 30, 2009",2.815B
"June 30, 2009",3.711B
"March 31, 2009",3.048B
"Dec. 31, 2008",2.903B
"Sept. 30, 2008",2.354B
"June 30, 2008",1.324B
"March 31, 2008",2.450B
"Dec. 31, 2007",2.323B
"Sept. 30, 2007",2.370B
"June 30, 2007",2.108B
"March 31, 2007",1.551B
"Dec. 31, 2006",2.000B
"Sept. 30, 2006",1.903B
"June 30, 2006",1.823B
"March 31, 2006",2.099B
"Dec. 31, 2005",1.620B
"Sept. 30, 2005",1.505B
"June 30, 2005",1.669B
"March 31, 2005",1.431B
"Dec. 31, 2004",1.411B
"Sept. 30, 2004",1.462B
"June 30, 2004",1.469B
"March 31, 2004",1.435B
"Dec. 31, 2003",1.569B
"Sept. 30, 2003",1.529B
"June 30, 2003",1.437B
"March 31, 2003",1.565B
"Dec. 31, 2002",1.530B
"Sept. 30, 2002",1.494B
"June 30, 2002",1.597B
"March 31, 2002",1.431B
"Dec. 31, 2001",1.380B
"Sept. 30, 2001",1.321B
"June 30, 2001",1.279B
"March 31, 2001",1.366B
"Dec. 31, 2000",1.494B
"Sept. 30, 2000",1.516B
"June 30, 2000",1.454B
"March 31, 2000",1.342B
"Dec. 31, 1999",1.196B
"Sept. 30, 1999",1.267B
"June 30, 1999",1.389B
"March 31, 1999",1.306B
"Dec. 31, 1998",1.246B
"Sept. 30, 1998",1.102B
"June 30, 1998",1.083B
"March 31, 1998",980.20M
"Dec. 31, 1997",936.40M
"Sept. 30, 1997",758.10M
"June 30, 1997",685.70M
"March 31, 1997",678.90M
"Dec. 31, 1996",695.80M
"Sept. 30, 1996",762.30M
"June 30, 1996",764.30M
"March 31, 1996",904.60M
"Dec. 31, 1995",825.90M
"Sept. 30, 1995",873.30M
"June 30, 1995",904.70M
"March 31, 1995",789.80M
"Dec. 31, 1994",856.10M
"Sept. 30, 1994",879.60M
"June 30, 1994",786.10M
"March 31, 1994",711.00M
"Dec. 31, 1993",630.40M
"Sept. 30, 1993",341.80M
"June 30, 1993",216.50M
"March 31, 1993",103.80M
