date,ni_per_employee_annual
"Dec. 31, 2019",92101.45
"Dec. 31, 2018",63441.82
"Dec. 31, 2017",31487.80
"Dec. 31, 2016",-42583.11
"Dec. 31, 2015",-12056.46
"Dec. 31, 2014",71639.59
"Dec. 31, 2013",51389.02
"Dec. 31, 2012",59259.77
"Dec. 31, 2011",92265.32
"Dec. 31, 2010",84805.73
"Dec. 31, 2009",84333.82
"Dec. 31, 2008",85580.70
"Dec. 31, 2007",80708.98
"Dec. 31, 2006",81085.48
"Dec. 31, 2005",62906.13
"Dec. 31, 2004",62300.43
"Dec. 31, 2003",62584.25
"Dec. 31, 2002",40409.37
"Dec. 31, 2001",51164.54
"Dec. 31, 2000",53704.63
"Dec. 31, 1999",47241.16
"Dec. 31, 1998",52506.35
"Dec. 31, 1997",19837.82
"Dec. 31, 1996",36789.02
"Dec. 31, 1995",40563.09
"Dec. 31, 1994",20993.80
"Dec. 31, 1993",38085.71
"Dec. 31, 1992",34702.62
"Dec. 31, 1991",36883.99
"Dec. 31, 1990",36012.50
