date,long_term_debt
"Dec. 31, 2019",17.08B
"Sept. 30, 2019",16.94B
"June 30, 2019",17.20B
"March 31, 2019",17.17B
"Dec. 31, 2018",15.52B
"Sept. 30, 2018",15.78B
"June 30, 2018",14.86B
"March 31, 2018",15.59B
"Dec. 31, 2017",14.32B
"Sept. 30, 2017",13.98B
"June 30, 2017",14.31B
"March 31, 2017",13.93B
"Dec. 31, 2016",14.47B
"Sept. 30, 2016",13.86B
"June 30, 2016",13.11B
"March 31, 2016",13.50B
"Dec. 31, 2015",13.11B
"Sept. 30, 2015",13.05B
"June 30, 2015",12.09B
"March 31, 2015",12.31B
"Dec. 31, 2014",12.39B
"Sept. 30, 2014",11.63B
"June 30, 2014",11.94B
"March 31, 2014",12.20B
"Dec. 31, 2013",12.14B
"Sept. 30, 2013",12.28B
"June 30, 2013",12.09B
"March 31, 2013",11.73B
"Dec. 31, 2012",11.92B
"Sept. 30, 2012",11.75B
"June 30, 2012",11.97B
"March 31, 2012",12.12B
"Dec. 31, 2011",10.04B
"Sept. 30, 2011",10.24B
"June 30, 2011",12.06B
"March 31, 2011",11.58B
"Dec. 31, 2010",11.32B
"Sept. 30, 2010",11.44B
"June 30, 2010",11.02B
"March 31, 2010",11.14B
"Dec. 31, 2009",10.71B
"Sept. 30, 2009",9.972B
"June 30, 2009",10.18B
"March 31, 2009",10.92B
"Dec. 31, 2008",11.17B
"Sept. 30, 2008",11.95B
"June 30, 2008",10.76B
"March 31, 2008",9.928B
"Dec. 31, 2007",9.728B
"Sept. 30, 2007",10.15B
"June 30, 2007",10.29B
"March 31, 2007",9.197B
"Dec. 31, 2006",8.798B
"Sept. 30, 2006",8.614B
"June 30, 2006",8.980B
"March 31, 2006",8.925B
"Dec. 31, 2005",8.824B
"Sept. 30, 2005",8.381B
"June 30, 2005",7.844B
"March 31, 2005",7.445B
"Dec. 31, 2004",7.017B
"Sept. 30, 2004",7.220B
"June 30, 2004",7.586B
"March 31, 2004",7.399B
"Dec. 31, 2003",7.323B
"Sept. 30, 2003",7.441B
"June 30, 2003",7.864B
"March 31, 2003",7.255B
"Dec. 31, 2002",7.309B
"Sept. 30, 2002",7.239B
"June 30, 2002",6.559B
"March 31, 2002",7.059B
"Dec. 31, 2001",7.321B
"Sept. 30, 2001",7.238B
"June 30, 2001",7.306B
"March 31, 2001",7.352B
"Dec. 31, 2000",7.732B
"Sept. 30, 2000",7.107B
"June 30, 2000",7.379B
"March 31, 2000",7.101B
"Dec. 31, 1999",6.828B
"Sept. 30, 1999",6.504B
"June 30, 1999",6.459B
"March 31, 1999",6.411B
"Dec. 31, 1998",6.597B
"Sept. 30, 1998",8.942B
"June 30, 1998",8.977B
"March 31, 1998",9.026B
"Dec. 31, 1997",9.068B
"Sept. 30, 1997",9.394B
"June 30, 1997",9.524B
"March 31, 1997",9.423B
"Dec. 31, 1996",7.591B
"Sept. 30, 1996",7.643B
"June 30, 1996",7.853B
"March 31, 1996",7.638B
"Dec. 31, 1995",6.777B
"Sept. 30, 1995",6.750B
"June 30, 1995",7.024B
"March 31, 1995",7.035B
"Dec. 31, 1994",7.094B
"Sept. 30, 1994",7.288B
"June 30, 1994",7.349B
"March 31, 1994",7.310B
"Dec. 31, 1993",7.356B
"Sept. 30, 1993",7.356B
"June 30, 1993",7.356B
"March 31, 1993",7.356B
