date,return_on_assets
"Dec. 31, 2019",2.51%
"Sept. 30, 2019",1.63%
"June 30, 2019",2.00%
"March 31, 2019",2.04%
"Dec. 31, 2018",1.81%
"Sept. 30, 2018",0.95%
"June 30, 2018",0.66%
"March 31, 2018",1.03%
"Dec. 31, 2017",0.92%
"Sept. 30, 2017",-1.87%
"June 30, 2017",-1.89%
"March 31, 2017",-1.55%
"Dec. 31, 2016",-1.23%
"Sept. 30, 2016",2.85%
"June 30, 2016",0.43%
"March 31, 2016",-0.49%
"Dec. 31, 2015",-0.34%
"Sept. 30, 2015",-0.30%
"June 30, 2015",1.79%
"March 31, 2015",1.90%
"Dec. 31, 2014",2.16%
"Sept. 30, 2014",2.25%
"June 30, 2014",2.28%
"March 31, 2014",2.24%
"Dec. 31, 2013",1.69%
"Sept. 30, 2013",2.05%
"June 30, 2013",2.31%
"March 31, 2013",2.82%
"Dec. 31, 2012",2.09%
"Sept. 30, 2012",1.78%
"June 30, 2012",2.53%
"March 31, 2012",2.44%
"Dec. 31, 2011",3.48%
"Sept. 30, 2011",3.71%
"June 30, 2011",3.38%
"March 31, 2011",3.40%
"Dec. 31, 2010",3.33%
"Sept. 30, 2010",3.60%
"June 30, 2010",3.54%
"March 31, 2010",3.32%
"Dec. 31, 2009",3.41%
"Sept. 30, 2009",3.08%
"June 30, 2009",3.13%
"March 31, 2009",3.30%
"Dec. 31, 2008",3.56%
"Sept. 30, 2008",3.62%
"June 30, 2008",3.66%
"March 31, 2008",3.72%
"Dec. 31, 2007",3.48%
"Sept. 30, 2007",3.71%
"June 30, 2007",3.58%
"March 31, 2007",3.69%
"Dec. 31, 2006",3.66%
"Sept. 30, 2006",3.12%
"June 30, 2006",3.03%
"March 31, 2006",3.11%
"Dec. 31, 2005",3.07%
"Sept. 30, 2005",3.34%
"June 30, 2005",3.13%
"March 31, 2005",3.05%
"Dec. 31, 2004",3.17%
"Sept. 30, 2004",2.57%
"June 30, 2004",2.86%
"March 31, 2004",2.68%
"Dec. 31, 2003",3.37%
"Sept. 30, 2003",3.83%
"June 30, 2003",3.89%
"March 31, 2003",4.12%
"Dec. 31, 2002",2.37%
"Sept. 30, 2002",2.18%
"June 30, 2002",2.01%
"March 31, 2002",2.02%
"Dec. 31, 2001",2.93%
"Sept. 30, 2001",3.07%
"June 30, 2001",3.07%
"March 31, 2001",3.12%
"Dec. 31, 2000",2.96%
"Sept. 30, 2000",2.87%
"June 30, 2000",2.85%
"March 31, 2000",2.73%
"Dec. 31, 1999",2.58%
"Sept. 30, 1999",3.45%
"June 30, 1999",3.21%
"March 31, 1999",3.14%
"Dec. 31, 1998",2.99%
"Sept. 30, 1998",1.95%
"June 30, 1998",1.23%
"March 31, 1998",1.02%
"Dec. 31, 1997",1.30%
"Sept. 30, 1997",1.59%
"June 30, 1997",2.59%
"March 31, 1997",2.87%
"Dec. 31, 1996",2.14%
"Sept. 30, 1996",2.42%
"June 30, 1996",2.28%
"March 31, 1996",2.10%
"Dec. 31, 1995",2.82%
"Sept. 30, 1995",2.21%
"June 30, 1995",1.68%
"March 31, 1995",1.60%
"Dec. 31, 1994",1.50%
"Sept. 30, 1994",1.73%
"June 30, 1994",2.13%
"March 31, 1994",2.07%
"Dec. 31, 1993",2.41%
"Sept. 30, 1993",2.50%
