date,gross_profit_margin
"Dec. 31, 2019",36.18%
"Sept. 30, 2019",43.61%
"June 30, 2019",36.01%
"March 31, 2019",36.72%
"Dec. 31, 2018",27.47%
"Sept. 30, 2018",33.62%
"June 30, 2018",34.12%
"March 31, 2018",38.85%
"Dec. 31, 2017",33.51%
"Sept. 30, 2017",43.29%
"June 30, 2017",37.15%
"March 31, 2017",35.69%
"Dec. 31, 2016",33.66%
"Sept. 30, 2016",44.76%
"June 30, 2016",41.91%
"March 31, 2016",40.59%
"Dec. 31, 2015",29.68%
"Sept. 30, 2015",37.41%
"June 30, 2015",34.85%
"March 31, 2015",38.10%
"Dec. 31, 2014",30.37%
"Sept. 30, 2014",35.29%
"June 30, 2014",33.14%
"March 31, 2014",40.36%
"Dec. 31, 2013",29.81%
"Sept. 30, 2013",36.91%
"June 30, 2013",31.12%
"March 31, 2013",34.90%
"Dec. 31, 2012",34.30%
"Sept. 30, 2012",40.59%
"June 30, 2012",35.95%
"March 31, 2012",32.49%
"Dec. 31, 2011",-51.84%
"Sept. 30, 2011",59.07%
"June 30, 2011",61.56%
"March 31, 2011",63.23%
"Dec. 31, 2010",63.38%
"Sept. 30, 2010",61.03%
"June 30, 2010",61.15%
"March 31, 2010",60.29%
"Dec. 31, 2009",67.75%
"Sept. 30, 2009",65.65%
"June 30, 2009",64.13%
"March 31, 2009",56.03%
"Dec. 31, 2008",46.01%
"Sept. 30, 2008",48.68%
"June 30, 2008",53.10%
"March 31, 2008",59.47%
"Dec. 31, 2007",57.41%
"Sept. 30, 2007",59.57%
"June 30, 2007",56.79%
"March 31, 2007",54.28%
"Dec. 31, 2006",52.10%
"Sept. 30, 2006",49.66%
"June 30, 2006",51.24%
"March 31, 2006",49.32%
"Dec. 31, 2005",46.27%
"Sept. 30, 2005",51.79%
"June 30, 2005",56.36%
"March 31, 2005",55.90%
"Dec. 31, 2004",60.54%
"Sept. 30, 2004",51.13%
"June 30, 2004",56.42%
"March 31, 2004",55.60%
"Dec. 31, 2003",52.18%
"Sept. 30, 2003",57.88%
"June 30, 2003",58.23%
"March 31, 2003",62.86%
"Dec. 31, 2002",64.08%
"Sept. 30, 2002",62.78%
"June 30, 2002",65.20%
"March 31, 2002",64.34%
"Dec. 31, 2001",59.85%
"Sept. 30, 2001",52.29%
"June 30, 2001",48.35%
"March 31, 2001",43.19%
"Dec. 31, 2000",41.76%
"Sept. 30, 2000",42.55%
"June 30, 2000",53.99%
"March 31, 2000",51.10%
"Dec. 31, 1999",49.77%
"Sept. 30, 1999",43.11%
"June 30, 1999",48.85%
"March 31, 1999",51.44%
"Dec. 31, 1998",49.96%
"Sept. 30, 1998",34.07%
"June 30, 1998",53.88%
"March 31, 1998",50.27%
"Dec. 31, 1997",
"Sept. 30, 1997",
"June 30, 1997",62.23%
"March 31, 1997",59.09%
"Dec. 31, 1996",66.63%
"Sept. 30, 1996",66.59%
"June 30, 1996",67.18%
"March 31, 1996",65.72%
"Dec. 31, 1995",69.90%
"Sept. 30, 1995",69.88%
"June 30, 1995",72.40%
"March 31, 1995",70.80%
"Dec. 31, 1994",66.40%
"Sept. 30, 1994",71.32%
"June 30, 1994",69.50%
"March 31, 1994",67.56%
"Dec. 31, 1993",67.61%
"Sept. 30, 1993",72.32%
"June 30, 1993",74.18%
"March 31, 1993",72.93%
