date,cash_investing_ttm
"Dec. 31, 2019",-4.510B
"Sept. 30, 2019",-4.130B
"June 30, 2019",-4.201B
"March 31, 2019",-4.083B
"Dec. 31, 2018",-4.106B
"Sept. 30, 2018",-4.014B
"June 30, 2018",-4.001B
"March 31, 2018",-4.004B
"Dec. 31, 2017",-3.841B
"Sept. 30, 2017",-3.695B
"June 30, 2017",-3.354B
"March 31, 2017",-2.784B
"Dec. 31, 2016",-3.850B
"Sept. 30, 2016",-3.405B
"June 30, 2016",-3.505B
"March 31, 2016",-3.787B
"Dec. 31, 2015",-2.609B
"Sept. 30, 2015",-2.972B
"June 30, 2015",-2.934B
"March 31, 2015",-2.999B
"Dec. 31, 2014",-2.954B
"Sept. 30, 2014",-2.712B
"June 30, 2014",-2.687B
"March 31, 2014",-2.595B
"Dec. 31, 2013",-2.602B
"Sept. 30, 2013",-3.374B
"June 30, 2013",-3.445B
"March 31, 2013",-3.552B
"Dec. 31, 2012",-3.640B
"Sept. 30, 2012",-3.375B
"June 30, 2012",-3.119B
"March 31, 2012",-3.299B
"Dec. 31, 2011",-3.447B
"Sept. 30, 2011",-2.975B
"June 30, 2011",-3.229B
"March 31, 2011",-2.956B
"Dec. 31, 2010",-2.574B
"Sept. 30, 2010",-2.641B
"June 30, 2010",-2.148B
"March 31, 2010",-1.963B
"Dec. 31, 2009",-2.094B
"Sept. 30, 2009",-2.095B
"June 30, 2009",-2.702B
"March 31, 2009",-2.649B
"Dec. 31, 2008",-2.590B
"Sept. 30, 2008",-2.590B
"June 30, 2008",-2.090B
"March 31, 2008",-2.420B
"Dec. 31, 2007",-2.098B
"Sept. 30, 2007",-1.955B
"June 30, 2007",-1.861B
"March 31, 2007",-1.307B
"Dec. 31, 2006",-1.899B
"Sept. 30, 2006",-2.184B
"June 30, 2006",-2.373B
"March 31, 2006",-2.293B
"Dec. 31, 2005",-1.993B
"Sept. 30, 2005",-1.401B
"June 30, 2005",-1.331B
"March 31, 2005",-1.561B
"Dec. 31, 2004",-1.140B
"Sept. 30, 2004",-1.174B
"June 30, 2004",-1.132B
"March 31, 2004",-1.310B
"Dec. 31, 2003",-1.783B
"Sept. 30, 2003",-2.110B
"June 30, 2003",-2.030B
"March 31, 2003",-1.952B
"Dec. 31, 2002",-1.388B
"Sept. 30, 2002",-1.307B
"June 30, 2002",-1.467B
"March 31, 2002",-1.525B
"Dec. 31, 2001",-2.225B
"Sept. 30, 2001",-2.609B
"June 30, 2001",-2.469B
"March 31, 2001",-2.462B
"Dec. 31, 2000",-1.814B
"Sept. 30, 2000",-1.344B
"June 30, 2000",-807.02M
"March 31, 2000",-497.41M
"Dec. 31, 1999",-447.90M
"Sept. 30, 1999",860.94M
"June 30, 1999",407.36M
"March 31, 1999",325.40M
"Dec. 31, 1998",136.90M
"Sept. 30, 1998",-1.069B
"June 30, 1998",-1.104B
"March 31, 1998",-904.10M
"Dec. 31, 1997",-2.783B
"Sept. 30, 1997",-2.705B
"June 30, 1997",-2.478B
"March 31, 1997",-2.583B
"Dec. 31, 1996",-1.774B
"Sept. 30, 1996",-1.935B
"June 30, 1996",-2.022B
"March 31, 1996",-2.001B
"Dec. 31, 1995",-791.50M
"Sept. 30, 1995",-665.10M
"June 30, 1995",-642.00M
"March 31, 1995",-659.20M
"Dec. 31, 1994",-739.40M
"Sept. 30, 1994",-729.80M
"June 30, 1994",-667.90M
"March 31, 1994",-578.10M
"Dec. 31, 1993",-549.40M
