date,current_ratio
"Dec. 31, 2019",0.5419
"Sept. 30, 2019",0.7175
"June 30, 2019",0.726
"March 31, 2019",0.701
"Dec. 31, 2018",0.5434
"Sept. 30, 2018",0.6425
"June 30, 2018",0.5671
"March 31, 2018",0.6986
"Dec. 31, 2017",0.6523
"Sept. 30, 2017",0.7782
"June 30, 2017",0.8488
"March 31, 2017",0.8759
"Dec. 31, 2016",1.151
"Sept. 30, 2016",1.257
"June 30, 2016",0.9578
"March 31, 2016",1.042
"Dec. 31, 2015",1.316
"Sept. 30, 2015",1.192
"June 30, 2015",1.022
"March 31, 2015",1.100
"Dec. 31, 2014",1.140
"Sept. 30, 2014",0.9576
"June 30, 2014",1.028
"March 31, 2014",1.070
"Dec. 31, 2013",0.9678
"Sept. 30, 2013",1.015
"June 30, 2013",0.9015
"March 31, 2013",0.8528
"Dec. 31, 2012",0.8969
"Sept. 30, 2012",0.9703
"June 30, 2012",1.053
"March 31, 2012",1.194
"Dec. 31, 2011",0.7318
"Sept. 30, 2011",0.9984
"June 30, 2011",1.723
"March 31, 2011",1.635
"Dec. 31, 2010",1.563
"Sept. 30, 2010",1.732
"June 30, 2010",1.554
"March 31, 2010",1.547
"Dec. 31, 2009",1.420
"Sept. 30, 2009",1.176
"June 30, 2009",1.265
"March 31, 2009",1.495
"Dec. 31, 2008",1.370
"Sept. 30, 2008",1.774
"June 30, 2008",1.372
"March 31, 2008",1.231
"Dec. 31, 2007",1.215
"Sept. 30, 2007",1.556
"June 30, 2007",1.621
"March 31, 2007",1.578
"Dec. 31, 2006",1.349
"Sept. 30, 2006",1.491
"June 30, 2006",1.478
"March 31, 2006",1.452
"Dec. 31, 2005",1.305
"Sept. 30, 2005",1.267
"June 30, 2005",1.415
"March 31, 2005",1.391
"Dec. 31, 2004",1.319
"Sept. 30, 2004",1.288
"June 30, 2004",1.393
"March 31, 2004",1.448
"Dec. 31, 2003",1.279
"Sept. 30, 2003",1.293
"June 30, 2003",1.409
"March 31, 2003",1.058
"Dec. 31, 2002",1.010
"Sept. 30, 2002",0.9273
"June 30, 2002",0.6924
"March 31, 2002",0.8102
"Dec. 31, 2001",0.8877
"Sept. 30, 2001",0.8176
"June 30, 2001",0.8628
"March 31, 2001",0.9388
"Dec. 31, 2000",1.151
"Sept. 30, 2000",1.278
"June 30, 2000",1.382
"March 31, 2000",1.457
"Dec. 31, 1999",1.492
"Sept. 30, 1999",1.630
"June 30, 1999",1.622
"March 31, 1999",1.791
"Dec. 31, 1998",1.839
"Sept. 30, 1998",1.091
"June 30, 1998",1.071
"March 31, 1998",1.015
"Dec. 31, 1997",1.132
"Sept. 30, 1997",1.105
"June 30, 1997",1.174
"March 31, 1997",1.099
"Dec. 31, 1996",1.255
"Sept. 30, 1996",1.289
"June 30, 1996",1.122
"March 31, 1996",0.9246
"Dec. 31, 1995",1.102
"Sept. 30, 1995",1.190
"June 30, 1995",1.187
"March 31, 1995",1.017
"Dec. 31, 1994",1.095
"Sept. 30, 1994",1.250
"June 30, 1994",1.230
"March 31, 1994",1.102
"Dec. 31, 1993",1.229
"Sept. 30, 1993",1.250
"June 30, 1993",1.244
"March 31, 1993",1.244
