date,cash_operations_ttm
"Dec. 31, 2019",2.817B
"Sept. 30, 2019",2.644B
"June 30, 2019",2.358B
"March 31, 2019",2.329B
"Dec. 31, 2018",2.385B
"Sept. 30, 2018",2.770B
"June 30, 2018",2.884B
"March 31, 2018",2.652B
"Dec. 31, 2017",2.624B
"Sept. 30, 2017",2.459B
"June 30, 2017",2.566B
"March 31, 2017",2.995B
"Dec. 31, 2016",2.999B
"Sept. 30, 2016",3.194B
"June 30, 2016",3.205B
"March 31, 2016",3.213B
"Dec. 31, 2015",3.291B
"Sept. 30, 2015",3.348B
"June 30, 2015",3.699B
"March 31, 2015",3.733B
"Dec. 31, 2014",3.890B
"Sept. 30, 2014",3.881B
"June 30, 2014",3.602B
"March 31, 2014",3.412B
"Dec. 31, 2013",3.189B
"Sept. 30, 2013",2.920B
"June 30, 2013",2.868B
"March 31, 2013",2.884B
"Dec. 31, 2012",2.940B
"Sept. 30, 2012",3.219B
"June 30, 2012",3.339B
"March 31, 2012",3.406B
"Dec. 31, 2011",3.129B
"Sept. 30, 2011",2.891B
"June 30, 2011",3.435B
"March 31, 2011",3.575B
"Dec. 31, 2010",3.926B
"Sept. 30, 2010",4.089B
"June 30, 2010",3.385B
"March 31, 2010",3.233B
"Dec. 31, 2009",2.933B
"Sept. 30, 2009",2.641B
"June 30, 2009",3.427B
"March 31, 2009",3.251B
"Dec. 31, 2008",3.324B
"Sept. 30, 2008",3.626B
"June 30, 2008",2.509B
"March 31, 2008",2.515B
"Dec. 31, 2007",2.560B
"Sept. 30, 2007",2.789B
"June 30, 2007",2.903B
"March 31, 2007",2.900B
"Dec. 31, 2006",3.419B
"Sept. 30, 2006",2.618B
"June 30, 2006",2.175B
"March 31, 2006",1.984B
"Dec. 31, 2005",1.468B
"Sept. 30, 2005",2.323B
"June 30, 2005",2.773B
"March 31, 2005",3.027B
"Dec. 31, 2004",2.929B
"Sept. 30, 2004",2.543B
"June 30, 2004",2.410B
"March 31, 2004",2.354B
"Dec. 31, 2003",2.006B
"Sept. 30, 2003",1.688B
"June 30, 2003",1.904B
"March 31, 2003",1.879B
"Dec. 31, 2002",2.182B
"Sept. 30, 2002",2.657B
"June 30, 2002",2.418B
"March 31, 2002",2.385B
"Dec. 31, 2001",2.216B
"Sept. 30, 2001",2.022B
"June 30, 2001",1.831B
"March 31, 2001",1.842B
"Dec. 31, 2000",1.968B
"Sept. 30, 2000",1.555B
"June 30, 2000",1.536B
"March 31, 2000",1.506B
"Dec. 31, 1999",1.389B
"Sept. 30, 1999",1.415B
"June 30, 1999",1.617B
"March 31, 1999",1.598B
"Dec. 31, 1998",1.679B
"Sept. 30, 1998",1.422B
"June 30, 1998",1.538B
"March 31, 1998",1.494B
"Dec. 31, 1997",1.725B
"Sept. 30, 1997",1.834B
"June 30, 1997",1.742B
"March 31, 1997",1.765B
"Dec. 31, 1996",1.528B
"Sept. 30, 1996",1.606B
"June 30, 1996",1.602B
"March 31, 1996",1.418B
"Dec. 31, 1995",1.426B
"Sept. 30, 1995",1.506B
"June 30, 1995",1.479B
"March 31, 1995",1.491B
"Dec. 31, 1994",1.538B
"Sept. 30, 1994",1.419B
"June 30, 1994",1.289B
"March 31, 1994",1.241B
"Dec. 31, 1993",1.074B
