date,net_income_ttm
"Dec. 31, 2019",1.258B
"Sept. 30, 2019",806.32M
"June 30, 2019",976.68M
"March 31, 2019",985.00M
"Dec. 31, 2018",862.56M
"Sept. 30, 2018",449.17M
"June 30, 2018",310.99M
"March 31, 2018",475.50M
"Dec. 31, 2017",425.35M
"Sept. 30, 2017",-864.48M
"June 30, 2017",-872.92M
"March 31, 2017",-713.69M
"Dec. 31, 2016",-564.50M
"Sept. 30, 2016",1.306B
"June 30, 2016",194.45M
"March 31, 2016",-224.42M
"Dec. 31, 2015",-156.73M
"Sept. 30, 2015",-136.58M
"June 30, 2015",816.57M
"March 31, 2015",857.13M
"Dec. 31, 2014",960.26M
"Sept. 30, 2014",986.60M
"June 30, 2014",995.87M
"March 31, 2014",969.64M
"Dec. 31, 2013",730.57M
"Sept. 30, 2013",881.07M
"June 30, 2013",979.56M
"March 31, 2013",1.182B
"Dec. 31, 2012",868.36M
"Sept. 30, 2012",726.54M
"June 30, 2012",1.017B
"March 31, 2012",966.95M
"Dec. 31, 2011",1.367B
"Sept. 30, 2011",1.441B
"June 30, 2011",1.305B
"March 31, 2011",1.305B
"Dec. 31, 2010",1.270B
"Sept. 30, 2010",1.356B
"June 30, 2010",1.318B
"March 31, 2010",1.230B
"Dec. 31, 2009",1.251B
"Sept. 30, 2009",1.123B
"June 30, 2009",1.133B
"March 31, 2009",1.177B
"Dec. 31, 2008",1.246B
"Sept. 30, 2008",1.249B
"June 30, 2008",1.240B
"March 31, 2008",1.231B
"Dec. 31, 2007",1.135B
"Sept. 30, 2007",1.187B
"June 30, 2007",1.121B
"March 31, 2007",1.135B
"Dec. 31, 2006",1.125B
"Sept. 30, 2006",950.18M
"June 30, 2006",910.87M
"March 31, 2006",921.62M
"Dec. 31, 2005",898.33M
"Sept. 30, 2005",964.76M
"June 30, 2005",896.42M
"March 31, 2005",874.89M
"Dec. 31, 2004",909.52M
"Sept. 30, 2004",738.45M
"June 30, 2004",822.05M
"March 31, 2004",762.56M
"Dec. 31, 2003",950.46M
"Sept. 30, 2003",1.066B
"June 30, 2003",1.061B
"March 31, 2003",1.097B
"Dec. 31, 2002",623.07M
"Sept. 30, 2002",568.00M
"June 30, 2002",518.66M
"March 31, 2002",516.65M
"Dec. 31, 2001",750.51M
"Sept. 30, 2001",773.95M
"June 30, 2001",763.19M
"March 31, 2001",763.38M
"Dec. 31, 2000",710.92M
"Sept. 30, 2000",677.08M
"June 30, 2000",666.59M
"March 31, 2000",630.57M
"Dec. 31, 1999",595.06M
"Sept. 30, 1999",825.86M
"June 30, 1999",792.26M
"March 31, 1999",798.50M
"Dec. 31, 1998",785.60M
"Sept. 30, 1998",529.90M
"June 30, 1998",332.40M
"March 31, 1998",275.00M
"Dec. 31, 1997",341.40M
"Sept. 30, 1997",403.80M
"June 30, 1997",637.90M
"March 31, 1997",686.00M
"Dec. 31, 1996",490.60M
"Sept. 30, 1996",554.00M
"June 30, 1996",517.90M
"March 31, 1996",473.90M
"Dec. 31, 1995",633.30M
"Sept. 30, 1995",499.70M
"June 30, 1995",379.80M
"March 31, 1995",361.40M
"Dec. 31, 1994",341.70M
"Sept. 30, 1994",394.70M
"June 30, 1994",484.90M
"March 31, 1994",471.50M
"Dec. 31, 1993",551.90M
"Sept. 30, 1993",571.00M
"June 30, 1993",542.20M
"March 31, 1993",493.40M
"Dec. 31, 1992",437.60M
"Sept. 30, 1992",493.30M
"June 30, 1992",492.10M
"March 31, 1992",491.90M
"Dec. 31, 1991",482.10M
"Sept. 30, 1991",441.40M
"June 30, 1991",447.60M
"March 31, 1991",475.10M
"Dec. 31, 1990",478.30M
"Sept. 30, 1990",422.80M
"June 30, 1990",-466.10M
"March 31, 1990",-693.60M
"Dec. 31, 1989",-900.40M
"Sept. 30, 1989",-857.20M
"June 30, 1989",-6.10M
"March 31, 1989",200.80M
"Dec. 31, 1988",411.10M
"Sept. 30, 1988",330.50M
"June 30, 1988",344.20M
"March 31, 1988",349.00M
"Dec. 31, 1987",356.60M
"Sept. 30, 1987",440.70M
"June 30, 1987",426.70M
"March 31, 1987",436.50M
"Dec. 31, 1986",451.30M
"Sept. 30, 1986",489.70M
"June 30, 1986",418.50M
"March 31, 1986",440.20M
"Dec. 31, 1985",461.10M
"Sept. 30, 1985",453.80M
"June 30, 1985",529.20M
"March 31, 1985",509.70M
"Dec. 31, 1984",490.70M
