date,book_value_of_equity_per_share
"Dec. 31, 2019",51.34
"Sept. 30, 2019",50.41
"June 30, 2019",49.31
"March 31, 2019",47.23
"Dec. 31, 2018",46.78
"Sept. 30, 2018",46.45
"June 30, 2018",44.36
"March 31, 2018",44.11
"Dec. 31, 2017",44.28
"Sept. 30, 2017",48.38
"June 30, 2017",46.63
"March 31, 2017",44.90
"Dec. 31, 2016",45.12
"Sept. 30, 2016",56.21
"June 30, 2016",54.54
"March 31, 2016",52.38
"Dec. 31, 2015",51.89
"Sept. 30, 2015",51.33
"June 30, 2015",56.58
"March 31, 2015",56.45
"Dec. 31, 2014",55.83
"Sept. 30, 2014",56.49
"June 30, 2014",56.04
"March 31, 2014",55.53
"Dec. 31, 2013",54.00
"Sept. 30, 2013",52.77
"June 30, 2013",52.03
"March 31, 2013",51.73
"Dec. 31, 2012",51.72
"Sept. 30, 2012",52.26
"June 30, 2012",51.49
"March 31, 2012",50.85
"Dec. 31, 2011",50.81
"Sept. 30, 2011",51.45
"June 30, 2011",49.15
"March 31, 2011",48.41
"Dec. 31, 2010",48.06
"Sept. 30, 2010",48.62
"June 30, 2010",47.28
"March 31, 2010",47.31
"Dec. 31, 2009",46.04
"Sept. 30, 2009",43.77
"June 30, 2009",45.18
"March 31, 2009",45.56
"Dec. 31, 2008",42.57
"Sept. 30, 2008",42.02
"June 30, 2008",38.43
"March 31, 2008",39.99
"Dec. 31, 2007",40.71
"Sept. 30, 2007",41.00
"June 30, 2007",39.80
"March 31, 2007",39.74
"Dec. 31, 2006",40.45
"Sept. 30, 2006",41.03
"June 30, 2006",39.45
"March 31, 2006",38.66
"Dec. 31, 2005",37.34
"Sept. 30, 2005",37.89
"June 30, 2005",37.87
"March 31, 2005",37.60
"Dec. 31, 2004",38.26
"Sept. 30, 2004",39.25
"June 30, 2004",38.73
"March 31, 2004",38.48
"Dec. 31, 2003",38.02
"Sept. 30, 2003",38.39
"June 30, 2003",37.62
"March 31, 2003",36.54
"Dec. 31, 2002",35.24
"Sept. 30, 2002",35.18
"June 30, 2002",34.08
"March 31, 2002",33.30
"Dec. 31, 2001",33.78
"Sept. 30, 2001",33.97
"June 30, 2001",32.86
"March 31, 2001",32.07
"Dec. 31, 2000",31.89
"Sept. 30, 2000",32.14
"June 30, 2000",31.02
"March 31, 2000",30.13
"Dec. 31, 1999",29.78
"Sept. 30, 1999",31.45
"June 30, 1999",30.64
"March 31, 1999",30.14
"Dec. 31, 1998",30.19
"Sept. 30, 1998",29.33
"June 30, 1998",28.70
"March 31, 1998",27.98
"Dec. 31, 1997",28.60
"Sept. 30, 1997",29.26
"June 30, 1997",30.00
"March 31, 1997",29.95
"Dec. 31, 1996",30.36
"Sept. 30, 1996",28.80
"June 30, 1996",28.04
"March 31, 1996",27.20
"Dec. 31, 1995",28.41
"Sept. 30, 1995",28.69
"June 30, 1995",27.98
"March 31, 1995",27.27
"Dec. 31, 1994",27.93
"Sept. 30, 1994",28.46
"June 30, 1994",28.26
"March 31, 1994",27.64
"Dec. 31, 1993",28.27
"Sept. 30, 1993",37.44
"June 30, 1993",37.45
"March 31, 1993",37.36
