date,cash_on_hand
"Dec. 31, 2019",425.72M
"Sept. 30, 2019",955.83M
"June 30, 2019",635.91M
"March 31, 2019",983.50M
"Dec. 31, 2018",480.98M
"Sept. 30, 2018",987.98M
"June 30, 2018",812.79M
"March 31, 2018",1.206B
"Dec. 31, 2017",781.27M
"Sept. 30, 2017",546.29M
"June 30, 2017",934.50M
"March 31, 2017",1.083B
"Dec. 31, 2016",1.188B
"Sept. 30, 2016",1.307B
"June 30, 2016",996.10M
"March 31, 2016",1.092B
"Dec. 31, 2015",1.351B
"Sept. 30, 2015",1.041B
"June 30, 2015",910.37M
"March 31, 2015",1.181B
"Dec. 31, 2014",1.422B
"Sept. 30, 2014",1.069B
"June 30, 2014",650.07M
"March 31, 2014",908.48M
"Dec. 31, 2013",739.13M
"Sept. 30, 2013",415.07M
"June 30, 2013",348.29M
"March 31, 2013",307.37M
"Dec. 31, 2012",578.61M
"Sept. 30, 2012",749.72M
"June 30, 2012",283.39M
"March 31, 2012",685.00M
"Dec. 31, 2011",744.74M
"Sept. 30, 2011",987.14M
"June 30, 2011",529.86M
"March 31, 2011",726.24M
"Dec. 31, 2010",1.294B
"Sept. 30, 2010",1.931B
"June 30, 2010",1.336B
"March 31, 2010",1.657B
"Dec. 31, 2009",1.710B
"Sept. 30, 2009",1.151B
"June 30, 2009",1.290B
"March 31, 2009",1.823B
"Dec. 31, 2008",1.920B
"Sept. 30, 2008",2.556B
"June 30, 2008",1.086B
"March 31, 2008",943.33M
"Dec. 31, 2007",1.273B
"Sept. 30, 2007",1.467B
"June 30, 2007",1.320B
"March 31, 2007",1.080B
"Dec. 31, 2006",1.016B
"Sept. 30, 2006",745.03M
"June 30, 2006",728.93M
"March 31, 2006",150.64M
"Dec. 31, 2005",582.82M
"Sept. 30, 2005",96.59M
"June 30, 2005",104.99M
"March 31, 2005",73.46M
"Dec. 31, 2004",79.14M
"Sept. 30, 2004",587.84M
"June 30, 2004",585.70M
"March 31, 2004",874.96M
"Dec. 31, 2003",692.23M
"Sept. 30, 2003",577.54M
"June 30, 2003",1.078B
"March 31, 2003",377.46M
"Dec. 31, 2002",1.335B
"Sept. 30, 2002",948.85M
"June 30, 2002",730.66M
"March 31, 2002",763.30M
"Dec. 31, 2001",751.57M
"Sept. 30, 2001",901.28M
"June 30, 2001",698.70M
"March 31, 2001",1.030B
"Dec. 31, 2000",1.382B
"Sept. 30, 2000",1.233B
"June 30, 2000",1.797B
"March 31, 2000",1.686B
"Dec. 31, 1999",1.214B
"Sept. 30, 1999",1.344B
"June 30, 1999",1.086B
"March 31, 1999",1.086B
"Dec. 31, 1998",1.184B
"Sept. 30, 1998",808.20M
"June 30, 1998",773.30M
"March 31, 1998",989.00M
"Dec. 31, 1997",830.50M
"Sept. 30, 1997",861.80M
"June 30, 1997",687.50M
"March 31, 1997",618.20M
"Dec. 31, 1996",388.70M
"Sept. 30, 1996",607.40M
"June 30, 1996",345.70M
"March 31, 1996",608.40M
"Dec. 31, 1995",544.60M
"Sept. 30, 1995",724.80M
"June 30, 1995",462.20M
"March 31, 1995",581.30M
"Dec. 31, 1994",622.00M
"Sept. 30, 1994",693.90M
"June 30, 1994",461.80M
"March 31, 1994",504.10M
"Dec. 31, 1993",600.30M
"Sept. 30, 1993",600.30M
"June 30, 1993",600.30M
"March 31, 1993",600.30M
