date,operating_earning_yield
"March 19, 2020",10.15%
"March 18, 2020",9.87%
"March 17, 2020",8.56%
"March 16, 2020",9.84%
"March 13, 2020",8.29%
"March 12, 2020",8.39%
"March 11, 2020",7.64%
"March 10, 2020",7.15%
"March 9, 2020",7.39%
"March 6, 2020",6.86%
"March 5, 2020",6.69%
"March 4, 2020",6.65%
"March 3, 2020",7.00%
"March 2, 2020",6.87%
"Feb. 28, 2020",7.30%
"Feb. 27, 2020",7.06%
"Feb. 26, 2020",6.79%
"Feb. 25, 2020",6.76%
"Feb. 24, 2020",6.58%
"Feb. 21, 2020",6.56%
"Feb. 20, 2020",6.49%
"Feb. 19, 2020",6.41%
"Feb. 18, 2020",6.33%
"Feb. 14, 2020",6.36%
"Feb. 13, 2020",6.40%
"Feb. 12, 2020",6.48%
"Feb. 11, 2020",6.42%
"Feb. 10, 2020",6.42%
"Feb. 7, 2020",6.47%
"Feb. 6, 2020",6.49%
"Feb. 5, 2020",6.53%
"Feb. 4, 2020",6.53%
"Feb. 3, 2020",6.45%
"Jan. 31, 2020",6.49%
"Jan. 30, 2020",6.48%
"Jan. 29, 2020",6.54%
"Jan. 28, 2020",6.56%
"Jan. 27, 2020",6.59%
"Jan. 24, 2020",6.53%
"Jan. 23, 2020",6.57%
"Jan. 22, 2020",6.67%
"Jan. 21, 2020",6.70%
"Jan. 17, 2020",6.75%
"Jan. 16, 2020",6.83%
"Jan. 15, 2020",6.89%
"Jan. 14, 2020",7.02%
"Jan. 13, 2020",7.02%
"Jan. 10, 2020",7.07%
"Jan. 9, 2020",7.09%
"Jan. 8, 2020",7.17%
"Jan. 7, 2020",7.16%
"Jan. 6, 2020",7.16%
"Jan. 3, 2020",7.19%
"Jan. 2, 2020",7.23%
"Dec. 31, 2019",7.12%
"Dec. 30, 2019",6.24%
"Dec. 27, 2019",6.21%
"Dec. 26, 2019",6.23%
"Dec. 24, 2019",6.23%
"Dec. 23, 2019",6.28%
"Dec. 20, 2019",6.19%
"Dec. 19, 2019",6.23%
"Dec. 18, 2019",6.22%
"Dec. 17, 2019",6.26%
"Dec. 16, 2019",6.25%
"Dec. 13, 2019",6.29%
"Dec. 12, 2019",6.36%
"Dec. 11, 2019",6.30%
"Dec. 10, 2019",6.32%
"Dec. 9, 2019",6.30%
"Dec. 6, 2019",6.30%
"Dec. 5, 2019",6.28%
"Dec. 4, 2019",6.30%
"Dec. 3, 2019",6.36%
"Dec. 2, 2019",6.42%
"Nov. 29, 2019",6.39%
"Nov. 27, 2019",6.36%
"Nov. 26, 2019",6.39%
"Nov. 25, 2019",6.45%
"Nov. 22, 2019",6.43%
"Nov. 21, 2019",6.42%
"Nov. 20, 2019",6.36%
"Nov. 19, 2019",6.40%
"Nov. 18, 2019",6.37%
"Nov. 15, 2019",6.38%
"Nov. 14, 2019",6.37%
"Nov. 13, 2019",6.33%
"Nov. 12, 2019",6.48%
"Nov. 11, 2019",6.52%
"Nov. 8, 2019",6.48%
"Nov. 7, 2019",6.49%
"Nov. 6, 2019",6.39%
"Nov. 5, 2019",6.38%
"Nov. 4, 2019",6.27%
"Nov. 1, 2019",6.22%
"Oct. 31, 2019",6.12%
"Oct. 30, 2019",6.12%
"Oct. 29, 2019",6.25%
