date,kz_index
"Dec. 31, 2017",1.467
"Dec. 31, 2016",
"Dec. 31, 2015",
"Dec. 31, 2014",0.9701
"Dec. 31, 2013",0.914
"Dec. 31, 2012",
"Dec. 31, 2011",
"Dec. 31, 2010",0.7023
"Dec. 31, 2009",
"Dec. 31, 2008",0.8258
"Dec. 31, 2007",1.159
"Dec. 31, 2006",0.9416
"Dec. 31, 2005",0.8632
"Dec. 31, 2004",0.7566
"Dec. 31, 2003",0.7571
"Dec. 31, 2002",
"Dec. 31, 2001",
"Dec. 31, 2000",0.9929
"Dec. 31, 1999",
"Dec. 31, 1998",0.6064
"Dec. 31, 1997",0.5915
"Dec. 31, 1996",0.472
"Dec. 31, 1995",0.6126
"Dec. 31, 1994",0.5865
