date,cash_dividend_payout_ratio
"Dec. 31, 2019",-38.86%
"Sept. 30, 2019",-40.08%
"June 30, 2019",-31.93%
"March 31, 2019",-33.54%
"Dec. 31, 2018",-34.09%
"Sept. 30, 2018",-44.34%
"June 30, 2018",-54.20%
"March 31, 2018",-44.84%
"Dec. 31, 2017",-45.18%
"Sept. 30, 2017",-46.78%
"June 30, 2017",-58.62%
"March 31, 2017",-186.5%
"Dec. 31, 2016",-57.38%
"Sept. 30, 2016",-68.01%
"June 30, 2016",-66.06%
"March 31, 2016",-71.45%
"Dec. 31, 2015",216.2%
"Sept. 30, 2015",122.0%
"June 30, 2015",62.37%
"March 31, 2015",56.66%
"Dec. 31, 2014",49.13%
"Sept. 30, 2014",43.73%
"June 30, 2014",58.20%
"March 31, 2014",82.12%
"Dec. 31, 2013",170.6%
"Sept. 30, 2013",-86.22%
"June 30, 2013",-73.82%
"March 31, 2013",-70.29%
"Dec. 31, 2012",-76.42%
"Sept. 30, 2012",-332.4%
"June 30, 2012",308.8%
"March 31, 2012",734.5%
"Dec. 31, 2011",-268.3%
"Sept. 30, 2011",-2.90K%
"June 30, 2011",126.1%
"March 31, 2011",67.99%
"Dec. 31, 2010",39.62%
"Sept. 30, 2010",39.17%
"June 30, 2010",68.84%
"March 31, 2010",70.52%
"Dec. 31, 2009",126.4%
"Sept. 30, 2009",-268.6%
"June 30, 2009",-189.1%
"March 31, 2009",316.8%
"Dec. 31, 2008",142.8%
"Sept. 30, 2008",47.03%
"June 30, 2008",50.43%
"March 31, 2008",883.9%
"Dec. 31, 2007",225.2%
"Sept. 30, 2007",119.2%
"June 30, 2007",58.56%
"March 31, 2007",35.05%
"Dec. 31, 2006",33.67%
"Sept. 30, 2006",66.86%
"June 30, 2006",135.6%
"March 31, 2006",-412.3%
"Dec. 31, 2005",-314.4%
"Sept. 30, 2005",59.93%
"June 30, 2005",43.39%
"March 31, 2005",29.27%
"Dec. 31, 2004",29.72%
"Sept. 30, 2004",39.84%
"June 30, 2004",45.85%
"March 31, 2004",44.45%
"Dec. 31, 2003",88.43%
"Sept. 30, 2003",227.8%
"June 30, 2003",71.26%
"March 31, 2003",104.4%
"Dec. 31, 2002",49.54%
"Sept. 30, 2002",26.63%
"June 30, 2002",37.34%
"March 31, 2002",31.54%
"Dec. 31, 2001",35.10%
"Sept. 30, 2001",42.47%
"June 30, 2001",53.08%
"March 31, 2001",62.28%
"Dec. 31, 2000",63.99%
"Sept. 30, 2000",801.4%
"June 30, 2000",398.8%
"March 31, 2000",202.1%
"Dec. 31, 1999",173.4%
"Sept. 30, 1999",227.7%
"June 30, 1999",149.3%
"March 31, 1999",129.9%
"Dec. 31, 1998",97.09%
"Sept. 30, 1998",141.1%
"June 30, 1998",108.9%
"March 31, 1998",95.48%
"Dec. 31, 1997",62.10%
"Sept. 30, 1997",45.26%
"June 30, 1997",45.39%
"March 31, 1997",45.84%
"Dec. 31, 1996",57.17%
"Sept. 30, 1996",54.38%
"June 30, 1996",52.52%
"March 31, 1996",79.08%
"Dec. 31, 1995",68.12%
"Sept. 30, 1995",64.37%
"June 30, 1995",70.90%
"March 31, 1995",58.26%
"Dec. 31, 1994",60.17%
"Sept. 30, 1994",72.00%
"June 30, 1994",70.55%
"March 31, 1994",60.66%
"Dec. 31, 1993",64.75%
