date,net_income_annual_cs_rev
"Dec. 31, 2019",11.57%
"Dec. 31, 2018",7.83%
"Dec. 31, 2017",3.84%
"Dec. 31, 2016",-5.20%
"Dec. 31, 2015",-1.36%
"Dec. 31, 2014",7.69%
"Dec. 31, 2013",6.41%
"Dec. 31, 2012",8.43%
"Dec. 31, 2011",12.18%
"Dec. 31, 2010",11.06%
"Dec. 31, 2009",11.64%
"Dec. 31, 2008",9.47%
"Dec. 31, 2007",9.88%
"Dec. 31, 2006",10.36%
"Dec. 31, 2005",8.89%
"Dec. 31, 2004",9.39%
"Dec. 31, 2003",10.34%
"Dec. 31, 2002",7.50%
"Dec. 31, 2001",7.80%
"Dec. 31, 2000",7.09%
"Dec. 31, 1999",6.79%
"Dec. 31, 1998",6.83%
"Dec. 31, 1997",3.15%
"Dec. 31, 1996",6.85%
"Dec. 31, 1995",9.53%
"Dec. 31, 1994",5.71%
"Dec. 31, 1993",12.33%
"Dec. 31, 1992",10.63%
"Dec. 31, 1991",11.90%
"Dec. 31, 1990",12.01%
"Dec. 31, 1989",-12.69%
"Dec. 31, 1988",11.53%
"Dec. 31, 1987",10.32%
"Dec. 31, 1986",12.95%
"Dec. 31, 1985",12.38%
"Dec. 31, 1984",15.60%
