date,sales_est_0q
"March 16, 2020",2.669B
"Feb. 21, 2020",2.757B
"Feb. 19, 2020",2.667B
"Jan. 16, 2020",2.708B
"Jan. 7, 2020",2.713B
"Dec. 31, 2019",2.977B
"Dec. 3, 2019",2.914B
"Nov. 26, 2019",2.860B
"Nov. 6, 2019",2.970B
"Oct. 31, 2019",2.987B
"Oct. 21, 2019",2.991B
"Oct. 14, 2019",2.987B
"Oct. 11, 2019",2.987B
"Sept. 30, 2019",3.421B
"Sept. 9, 2019",3.415B
"Aug. 27, 2019",3.409B
"Aug. 1, 2019",3.167B
"July 23, 2019",3.389B
"July 22, 2019",3.389B
"July 18, 2019",3.389B
"July 17, 2019",3.378B
"July 15, 2019",3.378B
"June 30, 2019",2.908B
"May 13, 2019",2.909B
"May 10, 2019",2.904B
"May 2, 2019",2.904B
"April 18, 2019",2.910B
"April 15, 2019",2.909B
"April 8, 2019",2.909B
"March 31, 2019",2.787B
"March 29, 2019",2.811B
"March 27, 2019",2.783B
"March 20, 2019",2.758B
"March 11, 2019",2.758B
"Feb. 27, 2019",2.765B
"Feb. 21, 2019",2.765B
"Feb. 20, 2019",2.704B
"Feb. 7, 2019",2.716B
"Jan. 29, 2019",2.716B
"Jan. 22, 2019",2.716B
"Jan. 10, 2019",2.717B
"Jan. 7, 2019",2.717B
"Jan. 4, 2019",2.706B
"Dec. 31, 2018",3.185B
"Dec. 4, 2018",3.181B
"Nov. 5, 2018",3.242B
"Nov. 1, 2018",3.298B
"Oct. 19, 2018",2.914B
"Oct. 18, 2018",2.912B
"Oct. 15, 2018",2.912B
"Oct. 9, 2018",2.932B
"Sept. 30, 2018",3.479B
"Sept. 21, 2018",3.338B
"Aug. 29, 2018",3.322B
"Aug. 28, 2018",3.229B
"Aug. 2, 2018",3.416B
"July 19, 2018",3.405B
"July 11, 2018",3.406B
"June 30, 2018",2.754B
"June 25, 2018",2.829B
"June 23, 2018",2.828B
"June 22, 2018",2.828B
"June 16, 2018",2.842B
"June 11, 2018",2.842B
"June 6, 2018",2.773B
"June 1, 2018",2.842B
"April 30, 2018",2.842B
"April 26, 2018",2.808B
"April 19, 2018",2.783B
"April 10, 2018",2.763B
"April 9, 2018",2.785B
"March 31, 2018",2.594B
"March 9, 2018",2.550B
"Feb. 26, 2018",2.662B
"Feb. 23, 2018",2.703B
"Feb. 1, 2018",2.799B
"Jan. 19, 2018",2.800B
"Jan. 10, 2018",2.799B
"Jan. 2, 2018",2.797B
