date,times_interest_earned
"Dec. 31, 2019",9.412
"Sept. 30, 2019",2.074
"June 30, 2019",2.219
"March 31, 2019",1.499
"Dec. 31, 2018",0.8284
"Sept. 30, 2018",3.702
"June 30, 2018",3.663
"March 31, 2018",4.091
"Dec. 31, 2017",4.357
"Sept. 30, 2017",-2.915
"June 30, 2017",-2.762
"March 31, 2017",-2.016
"Dec. 31, 2016",-1.372
"Sept. 30, 2016",3.153
"June 30, 2016",-0.2996
"March 31, 2016",-0.465
"Dec. 31, 2015",-0.3422
"Sept. 30, 2015",1.030
"June 30, 2015",4.423
"March 31, 2015",4.456
"Dec. 31, 2014",4.538
"Sept. 30, 2014",5.104
"June 30, 2014",4.553
"March 31, 2014",4.593
"Dec. 31, 2013",3.856
"Sept. 30, 2013",3.515
"June 30, 2013",4.218
"March 31, 2013",4.199
"Dec. 31, 2012",3.326
"Sept. 30, 2012",3.464
"June 30, 2012",3.512
"March 31, 2012",4.241
"Dec. 31, 2011",5.534
"Sept. 30, 2011",5.634
"June 30, 2011",6.139
"March 31, 2011",6.116
"Dec. 31, 2010",5.881
"Sept. 30, 2010",5.184
"June 30, 2010",5.832
"March 31, 2010",5.535
"Dec. 31, 2009",5.852
"Sept. 30, 2009",10.20
"June 30, 2009",11.84
"March 31, 2009",12.40
"Dec. 31, 2008",26.12
"Sept. 30, 2008",24.05
"June 30, 2008",24.66
