date,return_on_invested_capital
"Dec. 31, 2019",4.38%
"Sept. 30, 2019",2.87%
"June 30, 2019",3.57%
"March 31, 2019",3.69%
"Dec. 31, 2018",3.32%
"Sept. 30, 2018",1.76%
"June 30, 2018",1.24%
"March 31, 2018",1.93%
"Dec. 31, 2017",1.76%
"Sept. 30, 2017",-3.55%
"June 30, 2017",-3.60%
"March 31, 2017",-2.95%
"Dec. 31, 2016",-2.34%
"Sept. 30, 2016",5.42%
"June 30, 2016",0.81%
"March 31, 2016",-0.94%
"Dec. 31, 2015",-0.66%
"Sept. 30, 2015",-0.57%
"June 30, 2015",3.40%
"March 31, 2015",3.58%
"Dec. 31, 2014",4.04%
"Sept. 30, 2014",4.18%
"June 30, 2014",4.25%
"March 31, 2014",4.17%
"Dec. 31, 2013",3.18%
"Sept. 30, 2013",3.87%
"June 30, 2013",4.36%
"March 31, 2013",5.33%
"Dec. 31, 2012",3.96%
"Sept. 30, 2012",3.36%
"June 30, 2012",4.75%
"March 31, 2012",4.56%
"Dec. 31, 2011",6.52%
"Sept. 30, 2011",6.90%
"June 30, 2011",6.30%
"March 31, 2011",6.29%
"Dec. 31, 2010",6.15%
"Sept. 30, 2010",6.61%
"June 30, 2010",6.50%
"March 31, 2010",6.09%
"Dec. 31, 2009",6.27%
"Sept. 30, 2009",5.60%
"June 30, 2009",5.69%
"March 31, 2009",5.97%
"Dec. 31, 2008",6.40%
"Sept. 30, 2008",6.45%
"June 30, 2008",6.52%
"March 31, 2008",6.55%
"Dec. 31, 2007",6.11%
"Sept. 30, 2007",6.48%
"June 30, 2007",6.23%
"March 31, 2007",6.39%
"Dec. 31, 2006",6.37%
"Sept. 30, 2006",5.43%
"June 30, 2006",5.27%
"March 31, 2006",5.42%
"Dec. 31, 2005",5.37%
"Sept. 30, 2005",5.79%
"June 30, 2005",5.38%
"March 31, 2005",5.22%
"Dec. 31, 2004",5.40%
"Sept. 30, 2004",4.33%
"June 30, 2004",4.77%
"March 31, 2004",4.43%
"Dec. 31, 2003",5.54%
"Sept. 30, 2003",6.23%
"June 30, 2003",6.25%
"March 31, 2003",6.60%
"Dec. 31, 2002",3.76%
"Sept. 30, 2002",3.43%
"June 30, 2002",3.14%
"March 31, 2002",3.12%
"Dec. 31, 2001",4.53%
"Sept. 30, 2001",4.73%
"June 30, 2001",4.75%
"March 31, 2001",4.81%
"Dec. 31, 2000",4.58%
"Sept. 30, 2000",4.43%
"June 30, 2000",4.38%
"March 31, 2000",4.16%
"Dec. 31, 1999",3.93%
"Sept. 30, 1999",5.26%
"June 30, 1999",4.86%
"March 31, 1999",4.73%
"Dec. 31, 1998",4.51%
"Sept. 30, 1998",2.95%
"June 30, 1998",1.84%
"March 31, 1998",1.52%
"Dec. 31, 1997",1.94%
"Sept. 30, 1997",2.35%
"June 30, 1997",3.80%
"March 31, 1997",4.20%
"Dec. 31, 1996",3.13%
"Sept. 30, 1996",3.56%
"June 30, 1996",3.37%
"March 31, 1996",3.12%
"Dec. 31, 1995",4.22%
"Sept. 30, 1995",3.31%
"June 30, 1995",2.50%
"March 31, 1995",2.37%
"Dec. 31, 1994",2.22%
"Sept. 30, 1994",2.56%
"June 30, 1994",3.14%
"March 31, 1994",3.05%
"Dec. 31, 1993",3.56%
"Sept. 30, 1993",3.68%
