date,operating_margin_ttm
"Dec. 31, 2019",15.45%
"Sept. 30, 2019",13.15%
"June 30, 2019",10.51%
"March 31, 2019",8.72%
"Dec. 31, 2018",9.10%
"Sept. 30, 2018",12.28%
"June 30, 2018",15.23%
"March 31, 2018",17.10%
"Dec. 31, 2017",17.15%
"Sept. 30, 2017",16.25%
"June 30, 2017",16.57%
"March 31, 2017",17.61%
"Dec. 31, 2016",18.63%
"Sept. 30, 2016",16.81%
"June 30, 2016",15.40%
"March 31, 2016",14.41%
"Dec. 31, 2015",14.35%
"Sept. 30, 2015",16.30%
"June 30, 2015",16.01%
"March 31, 2015",16.28%
"Dec. 31, 2014",17.50%
"Sept. 30, 2014",16.89%
"June 30, 2014",17.23%
"March 31, 2014",16.69%
"Dec. 31, 2013",14.51%
"Sept. 30, 2013",15.67%
"June 30, 2013",16.34%
"March 31, 2013",16.64%
"Dec. 31, 2012",16.08%
"Sept. 30, 2012",16.18%
"June 30, 2012",14.70%
"March 31, 2012",16.27%
"Dec. 31, 2011",17.88%
"Sept. 30, 2011",18.14%
"June 30, 2011",19.74%
"March 31, 2011",20.14%
"Dec. 31, 2010",19.74%
"Sept. 30, 2010",20.96%
"June 30, 2010",21.87%
"March 31, 2010",21.38%
"Dec. 31, 2009",21.06%
"Sept. 30, 2009",19.28%
"June 30, 2009",17.38%
"March 31, 2009",17.01%
"Dec. 31, 2008",17.89%
"Sept. 30, 2008",17.59%
"June 30, 2008",19.05%
"March 31, 2008",19.08%
"Dec. 31, 2007",17.91%
"Sept. 30, 2007",17.87%
"June 30, 2007",16.25%
"March 31, 2007",16.01%
"Dec. 31, 2006",15.39%
"Sept. 30, 2006",14.98%
"June 30, 2006",15.77%
"March 31, 2006",16.56%
"Dec. 31, 2005",16.74%
"Sept. 30, 2005",16.38%
"June 30, 2005",15.39%
"March 31, 2005",15.44%
"Dec. 31, 2004",15.94%
"Sept. 30, 2004",14.99%
"June 30, 2004",15.90%
"March 31, 2004",16.14%
"Dec. 31, 2003",18.78%
"Sept. 30, 2003",18.04%
"June 30, 2003",19.03%
"March 31, 2003",19.61%
"Dec. 31, 2002",12.59%
"Sept. 30, 2002",15.17%
"June 30, 2002",14.30%
"March 31, 2002",13.46%
"Dec. 31, 2001",16.84%
"Sept. 30, 2001",16.08%
"June 30, 2001",14.74%
"March 31, 2001",14.81%
"Dec. 31, 2000",15.06%
"Sept. 30, 2000",15.27%
"June 30, 2000",16.00%
"March 31, 2000",14.90%
"Dec. 31, 1999",14.24%
"Sept. 30, 1999",15.22%
"June 30, 1999",12.29%
"March 31, 1999",13.08%
"Dec. 31, 1998",13.03%
"Sept. 30, 1998",-32.53%
"June 30, 1998",-15.82%
"March 31, 1998",-16.75%
"Dec. 31, 1997",-16.31%
"Sept. 30, 1997",44.77%
"June 30, 1997",20.86%
"March 31, 1997",22.63%
"Dec. 31, 1996",20.91%
"Sept. 30, 1996",20.85%
"June 30, 1996",21.38%
"March 31, 1996",21.31%
"Dec. 31, 1995",23.96%
"Sept. 30, 1995",21.52%
"June 30, 1995",19.71%
"March 31, 1995",19.32%
"Dec. 31, 1994",19.58%
"Sept. 30, 1994",23.00%
"June 30, 1994",25.43%
"March 31, 1994",26.38%
"Dec. 31, 1993",27.78%
"Sept. 30, 1993",46.90%
"June 30, 1993",65.98%
"March 31, 1993",82.96%
