date,shares_outstanding
"Jan. 31, 2020",199.73M
"Dec. 31, 2019",199.15M
"Oct. 31, 2019",199.10M
"Sept. 30, 2019",199.09M
"July 31, 2019",198.83M
"June 30, 2019",198.69M
"May 30, 2019",198.37M
"April 30, 2019",189.93M
"March 31, 2019",189.92M
"March 4, 2019",190.47M
"Jan. 31, 2019",189.58M
"Dec. 31, 2018",189.06M
"Dec. 12, 2018",187.98M
"Oct. 31, 2018",181.14M
"Sept. 30, 2018",181.13M
"July 31, 2018",180.86M
"June 30, 2018",180.84M
"May 31, 2018",180.83M
"April 30, 2018",180.82M
"March 31, 2018",180.80M
"March 5, 2018",181.49M
"Jan. 31, 2018",180.77M
"Dec. 31, 2017",180.52M
"Oct. 31, 2017",180.25M
"Sept. 30, 2017",179.63M
"July 31, 2017",179.52M
"June 30, 2017",179.52M
"April 28, 2017",179.47M
"March 31, 2017",179.43M
"March 7, 2017",180.16M
"Jan. 31, 2017",179.39M
"Dec. 31, 2016",179.13M
"Oct. 31, 2016",179.13M
"Sept. 30, 2016",179.13M
"July 29, 2016",178.98M
"June 30, 2016",178.90M
"April 29, 2016",178.74M
"March 31, 2016",178.72M
"March 8, 2016",179.35M
"Jan. 29, 2016",178.49M
"Dec. 31, 2015",178.39M
"Oct. 30, 2015",178.39M
"Sept. 30, 2015",178.39M
"July 31, 2015",179.53M
"June 30, 2015",179.53M
"April 30, 2015",179.52M
"March 31, 2015",179.51M
"March 10, 2015",180.52M
"Jan. 30, 2015",179.70M
"Dec. 31, 2014",179.24M
"Oct. 31, 2014",180.48M
"Sept. 30, 2014",179.65M
"July 31, 2014",179.61M
"June 30, 2014",179.55M
"April 30, 2014",179.38M
"March 31, 2014",179.14M
"March 4, 2014",179.57M
"Jan. 31, 2014",178.56M
"Dec. 31, 2013",178.37M
"Oct. 31, 2013",178.32M
"Sept. 30, 2013",178.31M
"July 31, 2013",178.28M
"June 30, 2013",178.24M
"April 30, 2013",178.18M
"March 31, 2013",178.10M
"March 5, 2013",178.44M
"Jan. 31, 2013",178.09M
"Dec. 31, 2012",177.81M
"Oct. 31, 2012",177.73M
"Sept. 30, 2012",177.67M
"July 31, 2012",177.32M
"June 30, 2012",177.19M
"April 30, 2012",177.16M
"March 31, 2012",177.15M
"March 6, 2012",177.31M
"Jan. 31, 2012",176.62M
"Dec. 31, 2011",176.36M
"Oct. 31, 2011",176.12M
"Sept. 30, 2011",176.08M
"July 29, 2011",176.78M
"June 30, 2011",176.83M
"April 29, 2011",177.97M
"March 31, 2011",178.27M
"March 8, 2011",178.78M
"Jan. 31, 2011",179.04M
"Dec. 31, 2010",178.75M
"Oct. 29, 2010",180.92M
"Sept. 30, 2010",181.52M
"July 30, 2010",186.82M
"June 30, 2010",187.50M
"April 30, 2010",189.30M
"March 31, 2010",189.27M
"March 9, 2010",189.22M
"Jan. 29, 2010",189.20M
"Dec. 31, 2009",189.12M
"Oct. 30, 2009",188.93M
"Sept. 30, 2009",188.90M
"July 31, 2009",195.79M
"June 30, 2009",196.12M
"April 30, 2009",196.10M
"Jan. 30, 2009",189.45M
"Oct. 31, 2008",189.33M
"Sept. 30, 2008",189.85M
"July 31, 2008",191.57M
"June 30, 2008",190.54M
"April 30, 2008",191.50M
"March 31, 2008",191.90M
"Jan. 31, 2008",193.17M
"Dec. 31, 2007",193.12M
"Sept. 30, 2007",194.38M
"June 30, 2007",195.68M
"March 31, 2007",197.26M
"Feb. 28, 2007",198.31M
"Dec. 31, 2006",202.67M
"Oct. 31, 2006",206.86M
"Sept. 30, 2006",208.57M
"July 31, 2006",208.36M
"June 30, 2006",208.07M
"April 28, 2006",207.94M
"March 31, 2006",207.92M
"Feb. 28, 2006",207.85M
"Dec. 31, 2005",207.53M
"Oct. 31, 2005",207.49M
"Sept. 30, 2005",207.42M
"July 29, 2005",207.58M
"June 30, 2005",209.95M
"April 29, 2005",212.00M
"March 31, 2005",213.15M
"Feb. 28, 2005",213.15M
"Dec. 31, 2004",216.83M
"Oct. 29, 2004",223.54M
"Sept. 30, 2004",225.25M
"July 30, 2004",226.91M
"June 30, 2004",225.78M
"April 30, 2004",230.27M
"March 31, 2004",230.98M
"Feb. 27, 2004",231.03M
"Dec. 31, 2003",228.90M
"Oct. 31, 2003",228.81M
"Sept. 30, 2003",228.50M
"July 31, 2003",227.96M
"June 30, 2003",225.79M
"April 30, 2003",225.79M
"March 31, 2003",225.58M
"Feb. 28, 2003",223.87M
"Dec. 31, 2002",222.42M
"Oct. 31, 2002",222.01M
"Sept. 30, 2002",222.26M
"July 31, 2002",224.03M
"June 30, 2002",224.67M
"April 30, 2002",224.28M
"March 31, 2002",223.21M
"Feb. 28, 2002",222.20M
"Dec. 31, 2001",220.73M
"Oct. 31, 2001",221.04M
"Sept. 30, 2001",221.01M
"July 31, 2001",221.71M
"June 30, 2001",221.68M
"April 30, 2001",220.71M
"March 31, 2001",220.31M
"Feb. 28, 2001",220.06M
"Dec. 31, 2000",219.60M
"Oct. 31, 2000",219.60M
"Sept. 30, 2000",220.13M
"July 31, 2000",222.90M
"June 30, 2000",223.46M
"April 30, 2000",229.97M
"March 31, 2000",232.21M
"Feb. 29, 2000",236.15M
"Dec. 31, 1999",239.04M
"Sept. 30, 1999",243.29M
"June 30, 1999",246.82M
"March 31, 1999",246.73M
"Feb. 26, 1999",246.49M
"Dec. 31, 1998",246.62M
"Sept. 30, 1998",246.76M
"June 30, 1998",246.55M
"March 31, 1998",246.29M
"Feb. 27, 1998",245.88M
"Dec. 31, 1997",245.84M
"Sept. 30, 1997",243.12M
"June 30, 1997",239.54M
"March 31, 1997",236.73M
"Feb. 28, 1997",235.12M
"Dec. 31, 1996",232.96M
"Sept. 30, 1996",229.48M
"June 30, 1996",228.04M
"March 31, 1996",228.03M
"Feb. 29, 1996",227.77M
"Dec. 31, 1995",227.77M
"Sept. 30, 1995",227.76M
"June 30, 1995",227.75M
"March 31, 1995",227.75M
"Dec. 31, 1994",227.41M
"Sept. 30, 1994",227.38M
"June 30, 1994",228.44M
"March 31, 1994",230.22M
"Dec. 31, 1993",231.22M
"Sept. 30, 1993",174.56M
"June 30, 1993",174.53M
"March 31, 1993",174.95M
"Dec. 31, 1992",175.14M
"Sept. 30, 1992",175.14M
"June 30, 1992",177.04M
"March 31, 1992",177.04M
"Dec. 31, 1991",178.81M
"Sept. 30, 1991",181.03M
"June 30, 1991",182.64M
"March 31, 1991",184.50M
"Dec. 31, 1990",184.50M
"Sept. 30, 1990",198.41M
"June 30, 1990",203.99M
"March 31, 1990",201.29M
"Dec. 31, 1989",203.99M
"Sept. 30, 1989",203.99M
"June 30, 1989",203.99M
"March 31, 1989",203.99M
"Dec. 31, 1988",204.58M
"Sept. 30, 1988",204.58M
"June 30, 1988",204.58M
"March 31, 1988",204.58M
"Dec. 31, 1987",204.58M
"Sept. 30, 1987",204.58M
"June 30, 1987",204.58M
"March 31, 1987",204.58M
"Dec. 31, 1986",204.58M
"Sept. 30, 1986",204.58M
"June 30, 1986",204.58M
"March 31, 1986",204.56M
"Dec. 31, 1985",204.58M
"Sept. 30, 1985",201.87M
"June 30, 1985",194.88M
"March 31, 1985",189.17M
"Dec. 31, 1984",189.17M
"Sept. 30, 1984",183.20M
"June 30, 1984",178.68M
"March 31, 1984",166.08M
