date,receivables_turnover
"Dec. 31, 2019",1.934
"Sept. 30, 2019",2.441
"June 30, 2019",2.309
"March 31, 2019",2.384
"Dec. 31, 2018",2.025
"Sept. 30, 2018",2.365
"June 30, 2018",2.281
"March 31, 2018",2.374
"Dec. 31, 2017",2.077
"Sept. 30, 2017",2.666
"June 30, 2017",2.502
"March 31, 2017",2.415
"Dec. 31, 2016",2.077
"Sept. 30, 2016",2.450
"June 30, 2016",2.277
"March 31, 2016",2.531
"Dec. 31, 2015",2.089
"Sept. 30, 2015",2.672
"June 30, 2015",2.403
"March 31, 2015",2.690
"Dec. 31, 2014",2.343
"Sept. 30, 2014",2.716
"June 30, 2014",2.538
"March 31, 2014",2.790
"Dec. 31, 2013",2.206
"Sept. 30, 2013",2.692
"June 30, 2013",2.430
"March 31, 2013",2.566
"Dec. 31, 2012",2.267
"Sept. 30, 2012",2.713
"June 30, 2012",2.699
"March 31, 2012",2.604
"Dec. 31, 2011",2.212
"Sept. 30, 2011",2.770
"June 30, 2011",2.626
"March 31, 2011",2.583
"Dec. 31, 2010",2.249
"Sept. 30, 2010",2.796
"June 30, 2010",2.722
"March 31, 2010",2.878
"Dec. 31, 2009",2.422
"Sept. 30, 2009",2.697
"June 30, 2009",2.412
"March 31, 2009",2.544
"Dec. 31, 2008",2.274
"Sept. 30, 2008",2.797
"June 30, 2008",2.532
"March 31, 2008",2.426
"Dec. 31, 2007",2.096
"Sept. 30, 2007",2.466
"June 30, 2007",2.453
"March 31, 2007",2.508
"Dec. 31, 2006",2.008
"Sept. 30, 2006",2.538
"June 30, 2006",2.206
"March 31, 2006",1.905
"Dec. 31, 2005",1.570
"Sept. 30, 2005",1.810
"June 30, 2005",2.015
"March 31, 2005",1.850
"Dec. 31, 2004",1.551
"Sept. 30, 2004",2.339
"June 30, 2004",2.278
"March 31, 2004",2.253
"Dec. 31, 2003",1.917
"Sept. 30, 2003",2.286
"June 30, 2003",2.220
"March 31, 2003",2.253
"Dec. 31, 2002",1.944
"Sept. 30, 2002",2.381
"June 30, 2002",2.384
"March 31, 2002",2.342
"Dec. 31, 2001",1.938
"Sept. 30, 2001",2.297
"June 30, 2001",2.269
"March 31, 2001",2.217
"Dec. 31, 2000",1.998
"Sept. 30, 2000",2.900
"June 30, 2000",2.394
"March 31, 2000",2.328
"Dec. 31, 1999",1.813
"Sept. 30, 1999",1.900
"June 30, 1999",1.230
"March 31, 1999",0.9808
"Dec. 31, 1998",1.247
"Sept. 30, 1998",3.047
"June 30, 1998",2.054
"March 31, 1998",1.948
"Dec. 31, 1997",1.922
"Sept. 30, 1997",2.194
"June 30, 1997",1.821
"March 31, 1997",2.081
"Dec. 31, 1996",1.857
"Sept. 30, 1996",2.446
"June 30, 1996",2.374
"March 31, 1996",2.278
"Dec. 31, 1995",1.838
"Sept. 30, 1995",2.446
"June 30, 1995",2.395
"March 31, 1995",2.192
"Dec. 31, 1994",1.650
"Sept. 30, 1994",2.401
"June 30, 1994",2.411
"March 31, 1994",2.241
"Dec. 31, 1993",1.587
"Sept. 30, 1993",2.097
"June 30, 1993",1.591
