date,total_employee_number
"Dec. 31, 2019",13635
"Dec. 31, 2018",13688
"Dec. 31, 2017",13504
"Dec. 31, 2016",13513
"Dec. 31, 2015",13000
"Dec. 31, 2014",13000
"Dec. 31, 2013",13808
"Dec. 31, 2012",14625
"Dec. 31, 2011",14682
"Dec. 31, 2010",14958
"Dec. 31, 2009",15000
"Dec. 31, 2008",14669
"Dec. 31, 2007",14322
"Dec. 31, 2006",13800
"Dec. 31, 2005",14136
"Dec. 31, 2004",14425
"Dec. 31, 2003",14773
"Dec. 31, 2002",15601
"Dec. 31, 2001",15237
"Dec. 31, 2000",14100
"Dec. 31, 1999",12375
"Dec. 31, 1998",12816
"Dec. 31, 1997",17108
"Dec. 31, 1996",13228
"Dec. 31, 1995",13443
"Dec. 31, 1994",16037
"Dec. 31, 1993",16525
"Dec. 31, 1992",12457
"Dec. 31, 1991",12763
"Dec. 31, 1990",13373
"Dec. 31, 1989",13190
