date,days_inventory_outstanding
"Dec. 31, 2019",55.34
"Sept. 30, 2019",47.74
"June 30, 2019",48.44
"March 31, 2019",48.73
"Dec. 31, 2018",43.84
"Sept. 30, 2018",40.02
"June 30, 2018",48.45
"March 31, 2018",50.58
"Dec. 31, 2017",46.67
"Sept. 30, 2017",43.35
"June 30, 2017",47.78
"March 31, 2017",47.48
"Dec. 31, 2016",51.55
"Sept. 30, 2016",58.67
"June 30, 2016",70.58
"March 31, 2016",64.50
"Dec. 31, 2015",56.53
"Sept. 30, 2015",48.54
"June 30, 2015",59.58
"March 31, 2015",57.60
"Dec. 31, 2014",51.68
"Sept. 30, 2014",45.24
"June 30, 2014",50.76
"March 31, 2014",53.48
"Dec. 31, 2013",53.79
"Sept. 30, 2013",48.46
"June 30, 2013",55.40
"March 31, 2013",61.50
"Dec. 31, 2012",64.96
"Sept. 30, 2012",58.84
"June 30, 2012",63.73
"March 31, 2012",62.82
"Dec. 31, 2011",26.22
"Sept. 30, 2011",70.83
"June 30, 2011",91.84
"March 31, 2011",105.53
"Dec. 31, 2010",104.28
"Sept. 30, 2010",73.23
"June 30, 2010",85.12
"March 31, 2010",85.74
"Dec. 31, 2009",115.80
"Sept. 30, 2009",92.33
"June 30, 2009",102.70
"March 31, 2009",74.72
"Dec. 31, 2008",55.64
"Sept. 30, 2008",43.28
"June 30, 2008",56.08
"March 31, 2008",72.17
"Dec. 31, 2007",69.86
"Sept. 30, 2007",60.22
"June 30, 2007",64.41
"March 31, 2007",59.74
"Dec. 31, 2006",61.26
"Sept. 30, 2006",44.44
"June 30, 2006",56.87
"March 31, 2006",56.65
"Dec. 31, 2005",49.44
"Sept. 30, 2005",46.38
"June 30, 2005",59.66
"March 31, 2005",68.57
"Dec. 31, 2004",81.23
"Sept. 30, 2004",43.65
"June 30, 2004",57.47
"March 31, 2004",60.98
"Dec. 31, 2003",60.62
"Sept. 30, 2003",53.98
"June 30, 2003",61.01
"March 31, 2003",76.47
"Dec. 31, 2002",83.47
"Sept. 30, 2002",58.88
"June 30, 2002",71.86
"March 31, 2002",77.98
"Dec. 31, 2001",67.94
"Sept. 30, 2001",41.74
"June 30, 2001",39.74
"March 31, 2001",33.27
"Dec. 31, 2000",29.74
"Sept. 30, 2000",23.11
"June 30, 2000",47.60
"March 31, 2000",50.32
"Dec. 31, 1999",68.40
"Sept. 30, 1999",40.00
"June 30, 1999",49.90
"March 31, 1999",71.64
"Dec. 31, 1998",60.89
"Sept. 30, 1998",22.60
"June 30, 1998",53.79
"March 31, 1998",50.06
"Dec. 31, 1997",
"Sept. 30, 1997",
"June 30, 1997",65.49
"March 31, 1997",64.69
"Dec. 31, 1996",101.73
"Sept. 30, 1996",71.63
"June 30, 1996",81.79
"March 31, 1996",84.73
"Dec. 31, 1995",107.01
"Sept. 30, 1995",81.03
"June 30, 1995",107.11
"March 31, 1995",109.06
"Dec. 31, 1994",103.94
"Sept. 30, 1994",78.41
"June 30, 1994",83.81
"March 31, 1994",91.65
"Dec. 31, 1993",124.18
"Sept. 30, 1993",109.94
"June 30, 1993",155.42
