date,f_score_ttm
"Dec. 31, 2019",6.00
"Sept. 30, 2019",4.00
"June 30, 2019",5.00
"March 31, 2019",4.00
"Dec. 31, 2018",3.00
"Sept. 30, 2018",4.00
"June 30, 2018",2.00
"March 31, 2018",7.00
"Dec. 31, 2017",5.00
"Sept. 30, 2017",4.00
"June 30, 2017",2.00
"March 31, 2017",1.00
"Dec. 31, 2016",3.00
"Sept. 30, 2016",5.00
"June 30, 2016",5.00
"March 31, 2016",3.00
"Dec. 31, 2015",3.00
"Sept. 30, 2015",4.00
"June 30, 2015",3.00
"March 31, 2015",2.00
"Dec. 31, 2014",5.00
"Sept. 30, 2014",4.00
"June 30, 2014",7.00
"March 31, 2014",8.00
"Dec. 31, 2013",3.00
"Sept. 30, 2013",4.00
"June 30, 2013",3.00
"March 31, 2013",5.00
"Dec. 31, 2012",4.00
"Sept. 30, 2012",2.00
"June 30, 2012",5.00
"March 31, 2012",4.00
"Dec. 31, 2011",4.00
"Sept. 30, 2011",4.00
"June 30, 2011",5.00
"March 31, 2011",6.00
"Dec. 31, 2010",2.00
"Sept. 30, 2010",7.00
"June 30, 2010",7.00
"March 31, 2010",6.00
"Dec. 31, 2009",8.00
"Sept. 30, 2009",3.00
"June 30, 2009",4.00
"March 31, 2009",4.00
"Dec. 31, 2008",2.00
"Sept. 30, 2008",6.00
"June 30, 2008",5.00
"March 31, 2008",6.00
"Dec. 31, 2007",4.00
"Sept. 30, 2007",5.00
"June 30, 2007",5.00
"March 31, 2007",7.00
"Dec. 31, 2006",6.00
"Sept. 30, 2006",7.00
"June 30, 2006",5.00
"March 31, 2006",7.00
"Dec. 31, 2005",3.00
"Sept. 30, 2005",5.00
"June 30, 2005",5.00
"March 31, 2005",5.00
"Dec. 31, 2004",8.00
"Sept. 30, 2004",5.00
"June 30, 2004",6.00
"March 31, 2004",5.00
"Dec. 31, 2003",4.00
"Sept. 30, 2003",4.00
"June 30, 2003",5.00
"March 31, 2003",6.00
"Dec. 31, 2002",6.00
"Sept. 30, 2002",7.00
"June 30, 2002",5.00
"March 31, 2002",5.00
"Dec. 31, 2001",4.00
"Sept. 30, 2001",4.00
"June 30, 2001",3.00
"March 31, 2001",5.00
"Dec. 31, 2000",6.00
"Sept. 30, 2000",6.00
"June 30, 2000",6.00
"March 31, 2000",7.00
"Dec. 31, 1999",3.00
"Sept. 30, 1999",6.00
"June 30, 1999",6.00
"March 31, 1999",4.00
"Dec. 31, 1998",
"Sept. 30, 1998",
"June 30, 1998",
"March 31, 1998",
"Dec. 31, 1997",
"Sept. 30, 1997",
"June 30, 1997",3.00
"March 31, 1997",5.00
"Dec. 31, 1996",2.00
"Sept. 30, 1996",6.00
"June 30, 1996",6.00
"March 31, 1996",2.00
"Dec. 31, 1995",6.00
"Sept. 30, 1995",7.00
"June 30, 1995",6.00
"March 31, 1995",5.00
"Dec. 31, 1994",4.00
"Sept. 30, 1994",4.00
"June 30, 1994",6.00
"March 31, 1994",3.00
