date,return_on_equity
"Dec. 31, 2019",13.14%
"Sept. 30, 2019",8.75%
"June 30, 2019",11.09%
"March 31, 2019",11.66%
"Dec. 31, 2018",10.46%
"Sept. 30, 2018",5.47%
"June 30, 2018",3.79%
"March 31, 2018",5.79%
"Dec. 31, 2017",5.16%
"Sept. 30, 2017",-9.99%
"June 30, 2017",-9.84%
"March 31, 2017",-7.87%
"Dec. 31, 2016",-6.07%
"Sept. 30, 2016",13.72%
"June 30, 2016",2.04%
"March 31, 2016",-2.33%
"Dec. 31, 2015",-1.61%
"Sept. 30, 2015",-1.38%
"June 30, 2015",8.08%
"March 31, 2015",8.52%
"Dec. 31, 2014",9.64%
"Sept. 30, 2014",10.03%
"June 30, 2014",10.30%
"March 31, 2014",10.21%
"Dec. 31, 2013",7.82%
"Sept. 30, 2013",9.50%
"June 30, 2013",10.63%
"March 31, 2013",12.90%
"Dec. 31, 2012",9.53%
"Sept. 30, 2012",7.99%
"June 30, 2012",11.34%
"March 31, 2012",10.90%
"Dec. 31, 2011",15.56%
"Sept. 30, 2011",16.45%
"June 30, 2011",14.97%
"March 31, 2011",14.88%
"Dec. 31, 2010",14.45%
"Sept. 30, 2010",15.54%
"June 30, 2010",15.10%
"March 31, 2010",14.16%
"Dec. 31, 2009",14.71%
"Sept. 30, 2009",13.43%
"June 30, 2009",13.87%
"March 31, 2009",14.84%
"Dec. 31, 2008",16.01%
"Sept. 30, 2008",16.09%
"June 30, 2008",16.05%
"March 31, 2008",15.73%
"Dec. 31, 2007",14.31%
"Sept. 30, 2007",14.70%
"June 30, 2007",13.81%
"March 31, 2007",13.90%
"Dec. 31, 2006",13.80%
"Sept. 30, 2006",11.76%
"June 30, 2006",11.44%
"March 31, 2006",11.63%
"Dec. 31, 2005",11.27%
"Sept. 30, 2005",11.78%
"June 30, 2005",10.71%
"March 31, 2005",10.22%
"Dec. 31, 2004",10.46%
"Sept. 30, 2004",8.40%
"June 30, 2004",9.43%
"March 31, 2004",8.85%
"Dec. 31, 2003",11.30%
"Sept. 30, 2003",12.94%
"June 30, 2003",13.24%
"March 31, 2003",14.07%
"Dec. 31, 2002",8.15%
"Sept. 30, 2002",7.50%
"June 30, 2002",6.95%
"March 31, 2002",7.03%
"Dec. 31, 2001",10.33%
"Sept. 30, 2001",10.77%
"June 30, 2001",10.79%
"March 31, 2001",10.88%
"Dec. 31, 2000",10.12%
"Sept. 30, 2000",9.46%
"June 30, 2000",9.19%
"March 31, 2000",8.58%
"Dec. 31, 1999",8.00%
"Sept. 30, 1999",11.06%
"June 30, 1999",10.78%
"March 31, 1999",11.06%
"Dec. 31, 1998",11.01%
"Sept. 30, 1998",7.50%
"June 30, 1998",4.71%
"March 31, 1998",3.89%
"Dec. 31, 1997",4.81%
"Sept. 30, 1997",5.76%
"June 30, 1997",9.28%
"March 31, 1997",10.28%
"Dec. 31, 1996",7.49%
"Sept. 30, 1996",8.60%
"June 30, 1996",8.10%
"March 31, 1996",7.45%
"Dec. 31, 1995",9.91%
"Sept. 30, 1995",7.82%
"June 30, 1995",5.96%
"March 31, 1995",5.67%
"Dec. 31, 1994",5.31%
"Sept. 30, 1994",6.10%
"June 30, 1994",7.48%
"March 31, 1994",7.25%
"Dec. 31, 1993",8.44%
"Sept. 30, 1993",8.74%
