date,liabilities
"Dec. 31, 2019",41.47B
"Sept. 30, 2019",40.44B
"June 30, 2019",40.77B
"March 31, 2019",40.64B
"Dec. 31, 2018",39.43B
"Sept. 30, 2018",40.06B
"June 30, 2018",39.60B
"March 31, 2018",39.31B
"Dec. 31, 2017",38.71B
"Sept. 30, 2017",37.71B
"June 30, 2017",37.64B
"March 31, 2017",37.26B
"Dec. 31, 2016",37.82B
"Sept. 30, 2016",37.67B
"June 30, 2016",36.12B
"March 31, 2016",36.57B
"Dec. 31, 2015",35.39B
"Sept. 30, 2015",35.88B
"June 30, 2015",36.01B
"March 31, 2015",36.15B
"Dec. 31, 2014",36.31B
"Sept. 30, 2014",34.30B
"June 30, 2014",33.99B
"March 31, 2014",33.83B
"Dec. 31, 2013",33.68B
"Sept. 30, 2013",33.82B
"June 30, 2013",33.89B
"March 31, 2013",33.49B
"Dec. 31, 2012",33.91B
"Sept. 30, 2012",32.74B
"June 30, 2012",31.79B
"March 31, 2012",31.92B
"Dec. 31, 2011",31.65B
"Sept. 30, 2011",30.10B
"June 30, 2011",30.44B
"March 31, 2011",29.97B
"Dec. 31, 2010",30.09B
"Sept. 30, 2010",29.84B
"June 30, 2010",28.89B
"March 31, 2010",29.16B
"Dec. 31, 2009",28.85B
"Sept. 30, 2009",27.59B
"June 30, 2009",27.62B
"March 31, 2009",27.89B
"Dec. 31, 2008",28.56B
"Sept. 30, 2008",28.17B
"June 30, 2008",27.06B
"March 31, 2008",25.78B
"Dec. 31, 2007",25.47B
"Sept. 30, 2007",25.42B
"June 30, 2007",25.26B
"March 31, 2007",22.96B
"Dec. 31, 2006",22.54B
"Sept. 30, 2006",21.65B
"June 30, 2006",22.01B
"March 31, 2006",21.96B
"Dec. 31, 2005",22.66B
"Sept. 30, 2005",21.76B
"June 30, 2005",20.24B
"March 31, 2005",20.05B
"Dec. 31, 2004",19.65B
"Sept. 30, 2004",19.76B
"June 30, 2004",19.79B
"March 31, 2004",19.54B
"Dec. 31, 2003",19.52B
"Sept. 30, 2003",19.46B
"June 30, 2003",19.77B
"March 31, 2003",18.59B
"Dec. 31, 2002",19.31B
"Sept. 30, 2002",18.38B
"June 30, 2002",17.99B
"March 31, 2002",17.50B
"Dec. 31, 2001",17.88B
"Sept. 30, 2001",18.31B
"June 30, 2001",17.69B
"March 31, 2001",17.51B
"Dec. 31, 2000",17.83B
"Sept. 30, 2000",16.34B
"June 30, 2000",16.77B
"March 31, 2000",15.81B
"Dec. 31, 1999",15.29B
"Sept. 30, 1999",15.29B
"June 30, 1999",15.07B
"March 31, 1999",14.96B
"Dec. 31, 1998",14.86B
"Sept. 30, 1998",19.29B
"June 30, 1998",19.25B
"March 31, 1998",19.30B
"Dec. 31, 1997",19.12B
"Sept. 30, 1997",19.44B
"June 30, 1997",19.24B
"March 31, 1997",19.49B
"Dec. 31, 1996",15.39B
"Sept. 30, 1996",15.54B
"June 30, 1996",15.72B
"March 31, 1996",16.11B
"Dec. 31, 1995",14.84B
"Sept. 30, 1995",15.10B
"June 30, 1995",15.16B
"March 31, 1995",15.20B
"Dec. 31, 1994",15.27B
"Sept. 30, 1994",15.34B
"June 30, 1994",15.22B
"March 31, 1994",15.13B
"Dec. 31, 1993",15.29B
"Sept. 30, 1993",15.29B
"June 30, 1993",15.29B
"March 31, 1993",15.29B
