date,three_year_return
"March 19, 2020",11.46%
"March 18, 2020",14.59%
"March 17, 2020",32.10%
"March 16, 2020",15.73%
"March 13, 2020",38.94%
"March 12, 2020",38.08%
"March 11, 2020",51.64%
"March 10, 2020",62.06%
"March 9, 2020",57.76%
"March 6, 2020",65.77%
"March 5, 2020",69.09%
"March 4, 2020",70.28%
"March 3, 2020",61.70%
"March 2, 2020",64.31%
"Feb. 28, 2020",52.50%
"Feb. 27, 2020",60.04%
"Feb. 26, 2020",65.77%
"Feb. 25, 2020",66.62%
"Feb. 24, 2020",71.16%
"Feb. 21, 2020",75.84%
"Feb. 20, 2020",78.72%
"Feb. 19, 2020",80.95%
"Feb. 18, 2020",83.25%
"Feb. 14, 2020",89.48%
"Feb. 13, 2020",85.16%
"Feb. 12, 2020",83.67%
"Feb. 11, 2020",85.52%
"Feb. 10, 2020",85.52%
"Feb. 7, 2020",86.67%
"Feb. 6, 2020",83.35%
"Feb. 5, 2020",81.79%
"Feb. 4, 2020",81.79%
"Feb. 3, 2020",84.06%
"Jan. 31, 2020",83.58%
"Jan. 30, 2020",86.55%
"Jan. 29, 2020",85.05%
"Jan. 28, 2020",84.25%
"Jan. 27, 2020",83.63%
"Jan. 24, 2020",85.59%
"Jan. 23, 2020",83.86%
"Jan. 22, 2020",79.70%
"Jan. 21, 2020",78.95%
"Jan. 17, 2020",75.09%
"Jan. 16, 2020",74.56%
"Jan. 15, 2020",72.87%
"Jan. 14, 2020",69.85%
"Jan. 13, 2020",69.77%
"Jan. 10, 2020",69.30%
"Jan. 9, 2020",69.17%
"Jan. 8, 2020",62.42%
"Jan. 7, 2020",62.66%
"Jan. 6, 2020",62.68%
"Jan. 3, 2020",62.78%
"Jan. 2, 2020",60.51%
"Dec. 31, 2019",63.06%
"Dec. 30, 2019",62.35%
"Dec. 27, 2019",64.17%
"Dec. 26, 2019",63.97%
"Dec. 24, 2019",63.86%
"Dec. 23, 2019",62.67%
"Dec. 20, 2019",64.10%
"Dec. 19, 2019",63.31%
"Dec. 18, 2019",63.54%
"Dec. 17, 2019",62.39%
"Dec. 16, 2019",62.80%
"Dec. 13, 2019",62.66%
"Dec. 12, 2019",63.39%
"Dec. 11, 2019",67.02%
"Dec. 10, 2019",66.29%
"Dec. 9, 2019",67.02%
"Dec. 6, 2019",70.50%
"Dec. 5, 2019",70.68%
"Dec. 4, 2019",70.48%
"Dec. 3, 2019",68.76%
"Dec. 2, 2019",67.41%
"Nov. 29, 2019",63.01%
"Nov. 27, 2019",68.16%
"Nov. 26, 2019",67.51%
"Nov. 25, 2019",65.94%
"Nov. 22, 2019",69.16%
"Nov. 21, 2019",69.39%
"Nov. 20, 2019",72.58%
"Nov. 19, 2019",71.30%
"Nov. 18, 2019",72.33%
"Nov. 15, 2019",70.06%
"Nov. 14, 2019",71.82%
"Nov. 13, 2019",74.34%
"Nov. 12, 2019",70.39%
"Nov. 11, 2019",69.25%
"Nov. 8, 2019",60.18%
"Nov. 7, 2019",60.44%
"Nov. 6, 2019",64.29%
"Nov. 5, 2019",64.61%
"Nov. 4, 2019",67.45%
"Nov. 1, 2019",66.36%
"Oct. 31, 2019",64.88%
"Oct. 30, 2019",67.99%
"Oct. 29, 2019",64.51%
"Oct. 28, 2019",63.24%
"Oct. 25, 2019",65.94%
"Oct. 24, 2019",63.70%
"Oct. 23, 2019",62.67%
"Oct. 22, 2019",61.00%
"Oct. 21, 2019",60.47%
"Oct. 18, 2019",57.68%
"Oct. 17, 2019",57.13%
"Oct. 16, 2019",56.47%
"Oct. 15, 2019",55.81%
"Oct. 14, 2019",57.24%
"Oct. 11, 2019",59.95%
"Oct. 10, 2019",59.41%
"Oct. 9, 2019",61.44%
"Oct. 8, 2019",60.84%
"Oct. 7, 2019",61.07%
"Oct. 4, 2019",60.46%
"Oct. 3, 2019",53.78%
"Oct. 2, 2019",51.77%
"Oct. 1, 2019",52.90%
"Sept. 30, 2019",52.95%
"Sept. 27, 2019",47.61%
"Sept. 26, 2019",45.16%
"Sept. 25, 2019",43.53%
"Sept. 24, 2019",43.79%
"Sept. 23, 2019",42.00%
"Sept. 20, 2019",45.38%
"Sept. 19, 2019",45.41%
"Sept. 18, 2019",46.11%
"Sept. 17, 2019",45.86%
"Sept. 16, 2019",44.68%
"Sept. 13, 2019",47.64%
"Sept. 12, 2019",44.88%
"Sept. 11, 2019",45.58%
"Sept. 10, 2019",44.73%
"Sept. 9, 2019",45.16%
"Sept. 6, 2019",42.70%
"Sept. 5, 2019",44.99%
"Sept. 4, 2019",46.35%
"Sept. 3, 2019",45.85%
"Aug. 30, 2019",45.21%
"Aug. 29, 2019",44.29%
"Aug. 28, 2019",45.38%
"Aug. 27, 2019",45.09%
"Aug. 26, 2019",44.37%
"Aug. 23, 2019",39.20%
"Aug. 22, 2019",40.99%
"Aug. 21, 2019",43.18%
"Aug. 20, 2019",41.31%
"Aug. 19, 2019",40.77%
"Aug. 16, 2019",41.20%
"Aug. 15, 2019",39.37%
"Aug. 14, 2019",34.56%
"Aug. 13, 2019",35.59%
"Aug. 12, 2019",35.54%
"Aug. 9, 2019",36.23%
"Aug. 8, 2019",34.22%
"Aug. 7, 2019",33.08%
"Aug. 6, 2019",33.87%
"Aug. 5, 2019",31.81%
"Aug. 2, 2019",32.80%
"Aug. 1, 2019",31.61%
"July 31, 2019",29.77%
"July 30, 2019",27.63%
"July 29, 2019",28.93%
"July 26, 2019",28.20%
"July 25, 2019",27.69%
"July 24, 2019",28.18%
"July 23, 2019",28.43%
"July 22, 2019",29.09%
"July 19, 2019",31.36%
"July 18, 2019",32.81%
"July 17, 2019",31.46%
"July 16, 2019",30.64%
"July 15, 2019",30.59%
"July 12, 2019",28.14%
"July 11, 2019",28.93%
"July 10, 2019",29.41%
"July 9, 2019",28.88%
"July 8, 2019",29.04%
"July 5, 2019",27.66%
"July 3, 2019",28.10%
"July 2, 2019",27.06%
"July 1, 2019",24.98%
"June 28, 2019",30.04%
"June 27, 2019",28.83%
"June 26, 2019",29.77%
"June 25, 2019",32.38%
"June 24, 2019",32.95%
"June 21, 2019",33.75%
"June 20, 2019",32.43%
"June 19, 2019",30.30%
"June 18, 2019",28.80%
"June 17, 2019",29.38%
"June 14, 2019",29.15%
"June 13, 2019",28.93%
"June 12, 2019",28.81%
"June 11, 2019",26.51%
"June 10, 2019",26.95%
"June 7, 2019",28.28%
"June 6, 2019",28.92%
"June 5, 2019",28.12%
"June 4, 2019",24.54%
"June 3, 2019",25.28%
"May 31, 2019",27.86%
"May 30, 2019",27.11%
"May 29, 2019",26.45%
"May 28, 2019",28.13%
"May 24, 2019",33.63%
"May 23, 2019",34.82%
"May 22, 2019",32.56%
"May 21, 2019",31.47%
"May 20, 2019",31.83%
"May 17, 2019",29.11%
"May 16, 2019",26.81%
"May 15, 2019",25.70%
"May 14, 2019",25.97%
"May 13, 2019",27.25%
"May 10, 2019",26.75%
"May 9, 2019",23.22%
"May 8, 2019",23.73%
"May 7, 2019",26.72%
"May 6, 2019",26.33%
"May 3, 2019",26.28%
"May 2, 2019",27.34%
"May 1, 2019",27.55%
"April 30, 2019",28.89%
"April 29, 2019",26.36%
"April 26, 2019",27.50%
"April 25, 2019",28.16%
"April 24, 2019",27.29%
"April 23, 2019",26.83%
"April 22, 2019",25.94%
"April 18, 2019",22.57%
"April 17, 2019",22.04%
"April 16, 2019",22.69%
"April 15, 2019",24.87%
"April 12, 2019",24.40%
"April 11, 2019",23.69%
"April 10, 2019",22.91%
"April 9, 2019",23.06%
"April 8, 2019",22.58%
"April 5, 2019",22.55%
"April 4, 2019",18.58%
"April 3, 2019",17.61%
"April 2, 2019",17.71%
"April 1, 2019",17.99%
"March 29, 2019",20.12%
"March 28, 2019",21.61%
"March 27, 2019",21.71%
"March 26, 2019",22.41%
"March 25, 2019",21.54%
"March 22, 2019",23.71%
"March 21, 2019",21.11%
"March 20, 2019",20.07%
"March 19, 2019",19.57%
"March 18, 2019",21.25%
"March 15, 2019",23.54%
"March 14, 2019",24.04%
"March 13, 2019",25.14%
"March 12, 2019",24.99%
"March 11, 2019",23.76%
"March 8, 2019",24.03%
"March 7, 2019",24.60%
"March 6, 2019",24.13%
"March 5, 2019",24.24%
"March 4, 2019",24.87%
"March 1, 2019",29.16%
"Feb. 28, 2019",30.09%
"Feb. 27, 2019",28.88%
"Feb. 26, 2019",29.22%
"Feb. 25, 2019",24.51%
"Feb. 22, 2019",25.35%
"Feb. 21, 2019",24.95%
"Feb. 20, 2019",25.02%
"Feb. 19, 2019",23.39%
"Feb. 15, 2019",27.57%
"Feb. 14, 2019",27.33%
"Feb. 13, 2019",26.86%
"Feb. 12, 2019",28.99%
"Feb. 11, 2019",28.44%
"Feb. 8, 2019",27.11%
"Feb. 7, 2019",24.99%
"Feb. 6, 2019",24.00%
"Feb. 5, 2019",23.50%
"Feb. 4, 2019",23.36%
"Feb. 1, 2019",24.06%
"Jan. 31, 2019",26.37%
"Jan. 30, 2019",23.42%
"Jan. 29, 2019",22.70%
"Jan. 28, 2019",22.60%
"Jan. 25, 2019",28.88%
"Jan. 24, 2019",28.95%
"Jan. 23, 2019",27.85%
"Jan. 22, 2019",26.09%
"Jan. 18, 2019",26.73%
"Jan. 17, 2019",26.35%
"Jan. 16, 2019",26.89%
"Jan. 15, 2019",27.24%
"Jan. 14, 2019",22.59%
"Jan. 11, 2019",27.05%
"Jan. 10, 2019",28.30%
"Jan. 9, 2019",26.56%
"Jan. 8, 2019",27.22%
"Jan. 7, 2019",24.96%
"Jan. 4, 2019",23.65%
"Jan. 3, 2019",23.13%
"Jan. 2, 2019",22.88%
"Dec. 31, 2018",25.91%
"Dec. 28, 2018",24.15%
"Dec. 27, 2018",24.24%
"Dec. 26, 2018",22.93%
"Dec. 24, 2018",21.18%
"Dec. 21, 2018",31.10%
"Dec. 20, 2018",31.81%
"Dec. 19, 2018",31.06%
"Dec. 18, 2018",31.44%
"Dec. 17, 2018",29.08%
"Dec. 14, 2018",37.19%
"Dec. 13, 2018",37.77%
"Dec. 12, 2018",35.41%
"Dec. 11, 2018",36.45%
"Dec. 10, 2018",35.67%
"Dec. 7, 2018",32.64%
"Dec. 6, 2018",33.85%
"Dec. 4, 2018",34.96%
"Dec. 3, 2018",36.44%
"Nov. 30, 2018",30.66%
"Nov. 29, 2018",29.77%
"Nov. 28, 2018",30.09%
"Nov. 27, 2018",30.41%
"Nov. 26, 2018",29.82%
"Nov. 23, 2018",28.05%
"Nov. 21, 2018",27.50%
"Nov. 20, 2018",28.97%
"Nov. 19, 2018",31.77%
"Nov. 16, 2018",29.16%
"Nov. 15, 2018",31.96%
"Nov. 14, 2018",31.22%
"Nov. 13, 2018",31.85%
"Nov. 12, 2018",30.56%
"Nov. 9, 2018",31.35%
"Nov. 8, 2018",29.67%
"Nov. 7, 2018",29.93%
"Nov. 6, 2018",30.11%
"Nov. 5, 2018",23.96%
"Nov. 2, 2018",21.46%
"Nov. 1, 2018",21.79%
"Oct. 31, 2018",23.17%
"Oct. 30, 2018",21.68%
"Oct. 29, 2018",24.46%
"Oct. 26, 2018",20.35%
"Oct. 25, 2018",21.63%
"Oct. 24, 2018",24.41%
"Oct. 23, 2018",21.12%
"Oct. 22, 2018",19.00%
"Oct. 19, 2018",21.25%
"Oct. 18, 2018",19.21%
"Oct. 17, 2018",19.24%
"Oct. 16, 2018",19.37%
"Oct. 15, 2018",18.49%
"Oct. 12, 2018",19.14%
"Oct. 11, 2018",20.19%
"Oct. 10, 2018",22.78%
"Oct. 9, 2018",23.49%
"Oct. 8, 2018",23.60%
"Oct. 5, 2018",23.58%
"Oct. 4, 2018",23.24%
"Oct. 3, 2018",21.92%
"Oct. 2, 2018",24.19%
"Oct. 1, 2018",25.21%
"Sept. 28, 2018",26.65%
"Sept. 27, 2018",23.75%
"Sept. 26, 2018",22.45%
"Sept. 25, 2018",24.14%
"Sept. 24, 2018",28.38%
"Sept. 21, 2018",29.16%
"Sept. 20, 2018",28.39%
"Sept. 19, 2018",27.47%
"Sept. 18, 2018",30.63%
"Sept. 17, 2018",31.05%
"Sept. 14, 2018",33.31%
"Sept. 13, 2018",34.36%
"Sept. 12, 2018",34.08%
"Sept. 11, 2018",34.80%
"Sept. 10, 2018",37.34%
"Sept. 7, 2018",37.67%
"Sept. 6, 2018",39.01%
