date,return_on_invested_capital
"Dec. 31, 2019",-49.08%
"Sept. 30, 2019",-49.53%
"June 30, 2019",-31.61%
"March 31, 2019",-21.72%
"Dec. 31, 2018",-18.03%
"Sept. 30, 2018",0.39%
"June 30, 2018",0.36%
"March 31, 2018",4.04%
"Dec. 31, 2017",4.44%
"Sept. 30, 2017",6.09%
"June 30, 2017",5.72%
"March 31, 2017",5.26%
"Dec. 31, 2016",4.01%
"Sept. 30, 2016",2.47%
"June 30, 2016",2.27%
"March 31, 2016",2.90%
"Dec. 31, 2015",2.71%
"Sept. 30, 2015",2.75%
"June 30, 2015",4.39%
"March 31, 2015",4.04%
"Dec. 31, 2014",4.75%
"Sept. 30, 2014",4.70%
"June 30, 2014",2.58%
"March 31, 2014",2.85%
"Dec. 31, 2013",2.96%
"Sept. 30, 2013",2.65%
"June 30, 2013",3.43%
"March 31, 2013",3.13%
"Dec. 31, 2012",3.13%
"Sept. 30, 2012",3.52%
"June 30, 2012",2.94%
"March 31, 2012",3.48%
"Dec. 31, 2011",3.38%
"Sept. 30, 2011",4.09%
"June 30, 2011",4.38%
"March 31, 2011",4.32%
"Dec. 31, 2010",4.62%
"Sept. 30, 2010",4.82%
"June 30, 2010",5.16%
"March 31, 2010",5.49%
"Dec. 31, 2009",5.54%
"Sept. 30, 2009",6.93%
"June 30, 2009",7.17%
"March 31, 2009",7.04%
"Dec. 31, 2008",7.28%
"Sept. 30, 2008",5.63%
"June 30, 2008",5.52%
"March 31, 2008",5.35%
"Dec. 31, 2007",5.48%
"Sept. 30, 2007",5.19%
"June 30, 2007",5.93%
"March 31, 2007",5.79%
"Dec. 31, 2006",5.59%
"Sept. 30, 2006",5.90%
"June 30, 2006",5.08%
"March 31, 2006",5.45%
"Dec. 31, 2005",5.45%
"Sept. 30, 2005",9.51%
"June 30, 2005",9.20%
"March 31, 2005",8.90%
"Dec. 31, 2004",22.87%
"Sept. 30, 2004",20.50%
"June 30, 2004",21.69%
"March 31, 2004",21.94%
"Dec. 31, 2003",3.04%
"Sept. 30, 2003",-13.85%
"June 30, 2003",-11.66%
"March 31, 2003",-11.59%
"Dec. 31, 2002",-5.44%
"Sept. 30, 2002",10.30%
"June 30, 2002",11.64%
"March 31, 2002",15.80%
"Dec. 31, 2001",6.68%
"Sept. 30, 2001",-19.90%
"June 30, 2001",-22.96%
"March 31, 2001",-25.55%
"Dec. 31, 2000",-18.08%
"Sept. 30, 2000",0.77%
"June 30, 2000",0.57%
"March 31, 2000",0.20%
"Dec. 31, 1999",-0.41%
"Sept. 30, 1999",4.12%
"June 30, 1999",4.24%
"March 31, 1999",4.20%
"Dec. 31, 1998",4.00%
"Sept. 30, 1998",3.38%
"June 30, 1998",3.63%
"March 31, 1998",3.73%
"Dec. 31, 1997",3.88%
"Sept. 30, 1997",4.31%
"June 30, 1997",4.26%
