date,assets
"Dec. 31, 2019",85.20B
"Sept. 30, 2019",85.71B
"June 30, 2019",84.39B
"March 31, 2019",82.29B
"Dec. 31, 2018",77.00B
"Sept. 30, 2018",71.38B
"June 30, 2018",69.89B
"March 31, 2018",68.15B
"Dec. 31, 2017",68.01B
"Sept. 30, 2017",71.53B
"June 30, 2017",70.06B
"March 31, 2017",69.16B
"Dec. 31, 2016",68.60B
"Sept. 30, 2016",66.56B
"June 30, 2016",65.93B
"March 31, 2016",64.65B
"Dec. 31, 2015",63.23B
"Sept. 30, 2015",61.99B
"June 30, 2015",61.63B
"March 31, 2015",60.55B
"Dec. 31, 2014",60.13B
"Sept. 30, 2014",57.88B
"June 30, 2014",57.02B
"March 31, 2014",55.99B
"Dec. 31, 2013",55.60B
"Sept. 30, 2013",55.21B
"June 30, 2013",54.32B
"March 31, 2013",53.06B
"Dec. 31, 2012",52.45B
"Sept. 30, 2012",50.87B
"June 30, 2012",50.12B
"March 31, 2012",50.19B
"Dec. 31, 2011",49.75B
"Sept. 30, 2011",47.52B
"June 30, 2011",47.32B
"March 31, 2011",46.26B
"Dec. 31, 2010",46.02B
"Sept. 30, 2010",45.25B
"June 30, 2010",44.22B
"March 31, 2010",43.54B
"Dec. 31, 2009",42.94B
"Sept. 30, 2009",42.55B
"June 30, 2009",42.20B
"March 31, 2009",41.34B
"Dec. 31, 2008",40.86B
"Sept. 30, 2008",38.88B
"June 30, 2008",38.61B
"March 31, 2008",37.45B
"Dec. 31, 2007",36.63B
"Sept. 30, 2007",36.08B
"June 30, 2007",35.43B
"March 31, 2007",34.78B
"Dec. 31, 2006",34.80B
"Sept. 30, 2006",34.83B
"June 30, 2006",33.98B
"March 31, 2006",34.07B
"Dec. 31, 2005",34.07B
"Sept. 30, 2005",34.16B
"June 30, 2005",34.42B
"March 31, 2005",34.44B
"Dec. 31, 2004",34.54B
"Sept. 30, 2004",35.37B
"June 30, 2004",35.08B
"March 31, 2004",42.14B
"Dec. 31, 2003",30.18B
"Sept. 30, 2003",27.76B
"June 30, 2003",34.51B
"March 31, 2003",35.29B
"Dec. 31, 2002",33.06B
"Sept. 30, 2002",36.64B
"June 30, 2002",36.78B
"March 31, 2002",36.30B
"Dec. 31, 2001",35.96B
"Sept. 30, 2001",33.68B
"June 30, 2001",35.40B
"March 31, 2001",34.99B
"Dec. 31, 2000",36.15B
"Sept. 30, 2000",33.89B
"June 30, 2000",31.23B
"March 31, 2000",29.20B
"Dec. 31, 1999",29.47B
"Sept. 30, 1999",31.49B
"June 30, 1999",31.43B
"March 31, 1999",34.11B
"Dec. 31, 1998",33.23B
"Sept. 30, 1998",31.64B
"June 30, 1998",29.29B
"March 31, 1998",29.34B
"Dec. 31, 1997",31.12B
"Sept. 30, 1997",29.41B
"June 30, 1997",26.67B
"March 31, 1997",26.64B
"Dec. 31, 1996",26.24B
"Dec. 31, 1995",26.85B
"March 31, 1995",27.47B
