Ex-Date,Record Date,Pay Date,Declared Date,Type,Amoun
09/28/2017,09/29/2017,10/15/2017,09/20/2017,Normal,0.53
06/28/2017,06/30/2017,07/15/2017,05/31/2017,Normal,0.53
03/29/2017,03/31/2017,04/15/2017,02/17/2017,Normal,0.49
12/28/2016,12/30/2016,01/15/2017,12/16/2016,Normal,0.49
09/28/2016,09/30/2016,10/15/2016,09/21/2016,Normal,0.49
06/28/2016,06/30/2016,07/15/2016,05/23/2016,Normal,0.49
03/29/2016,03/31/2016,04/15/2016,02/17/2016,Normal,0.455
12/29/2015,12/31/2015,01/15/2016,12/16/2015,Normal,0.455
09/28/2015,09/30/2015,10/15/2015,09/16/2015,Normal,0.455
06/26/2015,06/30/2015,07/15/2015,06/11/2015,Normal,0.455
03/27/2015,03/31/2015,04/15/2015,02/23/2015,Normal,0.455
12/29/2014,12/31/2014,01/15/2015,12/17/2014,Normal,0.455
09/26/2014,09/30/2014,10/15/2014,09/16/2014,Normal,0.455
06/26/2014,06/30/2014,07/15/2014,06/18/2014,Normal,0.455
03/27/2014,03/31/2014,04/15/2014,02/19/2014,Normal,0.455
12/27/2013,12/31/2013,01/15/2014,12/19/2013,Normal,0.455
09/26/2013,09/30/2013,10/15/2013,09/18/2013,Normal,0.455
06/27/2013,07/01/2013,07/15/2013,06/20/2013,Normal,0.455
03/26/2013,03/28/2013,04/15/2013,02/20/2013,Normal,0.455
12/27/2012,12/31/2012,01/15/2013,12/19/2012,Normal,0.455
09/27/2012,10/01/2012,10/15/2012,09/19/2012,Normal,0.455
06/28/2012,07/02/2012,07/15/2012,06/21/2012,Normal,0.455
03/28/2012,03/30/2012,04/15/2012,02/16/2012,Normal,0.455
12/28/2011,12/30/2011,01/15/2012,12/22/2011,Normal,0.455
09/29/2011,10/03/2011,10/15/2011,09/22/2011,Normal,0.455
06/28/2011,06/30/2011,07/15/2011,06/16/2011,Normal,0.455
03/29/2011,03/31/2011,04/15/2011,02/18/2011,Normal,0.455
12/29/2010,12/31/2010,01/15/2011,12/16/2010,Normal,0.455
09/28/2010,09/30/2010,10/15/2010,09/16/2010,Normal,0.455
