date,gross_profit_margin
"Dec. 31, 2019",30.47%
"Sept. 30, 2019",24.55%
"June 30, 2019",26.78%
"March 31, 2019",24.58%
"Dec. 31, 2018",22.31%
"Sept. 30, 2018",32.98%
"June 30, 2018",33.21%
"March 31, 2018",33.14%
"Dec. 31, 2017",27.73%
"Sept. 30, 2017",36.51%
"June 30, 2017",32.96%
"March 31, 2017",37.00%
"Dec. 31, 2016",36.79%
"Sept. 30, 2016",27.73%
"June 30, 2016",26.39%
"March 31, 2016",19.93%
"Dec. 31, 2015",21.17%
"Sept. 30, 2015",26.33%
"June 30, 2015",31.73%
"March 31, 2015",18.00%
"Dec. 31, 2014",24.37%
"Sept. 30, 2014",35.15%
"June 30, 2014",27.20%
"March 31, 2014",26.27%
"Dec. 31, 2013",21.84%
"Sept. 30, 2013",19.50%
"June 30, 2013",30.51%
"March 31, 2013",27.37%
"Dec. 31, 2012",15.40%
"Sept. 30, 2012",30.96%
"June 30, 2012",29.86%
"March 31, 2012",29.42%
"Dec. 31, 2011",-79.42%
"Sept. 30, 2011",63.89%
"June 30, 2011",68.40%
"March 31, 2011",61.19%
"Dec. 31, 2010",-60.70%
"Sept. 30, 2010",63.45%
"June 30, 2010",65.66%
"March 31, 2010",59.28%
"Dec. 31, 2009",61.57%
"Sept. 30, 2009",65.04%
"June 30, 2009",66.47%
"March 31, 2009",58.03%
"Dec. 31, 2008",58.93%
"Sept. 30, 2008",55.55%
"June 30, 2008",55.73%
"March 31, 2008",51.73%
"Dec. 31, 2007",57.99%
"Sept. 30, 2007",60.99%
"June 30, 2007",59.84%
"March 31, 2007",55.99%
"Dec. 31, 2006",59.92%
"Sept. 30, 2006",62.69%
"June 30, 2006",61.92%
"March 31, 2006",55.43%
"Dec. 31, 2005",54.94%
"Sept. 30, 2005",61.91%
"June 30, 2005",66.61%
"March 31, 2005",61.93%
"Dec. 31, 2004",
"Sept. 30, 2004",60.69%
"June 30, 2004",64.97%
"March 31, 2004",58.16%
"Dec. 31, 2003",62.74%
"Sept. 30, 2003",70.77%
"June 30, 2003",69.58%
"March 31, 2003",52.41%
"Dec. 31, 2002",63.20%
"Sept. 30, 2002",77.67%
"June 30, 2002",73.14%
"March 31, 2002",84.50%
"Dec. 31, 2001",
"Sept. 30, 2001",68.84%
"June 30, 2001",52.08%
"March 31, 2001",-5.98%
"Dec. 31, 2000",25.33%
"Sept. 30, 2000",8.69%
"June 30, 2000",25.43%
"March 31, 2000",34.74%
"Dec. 31, 1999",34.54%
"Sept. 30, 1999",31.51%
"June 30, 1999",85.82%
"March 31, 1999",32.66%
"Dec. 31, 1998",28.50%
"Sept. 30, 1998",38.36%
"June 30, 1998",
"March 31, 1998",
"Dec. 31, 1997",31.51%
"Sept. 30, 1997",46.08%
"June 30, 1997",54.78%
"March 31, 1997",48.23%
"Dec. 31, 1996",
"Sept. 30, 1996",
"June 30, 1996",
"March 31, 1996",
"Dec. 31, 1995",
"Sept. 30, 1995",
"June 30, 1995",
"March 31, 1995",76.49%
