date,accruals
"Dec. 31, 2019",-4.362B
"Sept. 30, 2019",-2.926B
"June 30, 2019",-3.062B
"March 31, 2019",-2.108B
"Dec. 31, 2018",-7.385B
"Sept. 30, 2018",-916.00M
"June 30, 2018",-2.221B
"March 31, 2018",-1.067B
"Dec. 31, 2017",-1.122B
"Sept. 30, 2017",-1.428B
"June 30, 2017",-772.00M
"March 31, 2017",-995.00M
"Dec. 31, 2016",-430.00M
"Sept. 30, 2016",-1.077B
"June 30, 2016",-517.00M
"March 31, 2016",-978.00M
"Dec. 31, 2015",-700.00M
"Sept. 30, 2015",-773.00M
"June 30, 2015",-373.00M
"March 31, 2015",-1.046B
"Dec. 31, 2014",-598.00M
"Sept. 30, 2014",-863.00M
"June 30, 2014",-238.00M
"March 31, 2014",-541.00M
"Dec. 31, 2013",-504.00M
"Sept. 30, 2013",-1.21B
"June 30, 2013",-258.00M
"March 31, 2013",-627.00M
"Dec. 31, 2012",-1.439B
"Sept. 30, 2012",-914.00M
"June 30, 2012",-1.004B
"March 31, 2012",-695.00M
"Dec. 31, 2011",-420.00M
"Sept. 30, 2011",-1.124B
"June 30, 2011",-451.00M
"March 31, 2011",-886.00M
"Dec. 31, 2010",-632.00M
"Sept. 30, 2010",-686.00M
"June 30, 2010",-641.00M
"March 31, 2010",-134.00M
"Dec. 31, 2009",45.00M
"Sept. 30, 2009",-732.00M
"June 30, 2009",-472.00M
"March 31, 2009",-646.00M
"Dec. 31, 2008",-50.00M
"Sept. 30, 2008",370.00M
"June 30, 2008",-913.00M
"March 31, 2008",-811.00M
"Dec. 31, 2007",-265.00M
"Sept. 30, 2007",-564.00M
"June 30, 2007",9.00M
"March 31, 2007",-720.00M
"Dec. 31, 2006",-322.00M
"Sept. 30, 2006",-307.00M
"June 30, 2006",-214.00M
"March 31, 2006",-880.00M
"Dec. 31, 2005",-112.00M
"Sept. 30, 2005",-282.00M
"June 30, 2005",-364.00M
"March 31, 2005",-734.00M
"Dec. 31, 2004",-139.00M
"Sept. 30, 2004",-494.00M
"June 30, 2004",641.00M
"March 31, 2004",2.146B
"Dec. 31, 2003",451.00M
"Sept. 30, 2003",-797.00M
"June 30, 2003",-449.00M
"March 31, 2003",-1.287B
"Dec. 31, 2002",-1.752B
"Sept. 30, 2002",-373.00M
"June 30, 2002",996.00M
"March 31, 2002",-559.00M
"Dec. 31, 2001",22.00M
"Sept. 30, 2001",-3.306B
"June 30, 2001",2.005B
"March 31, 2001",-2.903B
"Dec. 31, 2000",-3.612B
"Sept. 30, 2000",690.00M
"June 30, 2000",-365.00M
"March 31, 2000",-782.00M
"Dec. 31, 1999",-743.00M
"Sept. 30, 1999",-183.00M
"June 30, 1999",-448.00M
"March 31, 1999",-854.00M
"Dec. 31, 1998",428.00M
"Sept. 30, 1998",-1.055B
"June 30, 1998",-224.00M
"March 31, 1998",-713.00M
"Dec. 31, 1997",-356.00M
"Sept. 30, 1997",-768.40M
"June 30, 1997",19.30M
"March 31, 1997",-796.40M
"Dec. 31, 1996",
"Sept. 30, 1996",
"June 30, 1996",
"March 31, 1996",
"Dec. 31, 1995",
"Sept. 30, 1995",
"June 30, 1995",
"March 31, 1995",-1.019B
