date,ebitda_ttm
"Dec. 31, 2019",-6.874B
"Sept. 30, 2019",-11.92B
"June 30, 2019",-8.891B
"March 31, 2019",-6.68B
"Dec. 31, 2018",-6.164B
"Sept. 30, 2018",3.611B
"June 30, 2018",3.681B
"March 31, 2018",5.763B
"Dec. 31, 2017",5.913B
"Sept. 30, 2017",6.471B
"June 30, 2017",6.194B
"March 31, 2017",5.841B
"Dec. 31, 2016",5.046B
"Sept. 30, 2016",4.219B
"June 30, 2016",4.077B
"March 31, 2016",4.308B
"Dec. 31, 2015",4.246B
"Sept. 30, 2015",4.368B
"June 30, 2015",4.918B
"March 31, 2015",4.679B
"Dec. 31, 2014",4.962B
"Sept. 30, 2014",4.771B
"June 30, 2014",3.839B
"March 31, 2014",3.897B
"Dec. 31, 2013",3.888B
"Sept. 30, 2013",3.632B
"June 30, 2013",4.049B
"March 31, 2013",3.979B
"Dec. 31, 2012",4.042B
"Sept. 30, 2012",4.383B
"June 30, 2012",4.118B
"March 31, 2012",4.317B
"Dec. 31, 2011",4.213B
"Sept. 30, 2011",4.276B
"June 30, 2011",4.318B
"March 31, 2011",4.242B
"Dec. 31, 2010",4.368B
"Sept. 30, 2010",4.412B
"June 30, 2010",4.518B
"March 31, 2010",4.463B
"Dec. 31, 2009",4.346B
"Sept. 30, 2009",4.482B
"June 30, 2009",4.414B
"March 31, 2009",4.325B
"Dec. 31, 2008",4.283B
"Sept. 30, 2008",4.047B
"June 30, 2008",4.06B
"March 31, 2008",3.988B
"Dec. 31, 2007",4.01B
"Sept. 30, 2007",3.942B
"June 30, 2007",4.065B
"March 31, 2007",3.982B
"Dec. 31, 2006",3.882B
"Sept. 30, 2006",3.856B
"June 30, 2006",3.642B
"March 31, 2006",3.702B
"Dec. 31, 2005",3.705B
"Sept. 30, 2005",7.845B
"June 30, 2005",7.764B
"March 31, 2005",7.797B
"Dec. 31, 2004",12.58B
"Sept. 30, 2004",8.23B
"June 30, 2004",8.797B
"March 31, 2004",8.878B
"Dec. 31, 2003",3.584B
"Sept. 30, 2003",3.759B
"June 30, 2003",3.677B
"March 31, 2003",3.721B
"Dec. 31, 2002",4.97B
"Sept. 30, 2002",5.279B
"June 30, 2002",5.733B
"March 31, 2002",6.289B
"Dec. 31, 2001",3.583B
"Sept. 30, 2001",-2.99B
"June 30, 2001",-2.363B
"March 31, 2001",-3.378B
"Dec. 31, 2000",-1.27B
"Sept. 30, 2000",3.72B
"June 30, 2000",2.441B
"March 31, 2000",2.79B
"Dec. 31, 1999",2.666B
"Sept. 30, 1999",3.672B
"June 30, 1999",3.605B
"March 31, 1999",7.352B
"Dec. 31, 1998",10.81B
"Sept. 30, 1998",10.94B
"June 30, 1998",10.93B
"March 31, 1998",6.967B
"Dec. 31, 1997",3.571B
"Sept. 30, 1997",-2.122B
"June 30, 1997",-724.90M
"March 31, 1997",585.40M
"Dec. 31, 1996",1.877B
"Sept. 30, 1996",2.272B
"June 30, 1996",2.395B
"March 31, 1996",2.704B
"Dec. 31, 1995",1.571B
"Sept. 30, 1995",8.847B
"June 30, 1995",9.057B
"March 31, 1995",9.049B
"Dec. 31, 1994",10.45B
"Sept. 30, 1994",10.52B
"June 30, 1994",10.61B
"March 31, 1994",10.63B
"Dec. 31, 1993",10.58B
"Sept. 30, 1993",10.43B
"June 30, 1993",10.28B
"March 31, 1993",10.34B
"Dec. 31, 1992",10.30B
"Sept. 30, 1992",10.37B
"June 30, 1992",10.09B
"March 31, 1992",9.927B
"Dec. 31, 1991",9.778B
"Sept. 30, 1991",9.595B
"June 30, 1991",9.672B
"March 31, 1991",9.493B
"Dec. 31, 1990",9.470B
"Sept. 30, 1990",9.165B
"June 30, 1990",8.813B
"March 31, 1990",8.727B
"Dec. 31, 1989",8.588B
"Sept. 30, 1989",8.485B
"June 30, 1989",8.205B
"March 31, 1989",7.885B
"Dec. 31, 1988",7.646B
"Sept. 30, 1988",7.433B
"June 30, 1988",7.295B
"March 31, 1988",7.303B
"Dec. 31, 1987",7.186B
"Sept. 30, 1987",7.282B
"June 30, 1987",7.455B
"March 31, 1987",7.557B
"Dec. 31, 1986",7.817B
"Sept. 30, 1986",7.956B
"June 30, 1986",8.123B
"March 31, 1986",8.270B
"Dec. 31, 1985",8.431B
"Sept. 30, 1985",8.469B
"June 30, 1985",8.328B
"March 31, 1985",8.118B
"Dec. 31, 1984",7.830B
