date,free_cash_flow
"Dec. 31, 2019",-1.372B
"Sept. 30, 2019",-472.00M
"June 30, 2019",-673.00M
"March 31, 2019",1.02B
"Dec. 31, 2018",-1.406B
"Sept. 30, 2018",-212.00M
"June 30, 2018",-186.00M
"March 31, 2018",42.00M
"Dec. 31, 2017",-463.00M
"Sept. 30, 2017",517.00M
"June 30, 2017",-76.00M
"March 31, 2017",358.00M
"Dec. 31, 2016",-455.00M
"Sept. 30, 2016",-9.00M
"June 30, 2016",-695.00M
"March 31, 2016",-141.00M
"Dec. 31, 2015",-673.00M
"Sept. 30, 2015",-169.00M
"June 30, 2015",-440.00M
"March 31, 2015",-111.00M
"Dec. 31, 2014",-536.00M
"Sept. 30, 2014",433.00M
"June 30, 2014",-614.00M
"March 31, 2014",-426.00M
"Dec. 31, 2013",-732.00M
"Sept. 30, 2013",14.00M
"June 30, 2013",-682.00M
"March 31, 2013",-380.00M
"Dec. 31, 2012",167.00M
"Sept. 30, 2012",136.00M
"June 30, 2012",118.00M
"March 31, 2012",-163.00M
"Dec. 31, 2011",-563.00M
"Sept. 30, 2011",256.00M
"June 30, 2011",-135.00M
"March 31, 2011",143.00M
"Dec. 31, 2010",-122.00M
"Sept. 30, 2010",-61.00M
"June 30, 2010",47.00M
"March 31, 2010",-460.00M
"Dec. 31, 2009",-704.00M
"Sept. 30, 2009",108.00M
"June 30, 2009",-134.00M
"March 31, 2009",-189.00M
"Dec. 31, 2008",-356.00M
"Sept. 30, 2008",-1.045B
"June 30, 2008",351.00M
"March 31, 2008",185.00M
"Dec. 31, 2007",-266.00M
"Sept. 30, 2007",127.00M
"June 30, 2007",-387.00M
"March 31, 2007",303.00M
"Dec. 31, 2006",-199.00M
"Sept. 30, 2006",149.00M
"June 30, 2006",-156.00M
"March 31, 2006",518.00M
"Dec. 31, 2005",-194.00M
"Sept. 30, 2005",19.00M
"June 30, 2005",177.00M
"March 31, 2005",603.00M
"Dec. 31, 2004",561.00M
"Sept. 30, 2004",349.00M
"June 30, 2004",-664.00M
"March 31, 2004",545.00M
"Dec. 31, 2003",-929.00M
"Sept. 30, 2003",1.034B
"June 30, 2003",137.00M
"March 31, 2003",562.00M
"Dec. 31, 2002",-828.00M
"Sept. 30, 2002",1.363B
"June 30, 2002",-1.747B
"March 31, 2002",479.00M
"Dec. 31, 2001",-448.00M
"Sept. 30, 2001",3.077B
"June 30, 2001",-1.535B
"March 31, 2001",1.414B
"Dec. 31, 2000",-1.631B
"Sept. 30, 2000",-1.015B
"June 30, 2000",264.00M
"March 31, 2000",741.00M
"Dec. 31, 1999",-394.00M
"Sept. 30, 1999",50.00M
"June 30, 1999",262.00M
"March 31, 1999",653.00M
"Dec. 31, 1998",-589.00M
"Sept. 30, 1998",928.00M
"June 30, 1998",-21.00M
"March 31, 1998",346.00M
"Dec. 31, 1997",-191.00M
"Sept. 30, 1997",614.00M
"June 30, 1997",-268.20M
"March 31, 1997",641.20M
"Dec. 31, 1996",
"Sept. 30, 1996",
"June 30, 1996",
"March 31, 1996",
"Dec. 31, 1995",
"Sept. 30, 1995",
"June 30, 1995",
"March 31, 1995",1.116B
