date,price_target_upside
"March 19, 2020",97.68%
"March 18, 2020",115.1%
"March 17, 2020",70.08%
"March 16, 2020",75.22%
"March 13, 2020",53.59%
"March 12, 2020",73.09%
"March 11, 2020",32.14%
"March 10, 2020",14.45%
"March 9, 2020",26.06%
"March 6, 2020",11.49%
"March 5, 2020",5.50%
"March 4, 2020",5.15%
"March 3, 2020",7.42%
"March 2, 2020",8.43%
"Feb. 28, 2020",6.45%
"Feb. 27, 2020",1.04%
"Feb. 26, 2020",-1.32%
"Feb. 25, 2020",-6.09%
"Feb. 24, 2020",-4.35%
"Feb. 21, 2020",-7.92%
"Feb. 20, 2020",-7.56%
"Feb. 19, 2020",-5.77%
"Feb. 18, 2020",1.98%
"Feb. 14, 2020",1.29%
"Feb. 13, 2020",-2.09%
"Feb. 12, 2020",-2.73%
"Feb. 11, 2020",-8.84%
"Feb. 10, 2020",-10.98%
"Feb. 7, 2020",-10.66%
"Feb. 6, 2020",-7.96%
"Feb. 5, 2020",-8.23%
"Feb. 4, 2020",-11.64%
"Feb. 3, 2020",-15.46%
"Jan. 31, 2020",-4.01%
"Jan. 30, 2020",-2.08%
"Jan. 29, 2020",-3.65%
"Jan. 28, 2020",-3.01%
"Jan. 27, 2020",-7.41%
"Jan. 24, 2020",-10.46%
"Jan. 23, 2020",-11.79%
"Jan. 22, 2020",-3.42%
"Jan. 21, 2020",-8.46%
"Jan. 17, 2020",-7.41%
"Jan. 16, 2020",-4.11%
"Jan. 15, 2020",-6.75%
"Jan. 14, 2020",2.35%
"Jan. 13, 2020",9.30%
"Jan. 10, 2020",19.61%
"Jan. 9, 2020",26.71%
"Jan. 8, 2020",20.81%
"Jan. 7, 2020",25.45%
"Jan. 6, 2020",27.87%
"Jan. 3, 2020",25.57%
"Jan. 2, 2020",22.33%
"Dec. 31, 2019",22.10%
"Dec. 30, 2019",22.90%
"Dec. 27, 2019",27.13%
"Dec. 26, 2019",22.22%
"Dec. 24, 2019",21.21%
"Dec. 23, 2019",21.32%
"Dec. 20, 2019",20.77%
"Dec. 19, 2019",21.55%
"Dec. 18, 2019",16.95%
"Dec. 17, 2019",21.24%
"Dec. 16, 2019",36.79%
"Dec. 13, 2019",23.34%
"Dec. 12, 2019",18.29%
"Dec. 11, 2019",10.08%
"Dec. 10, 2019",8.47%
"Dec. 9, 2019",13.84%
"Dec. 6, 2019",21.53%
"Dec. 5, 2019",19.91%
"Dec. 4, 2019",22.88%
"Dec. 3, 2019",35.78%
"Dec. 2, 2019",46.60%
"Nov. 29, 2019",54.46%
"Nov. 27, 2019",52.62%
"Nov. 26, 2019",54.25%
"Nov. 25, 2019",55.71%
"Nov. 22, 2019",58.25%
"Nov. 21, 2019",65.02%
"Nov. 20, 2019",61.79%
"Nov. 19, 2019",70.79%
"Nov. 18, 2019",64.76%
"Nov. 15, 2019",57.44%
"Nov. 14, 2019",74.36%
"Nov. 13, 2019",68.81%
"Nov. 12, 2019",65.46%
"Nov. 11, 2019",86.61%
"Nov. 8, 2019",80.28%
"Nov. 7, 2019",109.2%
"Nov. 6, 2019",81.95%
"Nov. 5, 2019",66.15%
"Nov. 4, 2019",82.83%
"Nov. 1, 2019",106.7%
"Oct. 31, 2019",115.4%
"Oct. 30, 2019",116.5%
"Oct. 29, 2019",164.2%
"Oct. 28, 2019",243.1%
"Oct. 25, 2019",168.5%
"Oct. 24, 2019",86.43%
"Oct. 23, 2019",63.70%
"Oct. 22, 2019",65.72%
"Oct. 21, 2019",70.30%
"Oct. 18, 2019",76.45%
"Oct. 17, 2019",74.87%
"Oct. 16, 2019",73.76%
"Oct. 15, 2019",77.59%
"Oct. 14, 2019",78.52%
"Oct. 11, 2019",70.73%
"Oct. 10, 2019",85.64%
"Oct. 9, 2019",38.36%
"Oct. 8, 2019",44.32%
"Oct. 7, 2019",36.79%
"Oct. 4, 2019",44.72%
"Oct. 3, 2019",64.72%
"Oct. 2, 2019",75.57%
"Oct. 1, 2019",58.90%
"Sept. 30, 2019",60.38%
"Sept. 27, 2019",58.48%
"Sept. 26, 2019",49.89%
"Sept. 25, 2019",48.92%
"Sept. 24, 2019",46.74%
"Sept. 23, 2019",38.98%
"Sept. 20, 2019",37.48%
"Sept. 19, 2019",30.83%
"Sept. 18, 2019",35.84%
"Sept. 17, 2019",43.02%
"Sept. 16, 2019",44.97%
"Sept. 13, 2019",41.39%
"Sept. 12, 2019",57.65%
"Sept. 11, 2019",49.09%
"Sept. 10, 2019",46.08%
"Sept. 9, 2019",46.77%
"Sept. 6, 2019",65.70%
"Sept. 5, 2019",59.89%
"Sept. 4, 2019",57.95%
"Sept. 3, 2019",59.74%
"Aug. 30, 2019",66.73%
"Aug. 29, 2019",67.05%
"Aug. 28, 2019",61.03%
"Aug. 27, 2019",55.29%
"Aug. 26, 2019",47.65%
"Aug. 23, 2019",57.82%
"Aug. 22, 2019",49.17%
"Aug. 21, 2019",46.62%
"Aug. 20, 2019",54.04%
"Aug. 19, 2019",105.0%
"Aug. 16, 2019",54.35%
"Aug. 15, 2019",53.17%
"Aug. 14, 2019",39.94%
"Aug. 13, 2019",31.51%
"Aug. 12, 2019",33.08%
"Aug. 9, 2019",27.62%
"Aug. 8, 2019",24.93%
"Aug. 7, 2019",27.34%
"Aug. 6, 2019",26.85%
"Aug. 5, 2019",28.83%
"Aug. 2, 2019",24.33%
"Aug. 1, 2019",28.12%
"July 31, 2019",27.55%
"July 30, 2019",28.47%
"July 29, 2019",26.50%
"July 26, 2019",23.66%
"July 25, 2019",26.02%
"July 24, 2019",22.42%
"July 23, 2019",22.42%
"July 22, 2019",31.02%
"July 19, 2019",29.99%
"July 18, 2019",25.27%
"July 17, 2019",25.34%
"July 16, 2019",25.25%
"July 15, 2019",28.01%
"July 12, 2019",14.69%
"July 11, 2019",6.45%
"July 10, 2019",1.73%
"July 9, 2019",-0.55%
"July 8, 2019",-0.53%
"July 5, 2019",-0.80%
"July 3, 2019",-3.37%
"July 2, 2019",-3.50%
"July 1, 2019",-7.43%
"June 28, 2019",-5.69%
"June 27, 2019",-9.75%
"June 26, 2019",-0.48%
"June 25, 2019",-0.64%
"June 24, 2019",-0.96%
"June 21, 2019",-6.53%
"June 20, 2019",-9.60%
"June 19, 2019",3.79%
"June 18, 2019",8.91%
"June 17, 2019",10.01%
"June 14, 2019",12.39%
"June 13, 2019",13.56%
"June 12, 2019",13.87%
"June 11, 2019",8.74%
"June 10, 2019",5.05%
"June 7, 2019",1.51%
"June 6, 2019",-0.96%
"June 5, 2019",0.09%
"June 4, 2019",10.83%
"June 3, 2019",16.09%
"May 31, 2019",21.46%
