date,return_on_assets
"Dec. 31, 2019",-9.22%
"Sept. 30, 2019",-13.60%
"June 30, 2019",-11.32%
"March 31, 2019",-9.69%
"Dec. 31, 2018",-9.64%
"Sept. 30, 2018",0.21%
"June 30, 2018",0.20%
"March 31, 2018",2.20%
"Dec. 31, 2017",2.39%
"Sept. 30, 2017",3.24%
"June 30, 2017",3.05%
"March 31, 2017",2.80%
"Dec. 31, 2016",2.14%
"Sept. 30, 2016",1.32%
"June 30, 2016",1.21%
"March 31, 2016",1.54%
"Dec. 31, 2015",1.44%
"Sept. 30, 2015",1.46%
"June 30, 2015",2.34%
"March 31, 2015",2.15%
"Dec. 31, 2014",2.53%
"Sept. 30, 2014",2.49%
"June 30, 2014",1.36%
"March 31, 2014",1.49%
"Dec. 31, 2013",1.53%
"Sept. 30, 2013",1.37%
"June 30, 2013",1.78%
"March 31, 2013",1.63%
"Dec. 31, 2012",1.64%
"Sept. 30, 2012",1.86%
"June 30, 2012",1.56%
"March 31, 2012",1.85%
"Dec. 31, 2011",1.81%
"Sept. 30, 2011",2.21%
"June 30, 2011",2.36%
"March 31, 2011",2.34%
"Dec. 31, 2010",2.51%
"Sept. 30, 2010",2.60%
"June 30, 2010",2.78%
"March 31, 2010",2.94%
"Dec. 31, 2009",2.94%
"Sept. 30, 2009",3.61%
"June 30, 2009",3.64%
"March 31, 2009",3.49%
"Dec. 31, 2008",3.53%
"Sept. 30, 2008",2.75%
"June 30, 2008",2.73%
"March 31, 2008",2.71%
"Dec. 31, 2007",2.83%
"Sept. 30, 2007",2.71%
"June 30, 2007",3.08%
"March 31, 2007",2.99%
"Dec. 31, 2006",2.88%
"Sept. 30, 2006",2.98%
"June 30, 2006",2.57%
"March 31, 2006",2.67%
"Dec. 31, 2005",2.67%
"Sept. 30, 2005",4.65%
"June 30, 2005",4.56%
"March 31, 2005",4.65%
"Dec. 31, 2004",12.70%
"Sept. 30, 2004",10.76%
"June 30, 2004",11.65%
"March 31, 2004",11.21%
"Dec. 31, 2003",1.31%
"Sept. 30, 2003",-5.40%
"June 30, 2003",-5.25%
"March 31, 2003",-5.22%
"Dec. 31, 2002",-2.44%
"Sept. 30, 2002",5.14%
"June 30, 2002",6.03%
"March 31, 2002",7.60%
"Dec. 31, 2001",3.12%
"Sept. 30, 2001",-10.19%
"June 30, 2001",-11.92%
"March 31, 2001",-13.89%
"Dec. 31, 2000",-10.52%
"Sept. 30, 2000",0.46%
"June 30, 2000",0.33%
"March 31, 2000",0.12%
"Dec. 31, 1999",-0.23%
"Sept. 30, 1999",2.27%
"June 30, 1999",2.38%
"March 31, 1999",2.38%
"Dec. 31, 1998",2.33%
"Sept. 30, 1998",2.05%
"June 30, 1998",2.28%
"March 31, 1998",2.38%
"Dec. 31, 1997",2.56%
"Sept. 30, 1997",2.92%
"June 30, 1997",2.89%
