date,receivables_turnover
"Dec. 31, 2019",0.6791
"Sept. 30, 2019",0.6449
"June 30, 2019",0.6014
"March 31, 2019",0.6346
"Dec. 31, 2018",0.7585
"Sept. 30, 2018",0.9482
"June 30, 2018",0.9573
"March 31, 2018",0.9699
"Dec. 31, 2017",0.9004
"Sept. 30, 2017",0.9561
"June 30, 2017",0.9241
"March 31, 2017",0.9086
"Dec. 31, 2016",1.028
"Sept. 30, 2016",1.087
"June 30, 2016",0.9846
"March 31, 2016",0.9769
"Dec. 31, 2015",0.9714
"Sept. 30, 2015",0.9945
"June 30, 2015",0.9345
"March 31, 2015",0.8792
"Dec. 31, 2014",0.9549
"Sept. 30, 2014",1.099
"June 30, 2014",0.9098
"March 31, 2014",0.9711
"Dec. 31, 2013",1.068
"Sept. 30, 2013",1.157
"June 30, 2013",1.096
"March 31, 2013",1.137
"Dec. 31, 2012",1.308
"Sept. 30, 2012",1.665
"June 30, 2012",1.549
"March 31, 2012",1.143
"Dec. 31, 2011",1.160
"Sept. 30, 2011",1.446
"June 30, 2011",1.756
"March 31, 2011",1.795
"Dec. 31, 2010",1.460
"Sept. 30, 2010",1.129
"June 30, 2010",0.8686
"March 31, 2010",1.130
"Dec. 31, 2009",1.228
"Sept. 30, 2009",0.9153
"June 30, 2009",0.8793
"March 31, 2009",0.9394
"Dec. 31, 2008",1.160
"Sept. 30, 2008",1.166
"June 30, 2008",0.9921
"March 31, 2008",1.138
"Dec. 31, 2007",1.112
"Sept. 30, 2007",1.073
"June 30, 2007",1.047
"March 31, 2007",1.128
"Dec. 31, 2006",1.134
"Sept. 30, 2006",1.107
"June 30, 2006",0.9831
"March 31, 2006",1.004
"Dec. 31, 2005",1.298
"Sept. 30, 2005",1.021
"June 30, 2005",0.8654
"March 31, 2005",0.8912
"Dec. 31, 2004",1.008
"Sept. 30, 2004",0.9272
"June 30, 2004",1.006
"March 31, 2004",1.027
"Dec. 31, 2003",1.046
"Sept. 30, 2003",1.440
"June 30, 2003",1.262
"March 31, 2003",0.9582
"Dec. 31, 2002",0.878
"Sept. 30, 2002",0.8809
"June 30, 2002",0.9939
"March 31, 2002",0.9978
"Dec. 31, 2001",0.1777
"Sept. 30, 2001",1.224
"June 30, 2001",1.676
"March 31, 2001",1.755
"Dec. 31, 2000",-1.511
"Sept. 30, 2000",2.364
"June 30, 2000",2.040
"March 31, 2000",2.489
"Dec. 31, 1999",2.170
"Sept. 30, 1999",2.738
"June 30, 1999",2.174
"March 31, 1999",2.263
"Dec. 31, 1998",2.013
"Sept. 30, 1998",1.906
"June 30, 1998",1.612
"March 31, 1998",1.473
"Dec. 31, 1997",1.748
"Sept. 30, 1997",1.701
"June 30, 1997",1.435
"March 31, 1997",1.630
"Dec. 31, 1996",1.351
"Sept. 30, 1996",
"June 30, 1996",
"March 31, 1996",
"Dec. 31, 1995",1.009
