date,tangible_common_equity_ratio
"Dec. 31, 2019",6.03%
"Sept. 30, 2019",10.20%
"June 30, 2019",12.26%
"March 31, 2019",15.65%
"Dec. 31, 2018",16.43%
"Sept. 30, 2018",27.24%
"June 30, 2018",26.91%
"March 31, 2018",28.95%
"Dec. 31, 2017",28.26%
"Sept. 30, 2017",26.61%
"June 30, 2017",26.61%
"March 31, 2017",26.54%
"Dec. 31, 2016",26.15%
"Sept. 30, 2016",26.07%
"June 30, 2016",25.40%
"March 31, 2016",25.70%
"Dec. 31, 2015",26.21%
"Sept. 30, 2015",26.73%
"June 30, 2015",25.99%
"March 31, 2015",25.94%
"Dec. 31, 2014",26.19%
"Sept. 30, 2014",27.26%
"June 30, 2014",26.35%
"March 31, 2014",26.22%
"Dec. 31, 2013",25.79%
"Sept. 30, 2013",25.37%
"June 30, 2013",25.53%
"March 31, 2013",25.58%
"Dec. 31, 2012",24.93%
"Sept. 30, 2012",25.82%
"June 30, 2012",25.55%
"March 31, 2012",25.03%
"Dec. 31, 2011",24.32%
"Sept. 30, 2011",25.17%
"June 30, 2011",24.91%
"March 31, 2011",24.67%
"Dec. 31, 2010",24.51%
"Sept. 30, 2010",24.36%
"June 30, 2010",24.58%
"March 31, 2010",23.81%
"Dec. 31, 2009",24.06%
"Sept. 30, 2009",23.88%
"June 30, 2009",23.57%
"March 31, 2009",23.25%
"Dec. 31, 2008",22.95%
"Sept. 30, 2008",23.51%
"June 30, 2008",23.04%
"March 31, 2008",23.21%
"Dec. 31, 2007",23.35%
"Sept. 30, 2007",23.28%
"June 30, 2007",23.13%
"March 31, 2007",22.93%
"Dec. 31, 2006",22.44%
"Sept. 30, 2006",22.28%
"June 30, 2006",21.97%
"March 31, 2006",21.59%
"Dec. 31, 2005",21.18%
"Sept. 30, 2005",24.11%
"June 30, 2005",23.43%
"March 31, 2005",22.71%
"Dec. 31, 2004",24.99%
"Sept. 30, 2004",22.58%
"June 30, 2004",22.03%
"March 31, 2004",17.35%
"Dec. 31, 2003",13.97%
"Sept. 30, 2003",8.10%
"June 30, 2003",-2.44%
"March 31, 2003",9.32%
"Dec. 31, 2002",-15.62%
"Sept. 30, 2002",15.40%
"June 30, 2002",14.15%
"March 31, 2002",13.51%
"Dec. 31, 2001",12.02%
"Sept. 30, 2001",10.99%
"June 30, 2001",8.10%
"March 31, 2001",5.45%
"Dec. 31, 2000",8.77%
"Sept. 30, 2000",21.82%
"June 30, 2000",23.18%
"March 31, 2000",24.27%
"Dec. 31, 1999",23.37%
"Sept. 30, 1999",24.68%
"June 30, 1999",24.55%
"March 31, 1999",22.36%
"Dec. 31, 1998",24.27%
"Sept. 30, 1998",25.16%
"June 30, 1998",26.89%
"March 31, 1998",26.63%
"Dec. 31, 1997",28.59%
"Sept. 30, 1997",30.67%
"June 30, 1997",30.92%
"March 31, 1997",31.61%
"Dec. 31, 1996",31.88%
"Sept. 30, 1996",
"June 30, 1996",
"March 31, 1996",
"Dec. 31, 1995",32.03%
"Sept. 30, 1995",
"June 30, 1995",
"March 31, 1995",31.59%
