date,cash_on_hand
"Dec. 31, 2019",1.57B
"Sept. 30, 2019",2.97B
"June 30, 2019",3.459B
"March 31, 2019",2.964B
"Dec. 31, 2018",1.668B
"Sept. 30, 2018",430.00M
"June 30, 2018",517.00M
"March 31, 2018",144.00M
"Dec. 31, 2017",449.00M
"Sept. 30, 2017",191.00M
"June 30, 2017",178.00M
"March 31, 2017",164.00M
"Dec. 31, 2016",177.00M
"Sept. 30, 2016",71.00M
"June 30, 2016",189.00M
"March 31, 2016",142.00M
"Dec. 31, 2015",123.00M
"Sept. 30, 2015",154.00M
"June 30, 2015",249.00M
"March 31, 2015",145.00M
"Dec. 31, 2014",151.00M
"Sept. 30, 2014",139.00M
"June 30, 2014",132.00M
"March 31, 2014",108.00M
"Dec. 31, 2013",296.00M
"Sept. 30, 2013",281.00M
"June 30, 2013",281.00M
"March 31, 2013",278.00M
"Dec. 31, 2012",401.00M
"Sept. 30, 2012",296.00M
"June 30, 2012",292.00M
"March 31, 2012",257.00M
"Dec. 31, 2011",513.00M
"Sept. 30, 2011",277.00M
"June 30, 2011",350.00M
"March 31, 2011",240.00M
"Dec. 31, 2010",291.00M
"Sept. 30, 2010",347.00M
"June 30, 2010",265.00M
"March 31, 2010",258.00M
"Dec. 31, 2009",527.00M
"Sept. 30, 2009",700.00M
"June 30, 2009",338.00M
"March 31, 2009",271.00M
"Dec. 31, 2008",219.00M
"Sept. 30, 2008",251.00M
"June 30, 2008",297.00M
"March 31, 2008",253.00M
"Dec. 31, 2007",345.00M
"Sept. 30, 2007",2.23B
"June 30, 2007",1.794B
"March 31, 2007",1.896B
"Dec. 31, 2006",456.00M
"Sept. 30, 2006",1.867B
"June 30, 2006",1.919B
"March 31, 2006",903.00M
"Dec. 31, 2005",713.00M
"Sept. 30, 2005",1.233B
"June 30, 2005",1.494B
"March 31, 2005",1.381B
"Dec. 31, 2004",972.00M
"Sept. 30, 2004",1.856B
"June 30, 2004",1.42B
"March 31, 2004",3.46B
"Dec. 31, 2003",3.658B
"Sept. 30, 2003",4.675B
"June 30, 2003",4.864B
"March 31, 2003",4.568B
"Dec. 31, 2002",3.532B
"Sept. 30, 2002",4.88B
"June 30, 2002",5.10B
"March 31, 2002",5.787B
"Dec. 31, 2001",5.616B
"Sept. 30, 2001",976.00M
"June 30, 2001",683.00M
"March 31, 2001",650.00M
"Dec. 31, 2000",2.43B
"Sept. 30, 2000",304.00M
"June 30, 2000",307.00M
"March 31, 2000",260.00M
"Dec. 31, 1999",281.00M
"Sept. 30, 1999",269.00M
"June 30, 1999",284.00M
"March 31, 1999",245.00M
"Dec. 31, 1998",286.00M
"Sept. 30, 1998",278.00M
"June 30, 1998",311.00M
"March 31, 1998",214.00M
"Dec. 31, 1997",237.00M
"Sept. 30, 1997",566.70M
"June 30, 1997",207.20M
"March 31, 1997",120.30M
"Dec. 31, 1996",143.40M
"Dec. 31, 1995",734.30M
"March 31, 1995",392.70M
