date,shares_outstanding
"Feb. 13, 2020",529.25M
"Feb. 1, 2020",529.25M
"Dec. 31, 2019",529.24M
"Nov. 1, 2019",529.23M
"Sept. 30, 2019",529.23M
"Aug. 2, 2019",529.22M
"June 30, 2019",529.22M
"May 15, 2019",529.21M
"April 25, 2019",529.21M
"April 15, 2019",529.21M
"March 31, 2019",529.21M
"Feb. 22, 2019",527.56M
"Dec. 31, 2018",520.34M
"Oct. 25, 2018",518.67M
"Sept. 30, 2018",517.10M
"July 20, 2018",517.15M
"June 30, 2018",517.10M
"April 24, 2018",516.43M
"March 31, 2018",516.00M
"March 23, 2018",515.91M
"Feb. 1, 2018",514.97M
"Dec. 31, 2017",514.76M
"Oct. 24, 2017",514.42M
"Sept. 30, 2017",513.77M
"July 21, 2017",512.82M
"June 30, 2017",512.22M
"April 24, 2017",511.00M
"March 31, 2017",510.61M
"Feb. 7, 2017",507.78M
"Dec. 31, 2016",506.89M
"Oct. 24, 2016",505.67M
"Sept. 30, 2016",505.18M
"July 19, 2016",498.51M
"June 30, 2016",498.14M
"April 19, 2016",496.04M
"March 31, 2016",495.61M
"March 24, 2016",495.41M
"Feb. 12, 2016",492.83M
"Dec. 31, 2015",492.03M
"Oct. 20, 2015",490.45M
"Sept. 30, 2015",490.18M
"July 20, 2015",482.01M
"June 30, 2015",481.58M
"April 20, 2015",479.97M
"March 31, 2015",479.49M
"March 5, 2015",478.07M
"Jan. 27, 2015",476.40M
"Dec. 31, 2014",475.91M
"Oct. 20, 2014",475.09M
"Sept. 30, 2014",474.53M
"July 22, 2014",471.41M
"June 30, 2014",470.95M
"April 22, 2014",464.76M
"March 31, 2014",464.26M
"March 13, 2014",462.35M
"Feb. 3, 2014",457.66M
"Dec. 31, 2013",456.67M
"Oct. 22, 2013",449.30M
"Sept. 30, 2013",448.59M
"July 22, 2013",445.15M
"June 30, 2013",444.72M
"April 23, 2013",442.17M
"March 31, 2013",441.51M
"March 7, 2013",439.46M
"Feb. 11, 2013",431.44M
"Dec. 31, 2012",430.72M
"Oct. 25, 2012",429.98M
"Sept. 30, 2012",429.36M
"July 25, 2012",426.46M
"June 30, 2012",426.00M
"April 24, 2012",422.32M
"March 31, 2012",421.78M
"March 16, 2012",415.35M
"Feb. 7, 2012",412.90M
"Dec. 31, 2011",412.26M
"Oct. 25, 2011",405.88M
"Sept. 30, 2011",405.17M
"July 25, 2011",402.25M
"June 30, 2011",401.66M
"April 25, 2011",397.95M
"March 31, 2011",397.45M
"March 14, 2011",396.79M
"Feb. 7, 2011",396.26M
"Dec. 31, 2010",395.23M
"Oct. 25, 2010",392.07M
"Sept. 30, 2010",391.53M
"July 29, 2010",390.75M
"June 30, 2010",390.10M
"April 30, 2010",372.35M
"March 31, 2010",371.22M
"March 15, 2010",371.50M
"Feb. 17, 2010",371.33M
"Dec. 31, 2009",370.60M
"Oct. 27, 2009",370.96M
"Sept. 30, 2009",370.88M
"July 31, 2009",370.69M
"June 30, 2009",370.69M
"March 31, 2009",368.36M
"Feb. 20, 2009",365.76M
"Oct. 31, 2008",360.98M
"Aug. 1, 2008",358.56M
"June 30, 2008",356.41M
"March 31, 2008",357.26M
"Dec. 31, 2007",355.75M
"Sept. 30, 2007",354.05M
"June 30, 2007",353.36M
"March 31, 2007",351.50M
"Feb. 20, 2007",350.82M
"Nov. 6, 2006",348.81M
"July 31, 2006",348.07M
"June 30, 2006",346.27M
"April 28, 2006",347.17M
"Feb. 10, 2006",345.32M
"Dec. 31, 2005",366.87M
"Oct. 27, 2005",374.75M
"Sept. 30, 2005",373.28M
"July 28, 2005",373.05M
"June 30, 2005",372.84M
"April 28, 2005",370.09M
"March 31, 2005",368.50M
"Feb. 11, 2005",396.49M
"Dec. 31, 2004",393.95M
"Oct. 27, 2004",403.13M
"July 28, 2004",400.91M
"April 28, 2004",398.75M
"March 31, 2004",420.67M
"Feb. 17, 2004",418.98M
"Dec. 31, 2003",416.52M
"Nov. 10, 2003",414.76M
"Sept. 30, 2003",413.73M
"Aug. 13, 2003",412.04M
"June 30, 2003",409.04M
"May 9, 2003",409.19M
"March 31, 2003",410.18M
"Feb. 1, 2003",407.58M
"Dec. 31, 2002",405.49M
"Nov. 5, 2002",404.70M
"Sept. 30, 2002",402.96M
"July 30, 2002",393.18M
"June 30, 2002",390.71M
"April 26, 2002",389.41M
"March 31, 2002",388.90M
"Feb. 1, 2002",387.92M
"Dec. 31, 2001",387.90M
"Oct. 31, 2001",387.26M
"Sept. 30, 2001",387.17M
"July 31, 2001",387.13M
"June 30, 2001",387.18M
"April 30, 2001",387.14M
"April 9, 2001",387.14M
"March 31, 2001",387.18M
"Dec. 31, 2000",387.19M
"Oct. 26, 2000",387.10M
"Sept. 30, 2000",386.70M
"July 28, 2000",385.76M
"June 30, 2000",385.39M
"May 9, 2000",385.33M
"March 31, 2000",384.87M
"Feb. 22, 2000",384.83M
"Dec. 31, 1999",384.41M
"Sept. 30, 1999",384.03M
"June 30, 1999",383.95M
"March 31, 1999",383.57M
"Feb. 22, 1999",382.96M
"Dec. 31, 1998",382.60M
"Sept. 30, 1998",382.52M
"June 30, 1998",381.99M
"March 31, 1998",381.47M
"Feb. 17, 1998",381.01M
"Dec. 31, 1997",417.67M
"Sept. 30, 1997",420.84M
"June 30, 1997",395.11M
