date,total_employee_number
"Dec. 31, 2019",23000
"Dec. 31, 2018",24000
"Dec. 31, 2017",23000
"Dec. 31, 2016",24000
"Dec. 31, 2015",23000
"Dec. 31, 2014",22581
"Dec. 31, 2013",21166
"Dec. 31, 2012",20593
"Dec. 31, 2011",19274
"Dec. 31, 2010",19424
"Dec. 31, 2009",19425
"Dec. 31, 2008",14649
"Dec. 31, 2007",20050
"Dec. 31, 2006",20400
"Dec. 31, 2005",19800
"Dec. 31, 2004",20200
"Dec. 31, 2003",20600
"Dec. 31, 2002",21814
"Dec. 31, 2001",22619
"Dec. 31, 2000",20850
"Dec. 31, 1999",22433
"Dec. 31, 1998",23300
"Dec. 31, 1997",23500
"Dec. 31, 1996",20000
"Dec. 31, 1995",21000
"Dec. 31, 1994",23000
"Dec. 31, 1993",23000
"Dec. 31, 1992",26700
"Dec. 31, 1991",26700
"Dec. 31, 1990",26200
"Dec. 31, 1989",26600
