date,cash_dividend_payout_ratio
"Dec. 31, 2019",0.00%
"Sept. 30, 2019",0.00%
"June 30, 2019",0.00%
"March 31, 2019",0.00%
"Dec. 31, 2018",0.00%
"Sept. 30, 2018",-32.60%
"June 30, 2018",-592.2%
"March 31, 2018",3.89K%
"Dec. 31, 2017",303.9%
"Sept. 30, 2017",289.8%
"June 30, 2017",-532.4%
"March 31, 2017",-118.0%
"Dec. 31, 2016",-70.85%
"Sept. 30, 2016",-59.02%
"June 30, 2016",-51.97%
"March 31, 2016",-60.72%
"Dec. 31, 2015",-61.45%
"Sept. 30, 2015",-67.60%
"June 30, 2015",-129.1%
"March 31, 2015",-101.1%
"Dec. 31, 2014",-72.44%
"Sept. 30, 2014",-60.94%
"June 30, 2014",-45.73%
"March 31, 2014",-43.43%
"Dec. 31, 2013",-43.93%
"Sept. 30, 2013",-87.74%
"June 30, 2013",-100.7%
"March 31, 2013",1.84K%
"Dec. 31, 2012",289.1%
"Sept. 30, 2012",-155.7%
"June 30, 2012",-205.4%
"March 31, 2012",-117.7%
"Dec. 31, 2011",-235.5%
"Sept. 30, 2011",489.4%
"June 30, 2011",-394.9%
"March 31, 2011",9.70K%
"Dec. 31, 2010",-111.1%
"Sept. 30, 2010",-54.92%
"June 30, 2010",-61.84%
"March 31, 2010",-51.18%
"Dec. 31, 2009",-64.20%
"Sept. 30, 2009",-100.7%
"June 30, 2009",-32.77%
"March 31, 2009",-44.79%
"Dec. 31, 2008",-63.12%
"Sept. 30, 2008",-69.03%
"June 30, 2008",131.2%
"March 31, 2008",-147.2%
"Dec. 31, 2007",-222.4%
"Sept. 30, 2007",-308.3%
"June 30, 2007",-350.7%
"March 31, 2007",475.3%
"Dec. 31, 2006",146.2%
"Sept. 30, 2006",144.2%
"June 30, 2006",245.5%
"March 31, 2006",115.6%
"Dec. 31, 2005",57.85%
"Sept. 30, 2005",17.43%
"June 30, 2005",7.16%
"March 31, 2005",136.5%
"Dec. 31, 2004",11.38%
"Sept. 30, 2004",-12.59%
"June 30, 2004",-628.6%
"March 31, 2004",0.00%
"Dec. 31, 2003",0.00%
"Sept. 30, 2003",0.00%
"June 30, 2003",0.00%
"March 31, 2003",0.00%
"Dec. 31, 2002",0.00%
"Sept. 30, 2002",0.00%
"June 30, 2002",0.00%
"March 31, 2002",0.00%
"Dec. 31, 2001",4.35%
"Sept. 30, 2001",16.60%
"June 30, 2001",-11.85%
"March 31, 2001",-45.14%
"Dec. 31, 2000",-26.57%
"Sept. 30, 2000",-112.6%
"June 30, 2000",69.14%
"March 31, 2000",69.50%
"Dec. 31, 1999",81.44%
"Sept. 30, 1999",113.8%
"June 30, 1999",35.09%
"March 31, 1999",46.45%
"Dec. 31, 1998",70.78%
"Sept. 30, 1998",48.21%
"June 30, 1998",69.12%
"March 31, 1998",105.3%
"Dec. 31, 1997",65.83%
"Sept. 30, 1997",18.50%
