date,net_income_annual_cs_rev
"Dec. 31, 2019",-44.61%
"Dec. 31, 2018",-40.80%
"Dec. 31, 2017",9.69%
"Dec. 31, 2016",7.96%
"Dec. 31, 2015",5.28%
"Dec. 31, 2014",8.48%
"Dec. 31, 2013",5.31%
"Dec. 31, 2012",5.52%
"Dec. 31, 2011",5.74%
"Dec. 31, 2010",8.04%
"Dec. 31, 2009",9.21%
"Dec. 31, 2008",9.24%
"Dec. 31, 2007",7.60%
"Dec. 31, 2006",7.90%
"Dec. 31, 2005",7.84%
"Dec. 31, 2004",40.65%
"Dec. 31, 2003",4.02%
"Dec. 31, 2002",-8.32%
"Dec. 31, 2001",10.52%
"Dec. 31, 2000",-26.77%
"Dec. 31, 1999",-0.35%
"Dec. 31, 1998",3.67%
"Dec. 31, 1997",4.69%
"Dec. 31, 1996",7.86%
"Dec. 31, 1995",13.92%
"Dec. 31, 1994",9.64%
"Dec. 31, 1993",10.07%
"Dec. 31, 1992",11.37%
"Dec. 31, 1991",10.50%
"Dec. 31, 1990",10.42%
"Dec. 31, 1989",10.49%
"Dec. 31, 1988",0.81%
"Dec. 31, 1987",8.31%
"Dec. 31, 1986",13.83%
"Dec. 31, 1985",12.23%
"Dec. 31, 1984",12.45%
