date,revenues_per_share
"Dec. 31, 2019",8.983
"Sept. 30, 2019",8.378
"June 30, 2019",7.454
"March 31, 2019",7.611
"Dec. 31, 2018",7.862
"Sept. 30, 2018",8.474
"June 30, 2018",8.205
"March 31, 2018",7.860
"Dec. 31, 2017",7.961
"Sept. 30, 2017",8.754
"June 30, 2017",8.285
"March 31, 2017",8.352
"Dec. 31, 2016",9.333
"Sept. 30, 2016",9.563
"June 30, 2016",8.372
"March 31, 2016",8.028
"Dec. 31, 2015",8.401
"Sept. 30, 2015",9.305
"June 30, 2015",8.731
"March 31, 2015",8.106
"Dec. 31, 2014",9.050
"Sept. 30, 2014",10.42
"June 30, 2014",8.426
"March 31, 2014",8.459
"Dec. 31, 2013",8.756
"Sept. 30, 2013",9.34
"June 30, 2013",8.524
"March 31, 2013",8.441
"Dec. 31, 2012",8.886
"Sept. 30, 2012",9.268
"June 30, 2012",8.454
"March 31, 2012",8.752
"Dec. 31, 2011",9.350
"Sept. 30, 2011",9.554
"June 30, 2011",9.21
"March 31, 2011",9.060
"Dec. 31, 2010",9.167
"Sept. 30, 2010",8.962
"June 30, 2010",8.287
"March 31, 2010",8.933
"Dec. 31, 2009",9.168
"Sept. 30, 2009",8.338
"June 30, 2009",8.656
"March 31, 2009",9.374
"Dec. 31, 2008",10.09
"Sept. 30, 2008",10.26
"June 30, 2008",10.02
"March 31, 2008",10.49
"Dec. 31, 2007",9.650
"Sept. 30, 2007",9.315
"June 30, 2007",8.767
"March 31, 2007",9.561
"Dec. 31, 2006",9.006
"Sept. 30, 2006",9.130
"June 30, 2006",8.720
"March 31, 2006",8.826
"Dec. 31, 2005",9.880
"Sept. 30, 2005",7.232
"June 30, 2005",6.751
"March 31, 2005",6.611
"Dec. 31, 2004",4.061
"Sept. 30, 2004",6.097
"June 30, 2004",6.503
"March 31, 2004",6.926
"Dec. 31, 2003",6.450
"Sept. 30, 2003",7.385
"June 30, 2003",7.089
"March 31, 2003",5.584
"Dec. 31, 2002",6.424
"Sept. 30, 2002",7.461
"June 30, 2002",7.895
"March 31, 2002",7.976
"Dec. 31, 2001",1.175
"Sept. 30, 2001",10.22
"June 30, 2001",13.81
"March 31, 2001",18.38
"Dec. 31, 2000",-16.67
"Sept. 30, 2000",20.56
"June 30, 2000",15.57
"March 31, 2000",13.77
"Dec. 31, 1999",12.97
"Sept. 30, 1999",16.94
"June 30, 1999",12.76
"March 31, 1999",13.74
"Dec. 31, 1998",17.10
"Sept. 30, 1998",13.90
"June 30, 1998",12.66
"March 31, 1998",11.27
"Dec. 31, 1997",11.38
"Sept. 30, 1997",9.817
"June 30, 1997",7.831
"March 31, 1997",8.169
"Dec. 31, 1996",5.790
"Sept. 30, 1996",6.389
"June 30, 1996",5.166
"March 31, 1996",5.435
"Dec. 31, 1995",5.329
"Sept. 30, 1995",6.216
"June 30, 1995",5.759
"March 31, 1995",5.361
"Dec. 31, 1994",6.161
"Sept. 30, 1994",6.668
"June 30, 1994",5.696
"March 31, 1994",5.876
"Dec. 31, 1993",6.296
"Sept. 30, 1993",6.836
"June 30, 1993",5.708
"March 31, 1993",5.775
"Dec. 31, 1992",6.005
"Sept. 30, 1992",6.578
"June 30, 1992",5.986
"March 31, 1992",5.773
"Dec. 31, 1991",6.294
"Sept. 30, 1991",6.043
"June 30, 1991",5.588
"March 31, 1991",5.486
"Dec. 31, 1990",5.848
"Sept. 30, 1990",6.183
"June 30, 1990",5.070
"March 31, 1990",5.208
"Dec. 31, 1989",5.052
"Sept. 30, 1989",5.313
"June 30, 1989",4.949
"March 31, 1989",5.126
"Dec. 31, 1988",4.967
"Sept. 30, 1988",4.870
"June 30, 1988",4.550
"March 31, 1988",4.815
"Dec. 31, 1987",4.974
"Sept. 30, 1987",4.965
"June 30, 1987",4.821
"March 31, 1987",4.760
"Dec. 31, 1986",5.236
"Sept. 30, 1986",5.550
"June 30, 1986",5.563
"March 31, 1986",5.963
"Dec. 31, 1985",6.127
"Sept. 30, 1985",6.587
"June 30, 1985",6.258
"March 31, 1985",6.95
"Dec. 31, 1984",6.643
"Sept. 30, 1984",6.570
"June 30, 1984",5.960
"March 31, 1984",6.194
