date,cash_financing_ttm
"Dec. 31, 2019",1.464B
"Sept. 30, 2019",4.154B
"June 30, 2019",4.289B
"March 31, 2019",3.673B
"Dec. 31, 2018",3.031B
"Sept. 30, 2018",1.08B
"June 30, 2018",421.00M
"March 31, 2018",-45.00M
"Dec. 31, 2017",-55.00M
"Sept. 30, 2017",-350.00M
"June 30, 2017",-32.00M
"March 31, 2017",638.00M
"Dec. 31, 2016",1.171B
"Sept. 30, 2016",1.356B
"June 30, 2016",1.615B
"March 31, 2016",1.398B
"Dec. 31, 2015",1.403B
"Sept. 30, 2015",1.327B
"June 30, 2015",755.00M
"March 31, 2015",835.00M
"Dec. 31, 2014",879.00M
"Sept. 30, 2014",1.062B
"June 30, 2014",1.532B
"March 31, 2014",1.59B
"Dec. 31, 2013",1.575B
"Sept. 30, 2013",702.00M
"June 30, 2013",613.00M
"March 31, 2013",-159.00M
"Dec. 31, 2012",-468.00M
"Sept. 30, 2012",475.00M
"June 30, 2012",421.00M
"March 31, 2012",631.00M
"Dec. 31, 2011",469.00M
"Sept. 30, 2011",-198.00M
"June 30, 2011",166.00M
"March 31, 2011",-25.00M
"Dec. 31, 2010",415.00M
"Sept. 30, 2010",910.00M
"June 30, 2010",267.00M
"March 31, 2010",541.00M
"Dec. 31, 2009",605.00M
"Sept. 30, 2009",256.00M
"June 30, 2009",1.769B
"March 31, 2009",1.343B
"Dec. 31, 2008",763.00M
"Sept. 30, 2008",104.00M
"June 30, 2008",-608.00M
"March 31, 2008",-59.00M
"Dec. 31, 2007",9.00M
"Sept. 30, 2007",633.00M
"June 30, 2007",180.00M
"March 31, 2007",-407.00M
"Dec. 31, 2006",-544.00M
"Sept. 30, 2006",-1.03B
"June 30, 2006",-1.329B
"March 31, 2006",-1.318B
"Dec. 31, 2005",-1.27B
"Sept. 30, 2005",-2.233B
"June 30, 2005",-1.883B
"March 31, 2005",-8.198B
"Dec. 31, 2004",-1.624B
"Sept. 30, 2004",-439.00M
"June 30, 2004",-1.076B
"March 31, 2004",5.659B
"Dec. 31, 2003",-615.00M
"Sept. 30, 2003",-347.00M
"June 30, 2003",-858.00M
"March 31, 2003",-372.00M
"Dec. 31, 2002",-467.00M
"Sept. 30, 2002",-482.00M
"June 30, 2002",918.00M
"March 31, 2002",652.00M
"Dec. 31, 2001",567.00M
"Sept. 30, 2001",3.178B
"June 30, 2001",4.196B
"March 31, 2001",3.685B
"Dec. 31, 2000",3.075B
"Sept. 30, 2000",307.00M
"June 30, 2000",-1.081B
"March 31, 2000",-2.175B
"Dec. 31, 1999",-2.043B
"Sept. 30, 1999",-1.01B
"June 30, 1999",-1.658B
"March 31, 1999",-354.00M
"Dec. 31, 1998",-1.113B
"Sept. 30, 1998",-1.291B
"June 30, 1998",-704.00M
"March 31, 1998",-487.60M
"Dec. 31, 1997",406.00M
